u	v	x_coord	y_coord	coef0	coef1	feat1	y
0	0	-1.697410	-1.697410	3.000000	3.001641	0.127465	3.504805
1	0	-1.628128	-1.697410	3.000000	3.170966	0.681746	6.093651
2	0	-1.558846	-1.697410	3.000000	3.308605	1.204947	6.975249
3	0	-1.489564	-1.697410	3.000000	3.414582	0.571954	4.303487
4	0	-1.420282	-1.697410	3.000000	3.489901	-1.574142	-1.112592
5	0	-1.351000	-1.697410	3.000000	3.536393	-1.076076	-0.614466
6	0	-1.281718	-1.697410	3.000000	3.556538	0.943603	5.546943
7	0	-1.212436	-1.697410	3.000000	3.553267	-0.922450	-0.701150
8	0	-1.143154	-1.697410	3.000000	3.529781	0.855099	6.377450
9	0	-1.073872	-1.697410	3.000000	3.489364	-0.702581	0.737045
10	0	-1.004589	-1.697410	3.000000	3.435228	0.846904	7.184784
11	0	-0.935307	-1.697410	3.000000	3.370381	-1.328385	-1.118963
12	0	-0.866025	-1.697410	3.000000	3.297529	-1.376389	-1.250956
13	0	-0.796743	-1.697410	3.000000	3.219009	1.022313	6.023381
14	0	-0.727461	-1.697410	3.000000	3.136759	0.105087	1.988298
15	0	-0.658179	-1.697410	3.000000	3.052316	1.446519	7.316256
16	0	-0.588897	-1.697410	3.000000	2.966849	-0.318949	2.579206
17	0	-0.519615	-1.697410	3.000000	2.881198	-0.827405	3.045613
18	0	-0.450333	-1.697410	3.000000	2.795945	1.548930	8.393262
19	0	-0.381051	-1.697410	3.000000	2.711481	-1.415958	-0.173418
20	0	-0.311769	-1.697410	3.000000	2.628076	-0.222337	3.253131
21	0	-0.242487	-1.697410	3.000000	2.545948	0.902392	7.696420
22	0	-0.173205	-1.697410	3.000000	2.465317	-0.831596	0.740833
23	0	-0.103923	-1.697410	3.000000	2.386447	-0.081705	0.863854
24	0	-0.034641	-1.697410	3.000000	2.309674	-1.014598	-0.803749
25	0	0.034641	-1.697410	3.000000	2.235418	-0.843916	2.403304
26	0	0.103923	-1.697410	3.000000	2.164177	-0.473058	3.217085
27	0	0.173205	-1.697410	3.000000	2.096509	1.116825	4.889716
28	0	0.242487	-1.697410	3.000000	2.033010	1.115491	5.308933
29	0	0.311769	-1.697410	3.000000	1.974284	1.213260	3.206400
30	0	0.381051	-1.697410	3.000000	1.920908	1.501850	6.797220
31	0	0.450333	-1.697410	3.000000	1.873408	0.115594	4.678233
32	0	0.519615	-1.697410	3.000000	1.832237	0.663907	3.845995
33	0	0.588897	-1.697410	3.000000	1.797767	-1.151982	-0.174642
34	0	0.658179	-1.697410	3.000000	1.770283	-0.375320	1.375511
35	0	0.727461	-1.697410	3.000000	1.750004	1.008215	4.655222
36	0	0.796743	-1.697410	3.000000	1.737094	0.818148	4.471317
37	0	0.866025	-1.697410	3.000000	1.731703	1.555351	6.921258
38	0	0.935307	-1.697410	3.000000	1.733991	-0.705232	-0.099164
39	0	1.004589	-1.697410	3.000000	1.744171	-0.806588	1.082799
40	0	1.073872	-1.697410	3.000000	1.762535	-0.645642	1.835643
41	0	1.143154	-1.697410	3.000000	1.789477	-1.009674	-0.980028
42	0	1.212436	-1.697410	3.000000	1.825506	-0.679101	1.414103
