u	v	x_coord	y_coord	coef0	coef1	coef2	feat1	feat2	y	region
0	0	0.000000	0.000000	10.000000	-3.000000	3.000000	0.496714	0.570613	10.009817	5
1	0	0.204082	0.000000	10.000000	-3.000000	3.000000	-0.138264	0.968185	13.092640	5
2	0	0.408163	0.000000	10.000000	-3.000000	3.000000	0.647689	-0.331308	6.165188	5
3	0	0.612245	0.000000	10.000000	-3.000000	3.000000	1.523030	-0.612237	3.429155	5
4	0	0.816327	0.000000	10.000000	-3.000000	3.000000	-0.234153	-1.085151	7.813423	5
5	0	1.020408	0.000000	10.000000	-3.000000	3.000000	-0.234137	-0.825411	7.589063	5
6	0	1.224490	0.000000	10.000000	-3.000000	3.000000	1.579213	2.949094	14.633886	5
7	0	1.428571	0.000000	10.000000	-3.000000	3.000000	0.767435	1.244680	11.675622	5
8	0	1.632653	0.000000	10.000000	-3.000000	3.000000	-0.469474	-1.351074	6.988083	5
9	0	1.836735	0.000000	10.000000	-3.000000	3.000000	0.542560	-1.322458	4.334181	5
10	0	2.040816	0.000000	10.000000	-3.000000	3.000000	-0.463418	0.481866	13.635012	5
11	0	2.244898	0.000000	10.000000	-3.000000	3.000000	-0.465730	0.547265	13.405758	5
12	0	2.448980	0.000000	10.000000	-3.000000	3.000000	0.241962	0.548884	10.925157	5
13	0	2.653061	0.000000	10.000000	-3.000000	3.000000	-1.913280	-0.254956	14.856132	5
14	0	2.857143	0.000000	10.000000	-3.000000	3.000000	-1.724918	-0.125454	14.836695	5
15	0	3.061224	0.000000	10.000000	-3.000000	3.000000	-0.562288	0.327880	12.414619	5
16	0	3.265306	0.000000	10.000000	-3.000000	3.000000	-1.012831	0.085893	12.243798	5
17	0	3.469388	0.000000	10.000000	-3.000000	3.000000	0.314247	-2.219300	3.420446	5
18	0	3.673469	0.000000	10.000000	-3.000000	3.000000	-0.908024	-0.229800	12.112336	5
19	0	3.877551	0.000000	10.000000	-3.000000	3.000000	-1.412304	-0.851406	11.881765	5
20	0	4.081633	0.000000	10.000000	-3.000000	3.000000	1.465649	0.175211	6.099734	5
21	0	4.285714	0.000000	10.000000	-3.000000	3.000000	-0.225776	2.985259	19.265548	5
22	0	4.489796	0.000000	10.000000	-3.000000	3.000000	0.067528	0.367482	10.806898	5
23	0	4.693878	0.000000	10.000000	-3.000000	3.000000	-1.424748	-0.313530	12.533958	5
24	0	4.897959	0.000000	10.000000	-3.000000	3.000000	-0.544383	0.921802	15.537096	5
25	0	5.102041	0.000000	10.000000	-3.000000	3.000000	0.110923	0.482688	10.498040	5
26	0	5.306122	0.000000	10.000000	-3.000000	3.000000	-1.150994	0.420094	14.197281	5
27	0	5.510204	0.000000	10.000000	-3.000000	3.000000	0.375698	0.606851	10.473328	5
28	0	5.714286	0.000000	10.000000	-3.000000	3.000000	-0.600639	2.056544	18.615585	5
29	0	5.918367	0.000000	10.000000	-3.000000	3.000000	-0.291694	-1.130888	7.489670	5
30	0	6.122449	0.000000	10.000000	-3.000000	3.000000	-0.601707	0.473632	12.607948	5
31	0	6.326531	0.000000	10.000000	-3.000000	3.000000	1.852278	-0.926381	2.291191	5
32	0	6.530612	0.000000	10.000000	-3.000000	3.000000	-0.013497	0.555513	12.072530	5
33	0	6.734694	0.000000	10.000000	-3.000000	3.000000	-1.057711	-0.918687	10.686291	5
34	0	6.938776	0.000000	10.000000	-3.000000	3.000000	0.822545	-0.417367	6.638132	5
35	0	7.142857	0.000000	10.000000	-3.000000	3.000000	-1.220844	-0.295090	13.974442	5
36	0	7.346939	0.000000	10.000000	-3.000000	3.000000	0.208864	0.975817	13.393407	5
37	0	7.551020	0.000000	10.000000	-3.000000	3.000000	-1.959670	0.918454	18.291016	5
38	0	7.755102	0.000000	10.000000	-3.000000	3.000000	-1.328186	-1.245717	11.059349	5
39	0	7.959184	0.000000	10.000000	-3.000000	3.000000	0.196861	0.054934	9.765803	5
40	0	8.163265	0.000000	10.000000	-3.000000	3.000000	0.738467	-0.709580	5.905409	5
41	0	8.367347	0.000000	10.000000	-3.000000	3.000000	0.171368	-1.258505	4.864245	5
42	0	8.571429	0.000000	10.000000	-3.000000	3.000000	-0.115648	-0.217017	9.610701	5
43	0	8.775510	0.000000	10.000000	-3.000000	3.000000	-0.301104	-0.308483	9.571451	5
44	0	8.979592	0.000000	10.000000	-3.000000	3.000000	-1.478522	2.426716	22.129745	5
45	0	9.183673	0.000000	10.000000	-3.000000	3.000000	-0.719844	0.432960	13.993952	5
46	0	9.387755	0.000000	10.000000	-3.000000	3.000000	-0.460639	-1.377618	6.211821	5
47	0	9.591837	0.000000	10.000000	-3.000000	3.000000	1.057122	-0.564774	5.123294	5
48	0	9.795918	0.000000	10.000000	-3.000000	3.000000	0.343618	1.021383	12.594226	5
49	0	10.000000	0.000000	10.000000	-3.000000	3.000000	-1.763040	2.088443	21.461109	5
0	1	0.000000	0.204082	10.000000	-3.000000	3.000000	0.324084	-1.585983	4.634330	5
1	1	0.204082	0.204082	10.000000	-3.000000	3.000000	-0.385082	-1.879924	5.691056	5
2	1	0.408163	0.204082	10.000000	-3.000000	3.000000	-0.676922	1.870965	17.814492	5
3	1	0.612245	0.204082	10.000000	-3.000000	3.000000	0.611676	0.389614	9.198156	5
4	1	0.816327	0.204082	10.000000	-3.000000	3.000000	1.031000	-0.868293	3.693833	5
5	1	1.020408	0.204082	10.000000	-3.000000	3.000000	0.931280	0.534629	8.249282	5
6	1	1.224490	0.204082	10.000000	-3.000000	3.000000	-0.839218	-2.635748	4.965086	5
7	1	1.428571	0.204082	10.000000	-3.000000	3.000000	-0.309212	0.003376	10.947493	5
8	1	1.632653	0.204082	10.000000	-3.000000	3.000000	0.331263	0.327821	9.920417	5
9	1	1.836735	0.204082	10.000000	-3.000000	3.000000	0.975545	0.924270	9.634230	5
10	1	2.040816	0.204082	10.000000	-3.000000	3.000000	-0.479174	-1.013896	8.243240	5
11	1	2.244898	0.204082	10.000000	-3.000000	3.000000	-0.185659	0.085687	11.337494	5
12	1	2.448980	0.204082	10.000000	-3.000000	3.000000	-1.106335	-0.925425	10.375109	5
13	1	2.653061	0.204082	10.000000	-3.000000	3.000000	-1.196207	0.255384	13.684239	5
14	1	2.857143	0.204082	10.000000	-3.000000	3.000000	0.812526	-0.895346	5.248209	5
15	1	3.061224	0.204082	10.000000	-3.000000	3.000000	1.356240	-0.408101	4.604539	5
16	1	3.265306	0.204082	10.000000	-3.000000	3.000000	-0.072010	-0.995815	7.244282	5
17	1	3.469388	0.204082	10.000000	-3.000000	3.000000	1.003533	0.651136	9.746599	5
18	1	3.673469	0.204082	10.000000	-3.000000	3.000000	0.361636	0.858451	11.480165	5
19	1	3.877551	0.204082	10.000000	-3.000000	3.000000	-0.645120	-0.234621	11.376089	5
20	1	4.081633	0.204082	10.000000	-3.000000	3.000000	0.361396	0.038238	8.441065	5
21	1	4.285714	0.204082	10.000000	-3.000000	3.000000	1.538037	-1.448591	0.930281	5
22	1	4.489796	0.204082	10.000000	-3.000000	3.000000	-0.035826	-0.299677	9.513211	5
23	1	4.693878	0.204082	10.000000	-3.000000	3.000000	1.564644	-0.050205	4.377768	5
24	1	4.897959	0.204082	10.000000	-3.000000	3.000000	-2.619745	2.620793	25.822037	5
25	1	5.102041	0.204082	10.000000	-3.000000	3.000000	0.821903	-1.111967	4.248787	5
26	1	5.306122	0.204082	10.000000	-3.000000	3.000000	0.087047	1.464177	14.152034	5
27	1	5.510204	0.204082	10.000000	-3.000000	3.000000	-0.299007	0.996859	14.406178	5
28	1	5.714286	0.204082	10.000000	-3.000000	3.000000	0.091761	0.280636	10.733846	5
29	1	5.918367	0.204082	10.000000	-3.000000	3.000000	-1.987569	1.758620	21.977604	5
30	1	6.122449	0.204082	10.000000	-3.000000	3.000000	-0.219672	0.372105	11.278537	5
