u	v	x_coord	y_coord	coef0	coef1	coef2	feat1	feat2	y	region
0	0	0.000000	0.000000	10.000000	-3.000000	3.000000	0.496714	0.570613	9.162297	5
1	0	0.204082	0.000000	10.000000	-3.000000	3.000000	-0.138264	0.968185	12.185812	5
2	0	0.408163	0.000000	10.000000	-3.000000	3.000000	0.647689	-0.331308	2.573901	5
3	0	0.612245	0.000000	10.000000	-3.000000	3.000000	1.523030	-0.612237	2.768975	5
4	0	0.816327	0.000000	10.000000	-3.000000	3.000000	-0.234153	-1.085151	9.279081	5
5	0	1.020408	0.000000	10.000000	-3.000000	3.000000	-0.234137	-0.825411	5.040599	5
6	0	1.224490	0.000000	10.000000	-3.000000	3.000000	1.579213	2.949094	16.730851	5
7	0	1.428571	0.000000	10.000000	-3.000000	3.000000	0.767435	1.244680	12.651172	5
8	0	1.632653	0.000000	10.000000	-3.000000	3.000000	-0.469474	-1.351074	5.519617	5
9	0	1.836735	0.000000	10.000000	-3.000000	3.000000	0.542560	-1.322458	4.051122	5
10	0	2.040816	0.000000	10.000000	-3.000000	3.000000	-0.463418	0.481866	16.831656	5
11	0	2.244898	0.000000	10.000000	-3.000000	3.000000	-0.465730	0.547265	14.872853	5
12	0	2.448980	0.000000	10.000000	-3.000000	3.000000	0.241962	0.548884	10.942724	5
13	0	2.653061	0.000000	10.000000	-3.000000	3.000000	-1.913280	-0.254956	14.380765	5
14	0	2.857143	0.000000	10.000000	-3.000000	3.000000	-1.724918	-0.125454	14.989913	5
15	0	3.061224	0.000000	10.000000	-3.000000	3.000000	-0.562288	0.327880	11.391092	5
16	0	3.265306	0.000000	10.000000	-3.000000	3.000000	-1.012831	0.085893	8.034299	5
17	0	3.469388	0.000000	10.000000	-3.000000	3.000000	0.314247	-2.219300	7.504802	5
18	0	3.673469	0.000000	10.000000	-3.000000	3.000000	-0.908024	-0.229800	12.422986	5
19	0	3.877551	0.000000	10.000000	-3.000000	3.000000	-1.412304	-0.851406	12.678060	5
20	0	4.081633	0.000000	10.000000	-3.000000	3.000000	1.465649	0.175211	5.983919	5
21	0	4.285714	0.000000	10.000000	-3.000000	3.000000	-0.225776	2.985259	17.795314	5
22	0	4.489796	0.000000	10.000000	-3.000000	3.000000	0.067528	0.367482	10.435049	5
23	0	4.693878	0.000000	10.000000	-3.000000	3.000000	-1.424748	-0.313530	9.335169	5
24	0	4.897959	0.000000	10.000000	-3.000000	3.000000	-0.544383	0.921802	20.091269	5
25	0	5.102041	0.000000	10.000000	-3.000000	3.000000	0.110923	0.482688	8.029016	5
26	0	5.306122	0.000000	10.000000	-3.000000	3.000000	-1.150994	0.420094	12.133348	5
27	0	5.510204	0.000000	10.000000	-3.000000	3.000000	0.375698	0.606851	9.592810	5
28	0	5.714286	0.000000	10.000000	-3.000000	3.000000	-0.600639	2.056544	21.191736	5
29	0	5.918367	0.000000	10.000000	-3.000000	3.000000	-0.291694	-1.130888	7.518688	5
30	0	6.122449	0.000000	10.000000	-3.000000	3.000000	-0.601707	0.473632	10.135677	5
31	0	6.326531	0.000000	10.000000	-3.000000	3.000000	1.852278	-0.926381	4.799868	5
32	0	6.530612	0.000000	10.000000	-3.000000	3.000000	-0.013497	0.555513	13.534531	5
33	0	6.734694	0.000000	10.000000	-3.000000	3.000000	-1.057711	-0.918687	11.763161	5
34	0	6.938776	0.000000	10.000000	-3.000000	3.000000	0.822545	-0.417367	8.069600	5
35	0	7.142857	0.000000	10.000000	-3.000000	3.000000	-1.220844	-0.295090	18.763166	5
36	0	7.346939	0.000000	10.000000	-3.000000	3.000000	0.208864	0.975817	17.763597	5
37	0	7.551020	0.000000	10.000000	-3.000000	3.000000	-1.959670	0.918454	16.917585	5
38	0	7.755102	0.000000	10.000000	-3.000000	3.000000	-1.328186	-1.245717	14.307118	5
39	0	7.959184	0.000000	10.000000	-3.000000	3.000000	0.196861	0.054934	10.532139	5
40	0	8.163265	0.000000	10.000000	-3.000000	3.000000	0.738467	-0.709580	6.903600	5
41	0	8.367347	0.000000	10.000000	-3.000000	3.000000	0.171368	-1.258505	1.479703	5
42	0	8.571429	0.000000	10.000000	-3.000000	3.000000	-0.115648	-0.217017	9.269929	5
43	0	8.775510	0.000000	10.000000	-3.000000	3.000000	-0.301104	-0.308483	7.945804	5
44	0	8.979592	0.000000	10.000000	-3.000000	3.000000	-1.478522	2.426716	23.785862	5
45	0	9.183673	0.000000	10.000000	-3.000000	3.000000	-0.719844	0.432960	16.136113	5
46	0	9.387755	0.000000	10.000000	-3.000000	3.000000	-0.460639	-1.377618	2.062848	5
47	0	9.591837	0.000000	10.000000	-3.000000	3.000000	1.057122	-0.564774	5.079224	5
48	0	9.795918	0.000000	10.000000	-3.000000	3.000000	0.343618	1.021383	14.837949	5
49	0	10.000000	0.000000	10.000000	-3.000000	3.000000	-1.763040	2.088443	21.087751	5
0	1	0.000000	0.204082	10.000000	-3.000000	3.000000	0.324084	-1.585983	6.092457	5
1	1	0.204082	0.204082	10.000000	-3.000000	3.000000	-0.385082	-1.879924	6.393387	5
2	1	0.408163	0.204082	10.000000	-3.000000	3.000000	-0.676922	1.870965	18.497812	5
3	1	0.612245	0.204082	10.000000	-3.000000	3.000000	0.611676	0.389614	8.655526	5
