u	v	x_coord	y_coord	coef0	coef1	coef2	feat1	feat2	y	region
0	0	0.000000	0.000000	10.000000	-3.000000	3.000000	1.062177	-1.062177	4.489788	5
1	0	0.204082	0.000000	10.000000	-3.000000	3.000000	1.069480	-1.069480	4.445965	5
2	0	0.408163	0.000000	10.000000	-3.000000	3.000000	1.077283	-1.077283	4.399146	5
3	0	0.612245	0.000000	10.000000	-3.000000	3.000000	1.085566	-1.085566	4.349450	5
4	0	0.816327	0.000000	10.000000	-3.000000	3.000000	1.094299	-1.094299	4.297053	5
5	0	1.020408	0.000000	10.000000	-3.000000	3.000000	1.103443	-1.103443	4.242186	5
6	0	1.224490	0.000000	10.000000	-3.000000	3.000000	1.112951	-1.112951	4.185143	5
7	0	1.428571	0.000000	10.000000	-3.000000	3.000000	1.122762	-1.122762	4.126273	5
8	0	1.632653	0.000000	10.000000	-3.000000	3.000000	1.132810	-1.132810	4.065986	5
9	0	1.836735	0.000000	10.000000	-3.000000	3.000000	1.143017	-1.143017	4.004745	5
10	0	2.040816	0.000000	10.000000	-3.000000	3.000000	1.153297	-1.153297	3.943063	5
11	0	2.244898	0.000000	10.000000	-3.000000	3.000000	1.163558	-1.163558	3.881499	5
12	0	2.448980	0.000000	10.000000	-3.000000	3.000000	1.173700	-1.173700	3.820649	5
13	0	2.653061	0.000000	10.000000	-3.000000	3.000000	1.183618	-1.183618	3.761137	5
14	0	2.857143	0.000000	10.000000	-3.000000	3.000000	1.193207	-1.193207	3.703602	5
15	0	3.061224	0.000000	10.000000	-3.000000	3.000000	1.202359	-1.202359	3.648695	5
16	0	3.265306	0.000000	10.000000	-3.000000	3.000000	1.210965	-1.210965	3.597059	5
17	0	3.469388	0.000000	10.000000	-3.000000	3.000000	1.218921	-1.218921	3.549319	5
18	0	3.673469	0.000000	10.000000	-3.000000	3.000000	1.226129	-1.226129	3.506072	5
19	0	3.877551	0.000000	10.000000	-3.000000	3.000000	1.232496	-1.232496	3.467872	5
20	0	4.081633	0.000000	10.000000	-3.000000	3.000000	1.237938	-1.237938	3.435218	5
21	0	4.285714	0.000000	10.000000	-3.000000	3.000000	1.242384	-1.242384	3.408545	5
22	0	4.489796	0.000000	10.000000	-3.000000	3.000000	1.245772	-1.245772	3.388214	5
23	0	4.693878	0.000000	10.000000	-3.000000	3.000000	1.248057	-1.248057	3.374502	5
24	0	4.897959	0.000000	10.000000	-3.000000	3.000000	1.249208	-1.249208	3.367599	5
25	0	5.102041	0.000000	10.000000	-3.000000	3.000000	1.249208	-1.249208	3.367599	5
26	0	5.306122	0.000000	10.000000	-3.000000	3.000000	1.248057	-1.248057	3.374502	5
27	0	5.510204	0.000000	10.000000	-3.000000	3.000000	1.245772	-1.245772	3.388214	5
28	0	5.714286	0.000000	10.000000	-3.000000	3.000000	1.242384	-1.242384	3.408545	5
29	0	5.918367	0.000000	10.000000	-3.000000	3.000000	1.237938	-1.237938	3.435218	5
30	0	6.122449	0.000000	10.000000	-3.000000	3.000000	1.232496	-1.232496	3.467872	5
31	0	6.326531	0.000000	10.000000	-3.000000	3.000000	1.226129	-1.226129	3.506072	5
32	0	6.530612	0.000000	10.000000	-3.000000	3.000000	1.218921	-1.218921	3.549319	5
33	0	6.734694	0.000000	10.000000	-3.000000	3.000000	1.210965	-1.210965	3.597059	5
34	0	6.938776	0.000000	10.000000	-3.000000	3.000000	1.202359	-1.202359	3.648695	5
35	0	7.142857	0.000000	10.000000	-3.000000	3.000000	1.193207	-1.193207	3.703602	5
36	0	7.346939	0.000000	10.000000	-3.000000	3.000000	1.183618	-1.183618	3.761137	5
37	0	7.551020	0.000000	10.000000	-3.000000	3.000000	1.173700	-1.173700	3.820649	5
38	0	7.755102	0.000000	10.000000	-3.000000	3.000000	1.163558	-1.163558	3.881499	5
39	0	7.959184	0.000000	10.000000	-3.000000	3.000000	1.153297	-1.153297	3.943063	5
40	0	8.163265	0.000000	10.000000	-3.000000	3.000000	1.143017	-1.143017	4.004745	5
41	0	8.367347	0.000000	10.000000	-3.000000	3.000000	1.132810	-1.132810	4.065986	5
42	0	8.571429	0.000000	10.000000	-3.000000	3.000000	1.122762	-1.122762	4.126273	5
43	0	8.775510	0.000000	10.000000	-3.000000	3.000000	1.112951	-1.112951	4.185143	5
44	0	8.979592	0.000000	10.000000	-3.000000	3.000000	1.103443	-1.103443	4.242186	5
45	0	9.183673	0.000000	10.000000	-3.000000	3.000000	1.094299	-1.094299	4.297053	5
46	0	9.387755	0.000000	10.000000	-3.000000	3.000000	1.085566	-1.085566	4.349450	5
47	0	9.591837	0.000000	10.000000	-3.000000	3.000000	1.077283	-1.077283	4.399146	5
48	0	9.795918	0.000000	10.000000	-3.000000	3.000000	1.069480	-1.069480	4.445965	5
49	0	10.000000	0.000000	10.000000	-3.000000	3.000000	1.062177	-1.062177	4.489788	5
0	1	0.000000	0.204082	10.000000	-3.000000	3.000000	1.069480	-1.069480	4.445965	5
1	1	0.204082	0.204082	10.000000	-3.000000	3.000000	1.077642	-1.077642	4.396996	5
2	1	0.408163	0.204082	10.000000	-3.000000	3.000000	1.086362	-1.086362	4.344677	5
3	1	0.612245	0.204082	10.000000	-3.000000	3.000000	1.095617	-1.095617	4.289143	5
4	1	0.816327	0.204082	10.000000	-3.000000	3.000000	1.105376	-1.105376	4.230591	5
5	1	1.020408	0.204082	10.000000	-3.000000	3.000000	1.115595	-1.115595	4.169279	5
6	1	1.224490	0.204082	10.000000	-3.000000	3.000000	1.126219	-1.126219	4.105535	5
7	1	1.428571	0.204082	10.000000	-3.000000	3.000000	1.137183	-1.137183	4.039750	5
8	1	1.632653	0.204082	10.000000	-3.000000	3.000000	1.148411	-1.148411	3.972381	5
9	1	1.836735	0.204082	10.000000	-3.000000	3.000000	1.159817	-1.159817	3.903946	5
10	1	2.040816	0.204082	10.000000	-3.000000	3.000000	1.171305	-1.171305	3.835018	5
11	1	2.244898	0.204082	10.000000	-3.000000	3.000000	1.182771	-1.182771	3.766223	5
12	1	2.448980	0.204082	10.000000	-3.000000	3.000000	1.194104	-1.194104	3.698225	5
13	1	2.653061	0.204082	10.000000	-3.000000	3.000000	1.205188	-1.205188	3.631722	5
14	1	2.857143	0.204082	10.000000	-3.000000	3.000000	1.215903	-1.215903	3.567429	5
15	1	3.061224	0.204082	10.000000	-3.000000	3.000000	1.226129	-1.226129	3.506072	5
16	1	3.265306	0.204082	10.000000	-3.000000	3.000000	1.235746	-1.235746	3.448370	5
17	1	3.469388	0.204082	10.000000	-3.000000	3.000000	1.244637	-1.244637	3.395022	5
18	1	3.673469	0.204082	10.000000	-3.000000	3.000000	1.252692	-1.252692	3.346695	5
19	1	3.877551	0.204082	10.000000	-3.000000	3.000000	1.259807	-1.259807	3.304008	5
