u	v	x_coord	y_coord	coef0	coef1	coef2	feat1	feat2	y
0	0	-1.697410	-1.697410	3.000000	4	-4	0.127465	1.416545	0.140526
1	0	-1.628128	-1.697410	3.000000	4	-4	0.681746	0.670956	6.342690
2	0	-1.558846	-1.697410	3.000000	4	-4	1.204947	-1.087615	14.136194
3	0	-1.489564	-1.697410	3.000000	4	-4	0.571954	-1.119027	11.987693
4	0	-1.420282	-1.697410	3.000000	4	-4	-1.574142	-0.928726	4.756149
5	0	-1.351000	-1.697410	3.000000	4	-4	-1.076076	0.738312	-0.502268
6	0	-1.281718	-1.697410	3.000000	4	-4	0.943603	-0.223733	11.787449
7	0	-1.212436	-1.697410	3.000000	4	-4	-0.922450	1.123482	-2.322634
8	0	-1.143154	-1.697410	3.000000	4	-4	0.855099	0.685913	5.528882
9	0	-1.073872	-1.697410	3.000000	4	-4	-0.702581	-0.047177	2.766050
10	0	-1.004589	-1.697410	3.000000	4	-4	0.846904	1.094215	5.690403
11	0	-0.935307	-1.697410	3.000000	4	-4	-1.328385	0.229073	1.000629
12	0	-0.866025	-1.697410	3.000000	4	-4	-1.376389	0.401478	-1.940848
13	0	-0.796743	-1.697410	3.000000	4	-4	1.022313	0.145924	10.108715
14	0	-0.727461	-1.697410	3.000000	4	-4	0.105087	0.192042	7.491931
15	0	-0.658179	-1.697410	3.000000	4	-4	1.446519	1.691382	6.190922
16	0	-0.588897	-1.697410	3.000000	3	-3	-0.318949	1.070288	1.577597
17	0	-0.519615	-1.697410	3.000000	3	-3	-0.827405	0.465019	2.389105
18	0	-0.450333	-1.697410	3.000000	3	-3	1.548930	-0.966458	14.451116
19	0	-0.381051	-1.697410	3.000000	3	-3	-1.415958	1.484635	-2.758130
20	0	-0.311769	-1.697410	3.000000	3	-3	-0.222337	-0.869198	5.928282
21	0	-0.242487	-1.697410	3.000000	3	-3	0.902392	-1.036386	14.011183
22	0	-0.173205	-1.697410	3.000000	3	-3	-0.831596	1.768612	-1.756891
23	0	-0.103923	-1.697410	3.000000	3	-3	-0.081705	-0.246955	7.579166
24	0	-0.034641	-1.697410	3.000000	3	-3	-1.014598	-1.435568	7.630454
25	0	0.034641	-1.697410	3.000000	3	-3	-0.843916	0.763435	1.885132
26	0	0.103923	-1.697410	3.000000	3	-3	-0.473058	-1.321608	9.221474
27	0	0.173205	-1.697410	3.000000	3	-3	1.116825	0.436006	9.323138
28	0	0.242487	-1.697410	3.000000	3	-3	1.115491	-1.394288	13.655135
29	0	0.311769	-1.697410	3.000000	2	-2	1.213260	-0.262369	9.216581
30	0	0.381051	-1.697410	3.000000	2	-2	1.501850	0.461527	8.234332
31	0	0.450333	-1.697410	3.000000	2	-2	0.115594	0.882962	4.429380
32	0	0.519615	-1.697410	3.000000	2	-2	0.663907	0.030012	8.077223
33	0	0.588897	-1.697410	3.000000	2	-2	-1.151982	-1.120458	7.223438
34	0	0.658179	-1.697410	3.000000	2	-2	-0.375320	-1.595035	6.406675
35	0	0.727461	-1.697410	3.000000	2	-2	1.008215	0.151358	6.960669
36	0	0.796743	-1.697410	3.000000	2	-2	0.818148	-0.373877	6.870352
37	0	0.866025	-1.697410	3.000000	2	-2	1.555351	-0.615359	10.141306
38	0	0.935307	-1.697410	3.000000	2	-2	-0.705232	1.762153	-1.373913
39	0	1.004589	-1.697410	3.000000	2	-2	-0.806588	-0.006002	5.692993
40	0	1.073872	-1.697410	3.000000	2	-2	-0.645642	-0.172986	3.140472
41	0	1.143154	-1.697410	3.000000	2	-2	-1.009674	1.720366	-0.449618
42	0	1.212436	-1.697410	3.000000	2	-2	-0.679101	1.416110	1.917002
43	0	1.281718	-1.697410	3.000000	2	-2	0.287272	0.707826	4.085555
44	0	1.351000	-1.697410	3.000000	2	-2	1.730396	-0.224266	11.596390
45	0	1.420282	-1.697410	3.000000	2	-2	1.680586	0.086182	7.733686
46	0	1.489564	-1.697410	3.000000	3	-3	-1.510020	-1.670074	4.900260
