u	v	x_coord	y_coord	coef0	coef1	coef2	feat1	feat2	y	region
0	0	0.000000	0.000000	0.000000	4.000000	-2.000000	0.496714	0.570613	0.633751	1
1	0	0.204082	0.000000	0.000000	4.000000	-2.000000	-0.138264	0.968185	-2.716134	1
2	0	0.408163	0.000000	0.000000	4.000000	-2.000000	0.647689	-0.331308	2.355549	1
3	0	0.612245	0.000000	0.000000	4.000000	-2.000000	1.523030	-0.612237	7.151548	1
4	0	0.816327	0.000000	0.000000	4.000000	-2.000000	-0.234153	-1.085151	1.600102	1
5	0	1.020408	0.000000	0.000000	4.000000	-2.000000	-0.234137	-0.825411	0.077157	1
6	0	1.224490	0.000000	0.000000	4.000000	-2.000000	1.579213	2.949094	0.942904	1
7	0	1.428571	0.000000	0.000000	4.000000	-2.000000	0.767435	1.244680	0.824267	1
8	0	1.632653	0.000000	0.000000	4.000000	-2.000000	-0.469474	-1.351074	0.457135	1
9	0	1.836735	0.000000	0.000000	4.000000	-2.000000	0.542560	-1.322458	4.744391	1
10	0	2.040816	0.000000	0.000000	4.000000	-2.000000	-0.463418	0.481866	-2.018242	1
11	0	2.244898	0.000000	0.000000	4.000000	-2.000000	-0.465730	0.547265	-2.590675	1
12	0	2.448980	0.000000	0.000000	4.000000	-2.000000	0.241962	0.548884	-0.125527	1
13	0	2.653061	0.000000	0.000000	4.000000	-2.000000	-1.913280	-0.254956	-7.262051	1
14	0	2.857143	0.000000	0.000000	4.000000	-2.000000	-1.724918	-0.125454	-6.610458	1
15	0	3.061224	0.000000	1.000000	2.000000	4.000000	-0.562288	0.327880	0.931061	2
16	0	3.265306	0.000000	1.000000	2.000000	4.000000	-1.012831	0.085893	-1.734465	2
17	0	3.469388	0.000000	1.000000	2.000000	4.000000	0.314247	-2.219300	-6.227618	2
18	0	3.673469	0.000000	1.000000	2.000000	4.000000	-0.908024	-0.229800	-1.657584	2
19	0	3.877551	0.000000	1.000000	2.000000	4.000000	-1.412304	-0.851406	-5.031160	2
20	0	4.081633	0.000000	1.000000	2.000000	4.000000	1.465649	0.175211	4.603189	2
21	0	4.285714	0.000000	1.000000	2.000000	4.000000	-0.225776	2.985259	12.121925	2
22	0	4.489796	0.000000	1.000000	2.000000	4.000000	0.067528	0.367482	2.512021	2
23	0	4.693878	0.000000	1.000000	2.000000	4.000000	-1.424748	-0.313530	-3.903312	2
24	0	4.897959	0.000000	1.000000	2.000000	4.000000	-0.544383	0.921802	4.736984	2
25	0	5.102041	0.000000	1.000000	2.000000	4.000000	0.110923	0.482688	2.535341	2
26	0	5.306122	0.000000	1.000000	2.000000	4.000000	-1.150994	0.420094	-0.137592	2
27	0	5.510204	0.000000	1.000000	2.000000	4.000000	0.375698	0.606851	3.958669	2
28	0	5.714286	0.000000	1.000000	2.000000	4.000000	-0.600639	2.056544	8.668935	2
29	0	5.918367	0.000000	1.000000	2.000000	4.000000	-0.291694	-1.130888	-4.099687	2
30	0	6.122449	0.000000	5.000000	0.500000	-3.000000	-0.601707	0.473632	2.660183	3
31	0	6.326531	0.000000	5.000000	0.500000	-3.000000	1.852278	-0.926381	9.332452	3
32	0	6.530612	0.000000	5.000000	0.500000	-3.000000	-0.013497	0.555513	3.692214	3
33	0	6.734694	0.000000	5.000000	0.500000	-3.000000	-1.057711	-0.918687	7.496422	3
34	0	6.938776	0.000000	5.000000	0.500000	-3.000000	0.822545	-0.417367	7.021240	3
35	0	7.142857	0.000000	5.000000	0.500000	-3.000000	-1.220844	-0.295090	6.472029	3
36	0	7.346939	0.000000	5.000000	0.500000	-3.000000	0.208864	0.975817	3.269529	3
37	0	7.551020	0.000000	5.000000	0.500000	-3.000000	-1.959670	0.918454	0.921444	3
38	0	7.755102	0.000000	5.000000	0.500000	-3.000000	-1.328186	-1.245717	8.885002	3
39	0	7.959184	0.000000	5.000000	0.500000	-3.000000	0.196861	0.054934	5.125212	3
40	0	8.163265	0.000000	5.000000	0.500000	-3.000000	0.738467	-0.709580	7.747521	3
41	0	8.367347	0.000000	5.000000	0.500000	-3.000000	0.171368	-1.258505	8.015063	3
42	0	8.571429	0.000000	5.000000	0.500000	-3.000000	-0.115648	-0.217017	5.508034	3
43	0	8.775510	0.000000	5.000000	0.500000	-3.000000	-0.301104	-0.308483	5.368485	3
