u	v	x_coord	y_coord	coef0	coef1	coef2	feat1	feat2	y
0	0	0.000000	0.000000	0.000000	4.000000	-3.000000	0.496714	0.570613	0.063138
1	0	0.204082	0.000000	0.000000	4.000000	-3.000000	-0.138264	0.968185	-3.669491
2	0	0.408163	0.000000	0.000000	4.000000	-3.000000	0.647689	-0.331308	3.372799
3	0	0.612245	0.000000	0.000000	4.000000	-3.000000	1.523030	-0.612237	7.716950
4	0	0.816327	0.000000	0.000000	4.000000	-3.000000	-0.234153	-1.085151	2.106958
5	0	1.020408	0.000000	0.000000	4.000000	-3.000000	-0.234137	-0.825411	1.327804
6	0	1.224490	0.000000	0.000000	4.000000	-3.000000	1.579213	2.949094	-2.742312
7	0	1.428571	0.000000	0.000000	4.000000	-3.000000	0.767435	1.244680	-0.876180
8	0	1.632653	0.000000	0.000000	4.000000	-3.000000	-0.469474	-1.351074	1.963446
9	0	1.836735	0.000000	0.000000	4.000000	-3.000000	0.542560	-1.322458	5.925734
10	0	2.040816	0.000000	0.000000	4.000000	-0.500000	-0.463418	0.481866	-2.306484
11	0	2.244898	0.000000	0.000000	4.000000	-0.500000	-0.465730	0.547265	-2.348431
12	0	2.448980	0.000000	0.000000	4.000000	-0.500000	0.241962	0.548884	0.481527
13	0	2.653061	0.000000	0.000000	4.000000	-0.500000	-1.913280	-0.254956	-7.737523
14	0	2.857143	0.000000	0.000000	4.000000	-0.500000	-1.724918	-0.125454	-7.048824
15	0	3.061224	0.000000	0.000000	4.000000	-0.500000	-0.562288	0.327880	-2.624970
16	0	3.265306	0.000000	0.000000	4.000000	-0.500000	-1.012831	0.085893	-4.306151
17	0	3.469388	0.000000	0.000000	4.000000	-0.500000	0.314247	-2.219300	2.154760
18	0	3.673469	0.000000	0.000000	4.000000	-0.500000	-0.908024	-0.229800	-3.729076
19	0	3.877551	0.000000	0.000000	4.000000	-0.500000	-1.412304	-0.851406	-5.435391
20	0	4.081633	0.000000	1.000000	2.000000	-0.500000	1.465649	0.175211	3.631812
21	0	4.285714	0.000000	1.000000	2.000000	-0.500000	-0.225776	2.985259	-1.156062
22	0	4.489796	0.000000	1.000000	2.000000	-0.500000	0.067528	0.367482	0.739436
23	0	4.693878	0.000000	1.000000	2.000000	-0.500000	-1.424748	-0.313530	-1.904611
24	0	4.897959	0.000000	1.000000	2.000000	-0.500000	-0.544383	0.921802	-0.761546
25	0	5.102041	0.000000	1.000000	2.000000	-0.500000	0.110923	0.482688	0.768621
26	0	5.306122	0.000000	1.000000	2.000000	-0.500000	-1.150994	0.420094	-1.723914
27	0	5.510204	0.000000	1.000000	2.000000	-0.500000	0.375698	0.606851	1.236091
28	0	5.714286	0.000000	1.000000	2.000000	-0.500000	-0.600639	2.056544	-1.441429
29	0	5.918367	0.000000	1.000000	2.000000	-0.500000	-0.291694	-1.130888	0.770177
30	0	6.122449	0.000000	1.000000	2.000000	3.000000	-0.601707	0.473632	1.005603
31	0	6.326531	0.000000	1.000000	2.000000	3.000000	1.852278	-0.926381	1.713533
32	0	6.530612	0.000000	1.000000	2.000000	3.000000	-0.013497	0.555513	2.427664
33	0	6.734694	0.000000	1.000000	2.000000	3.000000	-1.057711	-0.918687	-4.083361
34	0	6.938776	0.000000	1.000000	2.000000	3.000000	0.822545	-0.417367	1.181110
35	0	7.142857	0.000000	1.000000	2.000000	3.000000	-1.220844	-0.295090	-2.538837
36	0	7.346939	0.000000	1.000000	2.000000	3.000000	0.208864	0.975817	4.133298
