u	v	x_coord	y_coord	coef0	coef1	coef2	feat1	feat2	y	region
0	0	0.000000	0.000000	0.000000	4.000000	-2.000000	-1.266675	0.570613	-5.345079	1
1	0	0.204082	0.000000	0.000000	4.000000	-2.000000	-1.284778	0.968185	-6.212634	1
2	0	0.408163	0.000000	0.000000	4.000000	-2.000000	-1.317343	-0.331308	-3.743909	1
3	0	0.612245	0.000000	0.000000	4.000000	-2.000000	-1.337020	-0.612237	-3.260760	1
4	0	0.816327	0.000000	0.000000	4.000000	-2.000000	-1.350071	-1.085151	-2.367135	1
5	0	1.020408	0.000000	0.000000	4.000000	-2.000000	-1.371211	-0.825411	-2.971176	1
6	0	1.224490	0.000000	0.000000	4.000000	-2.000000	-1.386197	2.949094	-10.580132	1
7	0	1.428571	0.000000	0.000000	4.000000	-2.000000	-1.421677	1.244680	-7.313218	1
8	0	1.632653	0.000000	0.000000	4.000000	-2.000000	-1.428967	-1.351074	-2.150871	1
9	0	1.836735	0.000000	0.000000	4.000000	-2.000000	-1.457737	-1.322458	-2.323186	1
10	0	2.040816	0.000000	0.000000	4.000000	-2.000000	-1.484250	0.481866	-6.037885	1
11	0	2.244898	0.000000	0.000000	4.000000	-2.000000	-1.499393	0.547265	-6.229255	1
12	0	2.448980	0.000000	0.000000	4.000000	-2.000000	-1.512229	0.548884	-6.283838	1
13	0	2.653061	0.000000	0.000000	4.000000	-2.000000	-1.536827	-0.254956	-4.774550	1
14	0	2.857143	0.000000	0.000000	4.000000	-2.000000	-1.559099	-0.125454	-5.122640	1
15	0	3.061224	0.000000	1.000000	2.000000	4.000000	-1.590989	0.327880	-0.007614	2
16	0	3.265306	0.000000	1.000000	2.000000	4.000000	-1.613184	0.085893	-1.019950	2
17	0	3.469388	0.000000	1.000000	2.000000	4.000000	-1.631211	-2.219300	-10.276776	2
18	0	3.673469	0.000000	1.000000	2.000000	4.000000	-1.647064	-0.229800	-2.350480	2
19	0	3.877551	0.000000	1.000000	2.000000	4.000000	-1.668633	-0.851406	-4.880044	2
20	0	4.081633	0.000000	1.000000	2.000000	4.000000	-1.697444	0.175211	-0.831195	2
21	0	4.285714	0.000000	1.000000	2.000000	4.000000	-1.718337	2.985259	10.367209	2
22	0	4.489796	0.000000	1.000000	2.000000	4.000000	-1.741816	0.367482	-0.150859	2
23	0	4.693878	0.000000	1.000000	2.000000	4.000000	-1.754215	-0.313530	-2.899701	2
24	0	4.897959	0.000000	1.000000	2.000000	4.000000	-1.777739	0.921802	1.994576	2
25	0	5.102041	0.000000	1.000000	2.000000	4.000000	-1.800775	0.482688	0.192048	2
26	0	5.306122	0.000000	1.000000	2.000000	4.000000	-1.823662	0.420094	-0.104099	2
27	0	5.510204	0.000000	1.000000	2.000000	4.000000	-1.838912	0.606851	0.612426	2
28	0	5.714286	0.000000	1.000000	2.000000	4.000000	-1.862344	2.056544	6.364333	2
29	0	5.918367	0.000000	1.000000	2.000000	4.000000	-1.876070	-1.130888	-6.412846	2
30	0	6.122449	0.000000	5.000000	0.500000	-3.000000	-1.910274	0.473632	3.486814	3
31	0	6.326531	0.000000	5.000000	0.500000	-3.000000	-1.934669	-0.926381	7.674656	3
32	0	6.530612	0.000000	5.000000	0.500000	-3.000000	-1.934928	0.555513	3.228845	3
33	0	6.734694	0.000000	5.000000	0.500000	-3.000000	-1.964204	-0.918687	7.636805	3
34	0	6.938776	0.000000	5.000000	0.500000	-3.000000	-1.989343	-0.417367	6.120276	3
35	0	7.142857	0.000000	5.000000	0.500000	-3.000000	-2.014158	-0.295090	5.741037	3
36	0	7.346939	0.000000	5.000000	0.500000	-3.000000	-2.026330	0.975817	1.922232	3
37	0	7.551020	0.000000	5.000000	0.500000	-3.000000	-2.052574	0.918454	2.081196	3
38	0	7.755102	0.000000	5.000000	0.500000	-3.000000	-2.074814	-1.245717	8.562592	3
39	0	7.959184	0.000000	5.000000	0.500000	-3.000000	-2.095294	0.054934	4.650397	3
40	0	8.163265	0.000000	5.000000	0.500000	-3.000000	-2.116688	-0.709580	6.933243	3
41	0	8.367347	0.000000	5.000000	0.500000	-3.000000	-2.132357	-1.258505	8.572183	3
42	0	8.571429	0.000000	5.000000	0.500000	-3.000000	-2.151889	-0.217017	5.437953	3
43	0	8.775510	0.000000	5.000000	0.500000	-3.000000	-2.182809	-0.308483	5.696891	3
