u	v	x_coord	y_coord	coef0	coef1	coef2	feat1	feat2	y	region
0	0	0.000000	0.000000	5.000000	0.500000	-3.000000	0.496714	0.570613	4.436558	3
1	0	0.204082	0.000000	5.000000	0.500000	-3.000000	-0.138264	0.968185	1.991473	3
2	0	0.408163	0.000000	5.000000	0.500000	-3.000000	0.647689	-0.331308	7.084271	3
3	0	0.612245	0.000000	5.000000	0.500000	-3.000000	1.523030	-0.612237	8.204594	3
4	0	0.816327	0.000000	5.000000	0.500000	-3.000000	-0.234153	-1.085151	7.825769	3
5	0	1.020408	0.000000	5.000000	0.500000	-3.000000	-0.234137	-0.825411	6.996697	3
6	0	1.224490	0.000000	5.000000	0.500000	-3.000000	1.579213	2.949094	-2.723339	3
7	0	1.428571	0.000000	5.000000	0.500000	-3.000000	0.767435	1.244680	1.779709	3
8	0	1.632653	0.000000	5.000000	0.500000	-3.000000	-0.469474	-1.351074	8.617484	3
9	0	1.836735	0.000000	5.000000	0.500000	-3.000000	0.542560	-1.322458	9.599267	3
10	0	2.040816	0.000000	5.000000	0.500000	-3.000000	-0.463418	0.481866	2.601452	3
11	0	2.244898	0.000000	5.000000	0.500000	-3.000000	-0.465730	0.547265	3.182841	3
12	0	2.448980	0.000000	5.000000	0.500000	-3.000000	0.241962	0.548884	2.854868	3
13	0	2.653061	0.000000	5.000000	0.500000	-3.000000	-1.913280	-0.254956	4.205232	3
14	0	2.857143	0.000000	5.000000	0.500000	-3.000000	-1.724918	-0.125454	4.160521	3
15	0	3.061224	0.000000	5.000000	0.500000	-3.000000	-0.562288	0.327880	3.916861	3
16	0	3.265306	0.000000	1.000000	2.000000	4.000000	-1.012831	0.085893	-1.019709	2
17	0	3.469388	0.000000	1.000000	2.000000	4.000000	0.314247	-2.219300	-7.857761	2
18	0	3.673469	0.000000	1.000000	2.000000	4.000000	-0.908024	-0.229800	-1.496622	2
19	0	3.877551	0.000000	1.000000	2.000000	4.000000	-1.412304	-0.851406	-4.483860	2
20	0	4.081633	0.000000	1.000000	2.000000	4.000000	1.465649	0.175211	4.951568	2
21	0	4.285714	0.000000	1.000000	2.000000	4.000000	-0.225776	2.985259	13.390383	2
22	0	4.489796	0.000000	1.000000	2.000000	4.000000	0.067528	0.367482	3.309572	2
23	0	4.693878	0.000000	1.000000	2.000000	4.000000	-1.424748	-0.313530	-3.347329	2
24	0	4.897959	0.000000	1.000000	2.000000	4.000000	-0.544383	0.921802	3.914520	2
25	0	5.102041	0.000000	1.000000	2.000000	4.000000	0.110923	0.482688	3.106781	2
26	0	5.306122	0.000000	1.000000	2.000000	4.000000	-1.150994	0.420094	0.909441	2
27	0	5.510204	0.000000	1.000000	2.000000	4.000000	0.375698	0.606851	4.132893	2
28	0	5.714286	0.000000	1.000000	2.000000	4.000000	-0.600639	2.056544	7.630549	2
29	0	5.918367	0.000000	1.000000	2.000000	4.000000	-0.291694	-1.130888	-3.420238	2
30	0	6.122449	0.000000	1.000000	2.000000	4.000000	-0.601707	0.473632	1.850013	2
31	0	6.326531	0.000000	1.000000	2.000000	4.000000	1.852278	-0.926381	0.667267	2
32	0	6.530612	0.000000	1.000000	2.000000	4.000000	-0.013497	0.555513	2.945693	2
33	0	6.734694	0.000000	1.000000	2.000000	4.000000	-1.057711	-0.918687	-5.125128	2
34	0	6.938776	0.000000	1.000000	2.000000	4.000000	0.822545	-0.417367	0.474749	2
35	0	7.142857	0.000000	1.000000	2.000000	4.000000	-1.220844	-0.295090	-2.860805	2
36	0	7.346939	0.000000	1.000000	2.000000	4.000000	0.208864	0.975817	5.507505	2
37	0	7.551020	0.000000	1.000000	2.000000	4.000000	-1.959670	0.918454	0.786508	2
38	0	7.755102	0.000000	1.000000	2.000000	4.000000	-1.328186	-1.245717	-6.858350	2
39	0	7.959184	0.000000	1.000000	2.000000	4.000000	0.196861	0.054934	2.361213	2
40	0	8.163265	0.000000	1.000000	2.000000	4.000000	0.738467	-0.709580	-1.366703	2
41	0	8.367347	0.000000	1.000000	2.000000	4.000000	0.171368	-1.258505	-3.538215	2
42	0	8.571429	0.000000	1.000000	2.000000	4.000000	-0.115648	-0.217017	-0.170744	2
43	0	8.775510	0.000000	1.000000	2.000000	4.000000	-0.301104	-0.308483	-1.321229	2
44	0	8.979592	0.000000	1.000000	2.000000	4.000000	-1.478522	2.426716	7.932049	2
45	0	9.183673	0.000000	1.000000	2.000000	4.000000	-0.719844	0.432960	1.182277	2
46	0	9.387755	0.000000	1.000000	2.000000	4.000000	-0.460639	-1.377618	-4.808211	2
47	0	9.591837	0.000000	1.000000	2.000000	4.000000	1.057122	-0.564774	1.289181	2
48	0	9.795918	0.000000	1.000000	2.000000	4.000000	0.343618	1.021383	6.725835	2
49	0	10.000000	0.000000	1.000000	2.000000	4.000000	-1.763040	2.088443	5.586032	2
0	1	0.000000	0.204082	5.000000	0.500000	-3.000000	0.324084	-1.585983	10.618269	3
1	1	0.204082	0.204082	5.000000	0.500000	-3.000000	-0.385082	-1.879924	9.864305	3
2	1	0.408163	0.204082	5.000000	0.500000	-3.000000	-0.676922	1.870965	-1.006675	3
3	1	0.612245	0.204082	5.000000	0.500000	-3.000000	0.611676	0.389614	3.904372	3
4	1	0.816327	0.204082	5.000000	0.500000	-3.000000	1.031000	-0.868293	8.421601	3
5	1	1.020408	0.204082	5.000000	0.500000	-3.000000	0.931280	0.534629	4.150891	3
6	1	1.224490	0.204082	5.000000	0.500000	-3.000000	-0.839218	-2.635748	12.037325	3
7	1	1.428571	0.204082	5.000000	0.500000	-3.000000	-0.309212	0.003376	5.164363	3
8	1	1.632653	0.204082	5.000000	0.500000	-3.000000	0.331263	0.327821	3.991924	3
9	1	1.836735	0.204082	5.000000	0.500000	-3.000000	0.975545	0.924270	2.306563	3
10	1	2.040816	0.204082	5.000000	0.500000	-3.000000	-0.479174	-1.013896	7.796210	3
11	1	2.244898	0.204082	5.000000	0.500000	-3.000000	-0.185659	0.085687	3.911687	3
12	1	2.448980	0.204082	5.000000	0.500000	-3.000000	-1.106335	-0.925425	7.688760	3
13	1	2.653061	0.204082	5.000000	0.500000	-3.000000	-1.196207	0.255384	3.607935	3
14	1	2.857143	0.204082	5.000000	0.500000	-3.000000	0.812526	-0.895346	8.075429	3
15	1	3.061224	0.204082	5.000000	0.500000	-3.000000	1.356240	-0.408101	6.858839	3
16	1	3.265306	0.204082	1.000000	2.000000	4.000000	-0.072010	-0.995815	-2.303857	2
17	1	3.469388	0.204082	1.000000	2.000000	4.000000	1.003533	0.651136	6.371050	2
18	1	3.673469	0.204082	1.000000	2.000000	4.000000	0.361636	0.858451	5.832457	2
19	1	3.877551	0.204082	1.000000	2.000000	4.000000	-0.645120	-0.234621	-1.271243	2
20	1	4.081633	0.204082	1.000000	2.000000	4.000000	0.361396	0.038238	1.317931	2
21	1	4.285714	0.204082	1.000000	2.000000	4.000000	1.538037	-1.448591	-1.726282	2
22	1	4.489796	0.204082	1.000000	2.000000	4.000000	-0.035826	-0.299677	-0.113158	2
23	1	4.693878	0.204082	1.000000	2.000000	4.000000	1.564644	-0.050205	4.334774	2
24	1	4.897959	0.204082	1.000000	2.000000	4.000000	-2.619745	2.620793	6.399274	2
25	1	5.102041	0.204082	1.000000	2.000000	4.000000	0.821903	-1.111967	-2.317310	2
26	1	5.306122	0.204082	1.000000	2.000000	4.000000	0.087047	1.464177	6.763095	2
27	1	5.510204	0.204082	1.000000	2.000000	4.000000	-0.299007	0.996859	4.076352	2
28	1	5.714286	0.204082	1.000000	2.000000	4.000000	0.091761	0.280636	2.575594	2
29	1	5.918367	0.204082	1.000000	2.000000	4.000000	-1.987569	1.758620	4.341143	2
30	1	6.122449	0.204082	1.000000	2.000000	4.000000	-0.219672	0.372105	2.396394	2
31	1	6.326531	0.204082	1.000000	2.000000	4.000000	0.357113	0.389159	3.421380	2
32	1	6.530612	0.204082	1.000000	2.000000	4.000000	1.477894	-0.053121	2.713706	2
33	1	6.734694	0.204082	1.000000	2.000000	4.000000	-0.518270	1.223569	3.994805	2
34	1	6.938776	0.204082	1.000000	2.000000	4.000000	-0.808494	1.096469	3.698796	2
35	1	7.142857	0.204082	1.000000	2.000000	4.000000	-0.501757	-0.625677	-2.457184	2
36	1	7.346939	0.204082	1.000000	2.000000	4.000000	0.915402	-1.319247	-1.819352	2
37	1	7.551020	0.204082	1.000000	2.000000	4.000000	0.328751	-0.202981	0.884477	2
38	1	7.755102	0.204082	1.000000	2.000000	4.000000	-0.529760	-0.800039	-3.747649	2
39	1	7.959184	0.204082	1.000000	2.000000	4.000000	0.513267	-0.063525	2.103519	2
40	1	8.163265	0.204082	1.000000	2.000000	4.000000	0.097078	1.237438	6.135282	2
41	1	8.367347	0.204082	1.000000	2.000000	4.000000	0.968645	-0.457302	0.907056	2
42	1	8.571429	0.204082	1.000000	2.000000	4.000000	-0.702053	-0.042823	-1.382699	2
43	1	8.775510	0.204082	1.000000	2.000000	4.000000	-0.327662	0.058023	0.619360	2
44	1	8.979592	0.204082	1.000000	2.000000	4.000000	-0.392108	0.848431	3.723916	2
45	1	9.183673	0.204082	1.000000	2.000000	4.000000	-1.463515	-2.246889	-11.412660	2
46	1	9.387755	0.204082	1.000000	2.000000	4.000000	0.296120	-0.606700	-0.462382	2
47	1	9.591837	0.204082	1.000000	2.000000	4.000000	0.261055	0.211284	2.694644	2
48	1	9.795918	0.204082	1.000000	2.000000	4.000000	0.005113	1.200079	5.834999	2
49	1	10.000000	0.204082	1.000000	2.000000	4.000000	-0.234587	-0.491902	-1.430923	2
0	2	0.000000	0.408163	5.000000	0.500000	-3.000000	-1.415371	-1.876553	10.394992	3
1	2	0.204082	0.408163	5.000000	0.500000	-3.000000	-0.420645	0.619711	3.114308	3
2	2	0.408163	0.408163	5.000000	0.500000	-3.000000	-0.342715	-0.635362	6.383602	3
3	2	0.612245	0.408163	5.000000	0.500000	-3.000000	-0.802277	-1.189667	8.069037	3
4	2	0.816327	0.408163	5.000000	0.500000	-3.000000	-0.161286	-0.624345	7.070818	3
5	2	1.020408	0.408163	5.000000	0.500000	-3.000000	0.404051	-0.184525	4.739441	3
6	2	1.224490	0.408163	5.000000	0.500000	-3.000000	1.886186	-0.604745	7.291564	3
7	2	1.428571	0.408163	5.000000	0.500000	-3.000000	0.174578	-2.205566	12.045056	3
8	2	1.632653	0.408163	5.000000	0.500000	-3.000000	0.257550	0.897066	3.042015	3
9	2	1.836735	0.408163	5.000000	0.500000	-3.000000	-0.074446	1.274875	1.648676	3
10	2	2.040816	0.408163	5.000000	0.500000	-3.000000	-1.918771	0.651522	2.532695	3
11	2	2.244898	0.408163	5.000000	0.500000	-3.000000	-0.026514	-1.137686	8.464672	3
12	2	2.448980	0.408163	5.000000	0.500000	-3.000000	0.060230	-0.201492	5.120138	3
13	2	2.653061	0.408163	5.000000	0.500000	-3.000000	2.463242	-0.006521	6.152873	3
14	2	2.857143	0.408163	5.000000	0.500000	-3.000000	-0.192361	0.598794	2.110802	3
15	2	3.061224	0.408163	5.000000	0.500000	-3.000000	0.301547	0.668340	3.796080	3
16	2	3.265306	0.408163	1.000000	2.000000	4.000000	-0.034712	-0.734174	-2.414675	2
17	2	3.469388	0.408163	1.000000	2.000000	4.000000	-1.168678	0.081996	-1.276047	2
18	2	3.673469	0.408163	1.000000	2.000000	4.000000	1.142823	0.457280	5.644077	2
19	2	3.877551	0.408163	1.000000	2.000000	4.000000	0.751933	1.455822	7.519842	2
20	2	4.081633	0.408163	1.000000	2.000000	4.000000	0.791032	0.704507	4.805389	2
21	2	4.285714	0.408163	1.000000	2.000000	4.000000	-0.909387	0.789057	2.471438	2
22	2	4.489796	0.408163	1.000000	2.000000	4.000000	1.402794	0.083827	4.401085	2
23	2	4.693878	0.408163	1.000000	2.000000	4.000000	-1.401851	1.410459	3.802284	2
24	2	4.897959	0.408163	1.000000	2.000000	4.000000	0.586857	0.409763	3.793224	2
25	2	5.102041	0.408163	1.000000	2.000000	4.000000	2.190456	-0.861088	2.570749	2
26	2	5.306122	0.408163	1.000000	2.000000	4.000000	-0.990536	1.403370	4.950566	2
27	2	5.510204	0.408163	1.000000	2.000000	4.000000	-0.566298	0.697903	2.909603	2
28	2	5.714286	0.408163	1.000000	2.000000	4.000000	0.099651	-0.443044	-0.185050	2
29	2	5.918367	0.408163	1.000000	2.000000	4.000000	-0.503476	-0.479493	-2.075218	2
30	2	6.122449	0.408163	1.000000	2.000000	4.000000	-1.550663	0.296576	0.171558	2
31	2	6.326531	0.408163	1.000000	2.000000	4.000000	0.068563	0.463185	1.836099	2
32	2	6.530612	0.408163	1.000000	2.000000	4.000000	-1.062304	0.197292	0.393522	2
33	2	6.734694	0.408163	1.000000	2.000000	4.000000	0.473592	0.311309	3.643473	2
34	2	6.938776	0.408163	1.000000	2.000000	4.000000	-0.919424	1.699957	6.085125	2
35	2	7.142857	0.408163	1.000000	2.000000	4.000000	1.549934	1.071543	8.426056	2
