u	v	x_coord	y_coord	coef0	coef1	coef2	feat1	feat2	y	region
0	0	0.000000	0.000000	5.000000	0.500000	-3.000000	0.496714	0.570613	6.236638	3
1	0	0.204082	0.000000	5.000000	0.500000	-3.000000	-0.138264	0.968185	1.921792	3
2	0	0.408163	0.000000	5.000000	0.500000	-3.000000	0.647689	-0.331308	8.617275	3
3	0	0.612245	0.000000	5.000000	0.500000	-3.000000	1.523030	-0.612237	9.417331	3
4	0	0.816327	0.000000	5.000000	0.500000	-3.000000	-0.234153	-1.085151	7.200558	3
5	0	1.020408	0.000000	5.000000	0.500000	-3.000000	-0.234137	-0.825411	6.271763	3
6	0	1.224490	0.000000	5.000000	0.500000	-3.000000	1.579213	2.949094	-2.054662	3
7	0	1.428571	0.000000	5.000000	0.500000	-3.000000	0.767435	1.244680	2.039770	3
8	0	1.632653	0.000000	5.000000	0.500000	-3.000000	-0.469474	-1.351074	8.215479	3
9	0	1.836735	0.000000	5.000000	0.500000	-3.000000	0.542560	-1.322458	10.320494	3
10	0	2.040816	0.000000	5.000000	0.500000	-3.000000	-0.463418	0.481866	1.158969	3
11	0	2.244898	0.000000	5.000000	0.500000	-3.000000	-0.465730	0.547265	3.297843	3
12	0	2.448980	0.000000	5.000000	0.500000	-3.000000	0.241962	0.548884	1.615944	3
13	0	2.653061	0.000000	5.000000	0.500000	-3.000000	-1.913280	-0.254956	2.999240	3
14	0	2.857143	0.000000	5.000000	0.500000	-3.000000	-1.724918	-0.125454	3.453757	3
15	0	3.061224	0.000000	5.000000	0.500000	-3.000000	-0.562288	0.327880	4.280149	3
16	0	3.265306	0.000000	1.000000	2.000000	4.000000	-1.012831	0.085893	-1.357327	2
17	0	3.469388	0.000000	1.000000	2.000000	4.000000	0.314247	-2.219300	-8.466815	2
18	0	3.673469	0.000000	1.000000	2.000000	4.000000	-0.908024	-0.229800	-1.257997	2
19	0	3.877551	0.000000	1.000000	2.000000	4.000000	-1.412304	-0.851406	-3.737486	2
20	0	4.081633	0.000000	1.000000	2.000000	4.000000	1.465649	0.175211	5.270994	2
21	0	4.285714	0.000000	1.000000	2.000000	4.000000	-0.225776	2.985259	14.291282	2
22	0	4.489796	0.000000	1.000000	2.000000	4.000000	0.067528	0.367482	4.014161	2
23	0	4.693878	0.000000	1.000000	2.000000	4.000000	-1.424748	-0.313530	-3.591043	2
24	0	4.897959	0.000000	1.000000	2.000000	4.000000	-0.544383	0.921802	4.230600	2
25	0	5.102041	0.000000	1.000000	2.000000	4.000000	0.110923	0.482688	3.060966	2
26	0	5.306122	0.000000	1.000000	2.000000	4.000000	-1.150994	0.420094	1.440491	2
27	0	5.510204	0.000000	1.000000	2.000000	4.000000	0.375698	0.606851	4.086987	2
28	0	5.714286	0.000000	1.000000	2.000000	4.000000	-0.600639	2.056544	7.236200	2
29	0	5.918367	0.000000	1.000000	2.000000	4.000000	-0.291694	-1.130888	-2.733535	2
30	0	6.122449	0.000000	1.000000	2.000000	4.000000	-0.601707	0.473632	2.008911	2
31	0	6.326531	0.000000	1.000000	2.000000	4.000000	1.852278	-0.926381	0.335502	2
32	0	6.530612	0.000000	1.000000	2.000000	4.000000	-0.013497	0.555513	2.696330	2
33	0	6.734694	0.000000	1.000000	2.000000	4.000000	-1.057711	-0.918687	-5.460089	2
34	0	6.938776	0.000000	1.000000	2.000000	4.000000	0.822545	-0.417367	-0.026125	2
35	0	7.142857	0.000000	1.000000	2.000000	4.000000	-1.220844	-0.295090	-3.099562	2
36	0	7.346939	0.000000	1.000000	2.000000	4.000000	0.208864	0.975817	5.694015	2
37	0	7.551020	0.000000	1.000000	2.000000	4.000000	-1.959670	0.918454	0.818538	2
38	0	7.755102	0.000000	1.000000	2.000000	4.000000	-1.328186	-1.245717	-7.077459	2
39	0	7.959184	0.000000	1.000000	2.000000	4.000000	0.196861	0.054934	3.108966	2
40	0	8.163265	0.000000	1.000000	2.000000	4.000000	0.738467	-0.709580	-2.372020	2
41	0	8.367347	0.000000	1.000000	2.000000	4.000000	0.171368	-1.258505	-3.385147	2
42	0	8.571429	0.000000	1.000000	2.000000	4.000000	-0.115648	-0.217017	-0.242124	2
43	0	8.775510	0.000000	1.000000	2.000000	4.000000	-0.301104	-0.308483	-1.806320	2
44	0	8.979592	0.000000	1.000000	2.000000	4.000000	-1.478522	2.426716	8.114276	2
45	0	9.183673	0.000000	1.000000	2.000000	4.000000	-0.719844	0.432960	1.072403	2
46	0	9.387755	0.000000	1.000000	2.000000	4.000000	-0.460639	-1.377618	-4.184674	2
47	0	9.591837	0.000000	1.000000	2.000000	4.000000	1.057122	-0.564774	1.723214	2
48	0	9.795918	0.000000	1.000000	2.000000	4.000000	0.343618	1.021383	7.678900	2
49	0	10.000000	0.000000	1.000000	2.000000	4.000000	-1.763040	2.088443	5.344373	2
0	1	0.000000	0.204082	5.000000	0.500000	-3.000000	0.324084	-1.585983	12.014824	3
1	1	0.204082	0.204082	5.000000	0.500000	-3.000000	-0.385082	-1.879924	8.698450	3
2	1	0.408163	0.204082	5.000000	0.500000	-3.000000	-0.676922	1.870965	-1.117311	3
