n_regions	BIC	R2	MSE
2	-3704.587803047182	0.7108338418024143	0.28916615819758573
3	-4538.979782751171	0.7846049439789431	0.2153950560210569
4	-4856.713268577023	0.810519098284728	0.189480901715272
5	-4996.411475427788	0.8234820703587543	0.17651792964124569
6	-5254.605333472121	0.841713590495452	0.15828640950454798
7	-5327.737506357607	0.8493481172435524	0.15065188275644759
8	-5450.285101614203	0.8588775787130388	0.14112242128696117
9	-5401.390257575903	0.8603022841287791	0.13969771587122093
10	-5529.1635667861865	0.8693588247413648	0.13064117525863517
11	-5607.189186617095	0.8758556979185019	0.12414430208149807
12	-5678.556657337373	0.8817763195412298	0.11822368045877019
13	-5550.745955117022	0.8799583043878623	0.12004169561213773
14	-5651.112493888113	0.8867456142254465	0.11325438577455349
15	-5507.829956307788	0.8844297601644923	0.11557023983550774
16	-5545.679187749567	0.888747349827842	0.11125265017215802
17	-5545.1434890920345	0.8915718958218608	0.1084281041781392
18	-5453.166755297732	0.8911673890225487	0.10883261097745134
19	-5348.721421874698	0.8903219686932141	0.10967803130678588
20	-5398.444352291612	0.8948222769796494	0.10517772302035056
