n_regions	BIC	R2	MSE
2	-3312.98369204995	0.668563279097493	0.330198204381708
3	-3907.26769826114	0.731891541701334	0.267106587552224
4	-4627.49851252756	0.791738028896279	0.207483735393557
5	-4732.42808923048	0.802783367332399	0.196479671304147
6	-4745.7230275055	0.807651032551185	0.191630195632296
7	-4784.30617636945	0.813919754084379	0.185384899129263
8	-4919.68654501186	0.825507777837442	0.173840177635594
9	-4989.55620941421	0.832886371809999	0.166489156077193
10	-5499.48659900877	0.861095456670588	0.138385483246814
11	-5751.75695836527	0.874556493803715	0.124974747470854
12	-5683.73857602285	0.874407389427996	0.125123294671641
13	-5836.19175234679	0.882874166254498	0.116688156593401
14	-6004.53221879627	0.891327446298109	0.108266464863121
15	-5872.49572070118	0.888932481530122	0.110652480099433
16	-5728.98160565392	0.886064486161573	0.113509758310161
17	-5654.64329260713	0.885696718349202	0.113876151843573
18	-5918.45752436356	0.89715662562613	0.102459068078931
19	-6031.9737721672	0.902879869632208	0.0967572107563648
20	-6028.35111434086	0.904759631102989	0.0948844735996981
