n_regions	BIC	R2	MSE
2	-3683.13964320749	0.7265736051450205	0.27342639485497955
3	-4143.478712869327	0.7521526248203474	0.2478473751796526
4	-4282.123830813269	0.7678219400908177	0.23217805990918228
5	-4389.291414716353	0.7802866095232533	0.21971339047674665
6	-4497.235459284103	0.7921340398676534	0.2078659601323466
7	-4601.48948189098	0.8031090074330305	0.1968909925669695
8	-4706.220592552543	0.8135331409242936	0.18646685907570637
9	-4814.254807460547	0.8235929630623193	0.17640703693768067
10	-4872.583270389615	0.8304195598924072	0.16958044010759277
11	-4916.818508167518	0.8362410975215804	0.16375890247841962
12	-4981.879086188683	0.8429188530212461	0.15708114697875386
13	-5033.164739104636	0.8486550133980981	0.15134498660190188
14	-5060.231336922598	0.8530409791801066	0.14695902081989343
15	-5084.304281451009	0.8571623237362255	0.14283767626377453
16	-5096.382829960377	0.8606312731892003	0.1393687268107997
17	-5095.413164983051	0.8634438785961043	0.13655612140389572
18	-5095.466377149125	0.8662437506140569	0.1337562493859431
19	-5088.4465846036765	0.8686877225582774	0.13131227744172258
20	-5063.893609404249	0.8703577458935626	0.12964225410643737
