u	v	x_coord	y_coord	group	intercept	beta_feat1	beta_feat2
0	0	-1.69741	-1.69741	1	6.09910689941107	3.00716505376489	-2.85518891355492
1	0	-1.628128	-1.69741	1	6.09910689941107	3.00716505376489	-2.85518891355492
2	0	-1.558846	-1.69741	1	6.09910689941107	3.00716505376489	-2.85518891355492
3	0	-1.489564	-1.69741	1	6.09910689941107	3.00716505376489	-2.85518891355492
4	0	-1.420282	-1.69741	1	6.09910689941107	3.00716505376489	-2.85518891355492
5	0	-1.351	-1.69741	1	6.09910689941107	3.00716505376489	-2.85518891355492
6	0	-1.281718	-1.69741	2	6.02704972145802	3.00716505376489	-2.85518891355492
7	0	-1.212436	-1.69741	2	6.02704972145802	3.00716505376489	-2.85518891355492
8	0	-1.143154	-1.69741	2	6.02704972145802	3.00716505376489	-2.85518891355492
9	0	-1.073872	-1.69741	2	6.02704972145802	3.00716505376489	-2.85518891355492
10	0	-1.004589	-1.69741	2	6.02704972145802	3.00716505376489	-2.85518891355492
11	0	-0.935307	-1.69741	2	6.02704972145802	3.00716505376489	-2.85518891355492
12	0	-0.866025	-1.69741	2	6.02704972145802	3.00716505376489	-2.85518891355492
13	0	-0.796743	-1.69741	2	6.02704972145802	3.00716505376489	-2.85518891355492
14	0	-0.727461	-1.69741	2	6.02704972145802	3.00716505376489	-2.85518891355492
15	0	-0.658179	-1.69741	2	6.02704972145802	3.00716505376489	-2.85518891355492
16	0	-0.588897	-1.69741	2	6.02704972145802	3.00716505376489	-2.85518891355492
17	0	-0.519615	-1.69741	2	6.02704972145802	3.00716505376489	-2.85518891355492
18	0	-0.450333	-1.69741	3	6.02704972145802	2.79680549421221	-2.85518891355492
19	0	-0.381051	-1.69741	3	6.02704972145802	2.79680549421221	-2.85518891355492
20	0	-0.311769	-1.69741	3	6.02704972145802	2.79680549421221	-2.85518891355492
21	0	-0.242487	-1.69741	3	6.02704972145802	2.79680549421221	-2.85518891355492
22	0	-0.173205	-1.69741	3	6.02704972145802	2.79680549421221	-2.85518891355492
23	0	-0.103923	-1.69741	3	6.02704972145802	2.79680549421221	-2.85518891355492
24	0	-0.034641	-1.69741	3	6.02704972145802	2.79680549421221	-2.85518891355492
25	0	0.034641	-1.69741	3	6.02704972145802	2.79680549421221	-2.85518891355492
26	0	0.103923	-1.69741	3	6.02704972145802	2.79680549421221	-2.85518891355492
27	0	0.173205	-1.69741	3	6.02704972145802	2.79680549421221	-2.85518891355492
28	0	0.242487	-1.69741	3	6.02704972145802	2.79680549421221	-2.85518891355492
