u	v	x_coord	y_coord	group	intercept	beta_feat1	beta_feat2
0	0	0	0	1	5.09840864141484	0.575952362819591	-2.98366224623026
1	0	0.204082	0	1	5.09840864141484	0.575952362819591	-2.98366224623026
2	0	0.408163	0	1	5.09840864141484	0.575952362819591	-2.98366224623026
3	0	0.612245	0	2	5.08535331176001	0.575952362819591	-2.98366224623026
4	0	0.816327	0	2	5.08535331176001	0.575952362819591	-2.98366224623026
5	0	1.020408	0	2	5.08535331176001	0.575952362819591	-2.98366224623026
6	0	1.22449	0	3	4.96638243794087	0.575952362819591	-2.98366224623026
7	0	1.428571	0	3	4.96638243794087	0.575952362819591	-2.98366224623026
8	0	1.632653	0	3	4.96638243794087	0.575952362819591	-2.98366224623026
9	0	1.836735	0	3	4.96638243794087	0.575952362819591	-2.98366224623026
10	0	2.040816	0	3	4.96638243794087	0.575952362819591	-2.98366224623026
11	0	2.244898	0	4	4.72808781280169	0.598289449045608	-2.98366224623026
12	0	2.44898	0	4	4.72808781280169	0.598289449045608	-2.98366224623026
13	0	2.653061	0	4	4.72808781280169	0.598289449045608	-2.98366224623026
14	0	2.857143	0	5	4.72808781280169	0.724946998958368	-2.98346939763212
15	0	3.061224	0	5	4.72808781280169	0.724946998958368	-2.98346939763212
16	0	3.265306	0	6	4.72808781280169	3.1288160802051	-2.98346939763212
17	0	3.469388	0	7	1.16886980441113	1.89232367955522	4.03892180039256
18	0	3.673469	0	7	1.16886980441113	1.89232367955522	4.03892180039256
19	0	3.877551	0	7	1.16886980441113	1.89232367955522	4.03892180039256
20	0	4.081633	0	7	1.16886980441113	1.89232367955522	4.03892180039256
21	0	4.285714	0	7	1.16886980441113	1.89232367955522	4.03892180039256
22	0	4.489796	0	8	1.04687088788135	2.01653901148507	3.98845406782205
23	0	4.693878	0	8	1.04687088788135	2.01653901148507	3.98845406782205
24	0	4.897959	0	8	1.04687088788135	2.01653901148507	3.98845406782205
25	0	5.102041	0	8	1.04687088788135	2.01653901148507	3.98845406782205
26	0	5.306122	0	8	1.04687088788135	2.01653901148507	3.98845406782205
27	0	5.510204	0	8	1.04687088788135	2.01653901148507	3.98845406782205
28	0	5.714286	0	8	1.04687088788135	2.01653901148507	3.98845406782205
29	0	5.918367	0	8	1.04687088788135	2.01653901148507	3.98845406782205
30	0	6.122449	0	8	1.04687088788135	2.01653901148507	3.98845406782205
31	0	6.326531	0	9	0.995828940487909	1.88883299829955	3.92814668668877
32	0	6.530612	0	9	0.995828940487909	1.88883299829955	3.92814668668877
33	0	6.734694	0	10	0.981465344302646	2.1047775588489	4.05499465873553
34	0	6.938776	0	10	0.981465344302646	2.1047775588489	4.05499465873553
35	0	7.142857	0	10	0.981465344302646	2.1047775588489	4.05499465873553
36	0	7.346939	0	10	0.981465344302646	2.1047775588489	4.05499465873553
37	0	7.55102	0	10	0.981465344302646	2.1047775588489	4.05499465873553
38	0	7.755102	0	10	0.981465344302646	2.1047775588489	4.05499465873553
39	0	7.959184	0	10	0.981465344302646	2.1047775588489	4.05499465873553
40	0	8.163265	0	10	0.981465344302646	2.1047775588489	4.05499465873553
41	0	8.367347	0	10	0.981465344302646	2.1047775588489	4.05499465873553
42	0	8.571429	0	10	0.981465344302646	2.1047775588489	4.05499465873553
43	0	8.77551	0	10	0.981465344302646	2.1047775588489	4.05499465873553
44	0	8.979592	0	10	0.981465344302646	2.1047775588489	4.05499465873553
45	0	9.183673	0	10	0.981465344302646	2.1047775588489	4.05499465873553
46	0	9.387755	0	10	0.981465344302646	2.1047775588489	4.05499465873553
47	0	9.591837	0	10	0.981465344302646	2.1047775588489	4.05499465873553
48	0	9.795918	0	10	0.981465344302646	2.1047775588489	4.05499465873553
49	0	10	0	10	0.981465344302646	2.1047775588489	4.05499465873553
0	1	0	0.204082	1	5.09840864141484	0.575952362819591	-2.98366224623026
1	1	0.204082	0.204082	11	5.08535331176001	0.575952362819591	-2.98366224623026
2	1	0.408163	0.204082	11	5.08535331176001	0.575952362819591	-2.98366224623026
3	1	0.612245	0.204082	2	5.08535331176001	0.575952362819591	-2.98366224623026
