u	v	x_coord	y_coord	group	intercept	beta_feat1	beta_feat2
0	0	0	0	1	5.15076740456231	0.66434046506864	-2.85654705279606
1	0	0.204082	0	1	5.15076740456231	0.66434046506864	-2.85654705279606
2	0	0.408163	0	1	5.15076740456231	0.66434046506864	-2.85654705279606
3	0	0.612245	0	1	5.15076740456231	0.66434046506864	-2.85654705279606
4	0	0.816327	0	1	5.15076740456231	0.66434046506864	-2.85654705279606
5	0	1.020408	0	1	5.15076740456231	0.66434046506864	-2.85654705279606
6	0	1.22449	0	2	4.9180583240761	0.66434046506864	-2.85654705279606
7	0	1.428571	0	2	4.9180583240761	0.66434046506864	-2.85654705279606
8	0	1.632653	0	2	4.9180583240761	0.66434046506864	-2.85654705279606
9	0	1.836735	0	2	4.9180583240761	0.66434046506864	-2.85654705279606
10	0	2.040816	0	2	4.9180583240761	0.66434046506864	-2.85654705279606
11	0	2.244898	0	3	4.78408937859929	0.66434046506864	-2.85654705279606
12	0	2.44898	0	3	4.78408937859929	0.66434046506864	-2.85654705279606
13	0	2.653061	0	3	4.78408937859929	0.66434046506864	-2.85654705279606
14	0	2.857143	0	4	4.78408937859929	0.66434046506864	-2.47799505295686
15	0	3.061224	0	4	4.78408937859929	0.66434046506864	-2.47799505295686
16	0	3.265306	0	4	4.78408937859929	0.66434046506864	-2.47799505295686
17	0	3.469388	0	5	1.94913196442572	1.3822811627742	3.36202217616051
18	0	3.673469	0	5	1.94913196442572	1.3822811627742	3.36202217616051
19	0	3.877551	0	5	1.94913196442572	1.3822811627742	3.36202217616051
20	0	4.081633	0	5	1.94913196442572	1.3822811627742	3.36202217616051
21	0	4.285714	0	5	1.94913196442572	1.3822811627742	3.36202217616051
22	0	4.489796	0	6	1.11629790683115	2.02010700875439	3.58812024999845
23	0	4.693878	0	6	1.11629790683115	2.02010700875439	3.58812024999845
24	0	4.897959	0	6	1.11629790683115	2.02010700875439	3.58812024999845
25	0	5.102041	0	6	1.11629790683115	2.02010700875439	3.58812024999845
26	0	5.306122	0	6	1.11629790683115	2.02010700875439	3.58812024999845
27	0	5.510204	0	6	1.11629790683115	2.02010700875439	3.58812024999845
28	0	5.714286	0	6	1.11629790683115	2.02010700875439	3.58812024999845
29	0	5.918367	0	6	1.11629790683115	2.02010700875439	3.58812024999845
30	0	6.122449	0	6	1.11629790683115	2.02010700875439	3.58812024999845
31	0	6.326531	0	7	0.853510648382223	2.18586324982664	3.58812024999845
32	0	6.530612	0	7	0.853510648382223	2.18586324982664	3.58812024999845
33	0	6.734694	0	8	0.853510648382223	2.18586324982664	4.02350103453573
34	0	6.938776	0	8	0.853510648382223	2.18586324982664	4.02350103453573
35	0	7.142857	0	8	0.853510648382223	2.18586324982664	4.02350103453573
36	0	7.346939	0	8	0.853510648382223	2.18586324982664	4.02350103453573
37	0	7.55102	0	8	0.853510648382223	2.18586324982664	4.02350103453573
38	0	7.755102	0	8	0.853510648382223	2.18586324982664	4.02350103453573
39	0	7.959184	0	8	0.853510648382223	2.18586324982664	4.02350103453573
40	0	8.163265	0	8	0.853510648382223	2.18586324982664	4.02350103453573
41	0	8.367347	0	8	0.853510648382223	2.18586324982664	4.02350103453573
42	0	8.571429	0	8	0.853510648382223	2.18586324982664	4.02350103453573
43	0	8.77551	0	8	0.853510648382223	2.18586324982664	4.02350103453573
44	0	8.979592	0	8	0.853510648382223	2.18586324982664	4.02350103453573
45	0	9.183673	0	8	0.853510648382223	2.18586324982664	4.02350103453573
46	0	9.387755	0	8	0.853510648382223	2.18586324982664	4.02350103453573
47	0	9.591837	0	8	0.853510648382223	2.18586324982664	4.02350103453573
48	0	9.795918	0	8	0.853510648382223	2.18586324982664	4.02350103453573
49	0	10	0	8	0.853510648382223	2.18586324982664	4.02350103453573
0	1	0	0.204082	1	5.15076740456231	0.66434046506864	-2.85654705279606
1	1	0.204082	0.204082	1	5.15076740456231	0.66434046506864	-2.85654705279606
2	1	0.408163	0.204082	1	5.15076740456231	0.66434046506864	-2.85654705279606
3	1	0.612245	0.204082	1	5.15076740456231	0.66434046506864	-2.85654705279606
4	1	0.816327	0.204082	1	5.15076740456231	0.66434046506864	-2.85654705279606
5	1	1.020408	0.204082	1	5.15076740456231	0.66434046506864	-2.85654705279606
6	1	1.22449	0.204082	2	4.9180583240761	0.66434046506864	-2.85654705279606
7	1	1.428571	0.204082	2	4.9180583240761	0.66434046506864	-2.85654705279606
8	1	1.632653	0.204082	2	4.9180583240761	0.66434046506864	-2.85654705279606
9	1	1.836735	0.204082	2	4.9180583240761	0.66434046506864	-2.85654705279606
10	1	2.040816	0.204082	2	4.9180583240761	0.66434046506864	-2.85654705279606
11	1	2.244898	0.204082	3	4.78408937859929	0.66434046506864	-2.85654705279606
12	1	2.44898	0.204082	3	4.78408937859929	0.66434046506864	-2.85654705279606
13	1	2.653061	0.204082	9	4.78408937859929	0.66434046506864	-2.85605661891401
14	1	2.857143	0.204082	4	4.78408937859929	0.66434046506864	-2.47799505295686
15	1	3.061224	0.204082	10	4.76828263919376	1.3822811627742	-0.310801808216078
16	1	3.265306	0.204082	11	1.95048786970626	1.3822811627742	3.35748896910534
17	1	3.469388	0.204082	5	1.94913196442572	1.3822811627742	3.36202217616051
18	1	3.673469	0.204082	5	1.94913196442572	1.3822811627742	3.36202217616051
19	1	3.877551	0.204082	5	1.94913196442572	1.3822811627742	3.36202217616051
20	1	4.081633	0.204082	5	1.94913196442572	1.3822811627742	3.36202217616051
21	1	4.285714	0.204082	5	1.94913196442572	1.3822811627742	3.36202217616051
22	1	4.489796	0.204082	6	1.11629790683115	2.02010700875439	3.58812024999845
23	1	4.693878	0.204082	6	1.11629790683115	2.02010700875439	3.58812024999845
24	1	4.897959	0.204082	6	1.11629790683115	2.02010700875439	3.58812024999845
25	1	5.102041	0.204082	6	1.11629790683115	2.02010700875439	3.58812024999845
26	1	5.306122	0.204082	6	1.11629790683115	2.02010700875439	3.58812024999845
27	1	5.510204	0.204082	6	1.11629790683115	2.02010700875439	3.58812024999845
28	1	5.714286	0.204082	6	1.11629790683115	2.02010700875439	3.58812024999845
29	1	5.918367	0.204082	6	1.11629790683115	2.02010700875439	3.58812024999845
30	1	6.122449	0.204082	6	1.11629790683115	2.02010700875439	3.58812024999845
31	1	6.326531	0.204082	7	0.853510648382223	2.18586324982664	3.58812024999845
32	1	6.530612	0.204082	7	0.853510648382223	2.18586324982664	3.58812024999845
33	1	6.734694	0.204082	8	0.853510648382223	2.18586324982664	4.02350103453573
34	1	6.938776	0.204082	8	0.853510648382223	2.18586324982664	4.02350103453573
35	1	7.142857	0.204082	8	0.853510648382223	2.18586324982664	4.02350103453573
36	1	7.346939	0.204082	8	0.853510648382223	2.18586324982664	4.02350103453573
37	1	7.55102	0.204082	8	0.853510648382223	2.18586324982664	4.02350103453573
38	1	7.755102	0.204082	8	0.853510648382223	2.18586324982664	4.02350103453573
39	1	7.959184	0.204082	8	0.853510648382223	2.18586324982664	4.02350103453573
40	1	8.163265	0.204082	8	0.853510648382223	2.18586324982664	4.02350103453573
41	1	8.367347	0.204082	8	0.853510648382223	2.18586324982664	4.02350103453573
42	1	8.571429	0.204082	8	0.853510648382223	2.18586324982664	4.02350103453573
43	1	8.77551	0.204082	8	0.853510648382223	2.18586324982664	4.02350103453573
44	1	8.979592	0.204082	8	0.853510648382223	2.18586324982664	4.02350103453573
45	1	9.183673	0.204082	8	0.853510648382223	2.18586324982664	4.02350103453573
46	1	9.387755	0.204082	8	0.853510648382223	2.18586324982664	4.02350103453573
47	1	9.591837	0.204082	8	0.853510648382223	2.18586324982664	4.02350103453573
48	1	9.795918	0.204082	8	0.853510648382223	2.18586324982664	4.02350103453573
49	1	10	0.204082	8	0.853510648382223	2.18586324982664	4.02350103453573
0	2	0	0.408163	1	5.15076740456231	0.66434046506864	-2.85654705279606
1	2	0.204082	0.408163	1	5.15076740456231	0.66434046506864	-2.85654705279606
2	2	0.408163	0.408163	1	5.15076740456231	0.66434046506864	-2.85654705279606
3	2	0.612245	0.408163	1	5.15076740456231	0.66434046506864	-2.85654705279606
4	2	0.816327	0.408163	1	5.15076740456231	0.66434046506864	-2.85654705279606
5	2	1.020408	0.408163	1	5.15076740456231	0.66434046506864	-2.85654705279606
