u	v	x_coord	y_coord	orig_region	group	intercept	beta_feat1	beta_feat2
0	0	0	0	5	5	5.76642027354625	-1.85680756095505	0.598667222656749
1	0	0.204082	0	5	5	5.76642027354625	-1.85680756095505	0.598667222656749
2	0	0.408163	0	5	5	5.76642027354625	-1.85680756095505	0.598667222656749
3	0	0.612245	0	5	5	5.76642027354625	-1.85680756095505	0.598667222656749
4	0	0.816327	0	5	5	5.76642027354625	-1.85680756095505	0.598667222656749
5	0	1.020408	0	5	5	5.76642027354625	-1.85680756095505	0.598667222656749
6	0	1.22449	0	5	5	5.76642027354625	-1.85680756095505	0.598667222656749
7	0	1.428571	0	5	5	5.76642027354625	-1.85680756095505	0.598667222656749
8	0	1.632653	0	5	5	5.76642027354625	-1.85680756095505	0.598667222656749
9	0	1.836735	0	5	5	5.76642027354625	-1.85680756095505	0.598667222656749
10	0	2.040816	0	5	5	5.76642027354625	-1.85680756095505	0.598667222656749
11	0	2.244898	0	5	5	5.76642027354625	-1.85680756095505	0.598667222656749
12	0	2.44898	0	5	5	5.76642027354625	-1.85680756095505	0.598667222656749
13	0	2.653061	0	5	5	5.76642027354625	-1.85680756095505	0.598667222656749
14	0	2.857143	0	5	5	5.76642027354625	-1.85680756095505	0.598667222656749
15	0	3.061224	0	5	5	5.76642027354625	-1.85680756095505	0.598667222656749
16	0	3.265306	0	5	5	5.76642027354625	-1.85680756095505	0.598667222656749
17	0	3.469388	0	5	5	5.76642027354625	-1.85680756095505	0.598667222656749
18	0	3.673469	0	5	5	5.76642027354625	-1.85680756095505	0.598667222656749
19	0	3.877551	0	5	5	5.76642027354625	-1.85680756095505	0.598667222656749
20	0	4.081633	0	5	5	5.76642027354625	-1.85680756095505	0.598667222656749
21	0	4.285714	0	5	5	5.76642027354625	-1.85680756095505	0.598667222656749
22	0	4.489796	0	5	5	5.76642027354625	-1.85680756095505	0.598667222656749
23	0	4.693878	0	5	5	5.76642027354625	-1.85680756095505	0.598667222656749
24	0	4.897959	0	5	5	5.76642027354625	-1.85680756095505	0.598667222656749
25	0	5.102041	0	5	3	5.94660659390322	-1.84287337627527	0.530288177970287
26	0	5.306122	0	5	3	5.94660659390322	-1.84287337627527	0.530288177970287
27	0	5.510204	0	5	3	5.94660659390322	-1.84287337627527	0.530288177970287
28	0	5.714286	0	5	3	5.94660659390322	-1.84287337627527	0.530288177970287
29	0	5.918367	0	5	3	5.94660659390322	-1.84287337627527	0.530288177970287
