u	v	x_coord	y_coord	group	intercept	beta_feat1
0	0	-1.69741	-1.69741	2	3.03129107109599	1.88079321943068
1	0	-1.628128	-1.69741	2	3.03129107109599	1.88079321943068
2	0	-1.558846	-1.69741	2	3.03129107109599	1.88079321943068
3	0	-1.489564	-1.69741	2	3.03129107109599	1.88079321943068
4	0	-1.420282	-1.69741	2	3.03129107109599	1.88079321943068
5	0	-1.351	-1.69741	2	3.03129107109599	1.88079321943068
6	0	-1.281718	-1.69741	2	3.03129107109599	1.88079321943068
7	0	-1.212436	-1.69741	2	3.03129107109599	1.88079321943068
8	0	-1.143154	-1.69741	2	3.03129107109599	1.88079321943068
9	0	-1.073872	-1.69741	2	3.03129107109599	1.88079321943068
10	0	-1.004589	-1.69741	2	3.03129107109599	1.88079321943068
11	0	-0.935307	-1.69741	2	3.03129107109599	1.88079321943068
12	0	-0.866025	-1.69741	2	3.03129107109599	1.88079321943068
13	0	-0.796743	-1.69741	2	3.03129107109599	1.88079321943068
14	0	-0.727461	-1.69741	2	3.03129107109599	1.88079321943068
15	0	-0.658179	-1.69741	2	3.03129107109599	1.88079321943068
16	0	-0.588897	-1.69741	2	3.03129107109599	1.88079321943068
17	0	-0.519615	-1.69741	2	3.03129107109599	1.88079321943068
18	0	-0.450333	-1.69741	2	3.03129107109599	1.88079321943068
19	0	-0.381051	-1.69741	2	3.03129107109599	1.88079321943068
20	0	-0.311769	-1.69741	2	3.03129107109599	1.88079321943068
21	0	-0.242487	-1.69741	2	3.03129107109599	1.88079321943068
22	0	-0.173205	-1.69741	2	3.03129107109599	1.88079321943068
23	0	-0.103923	-1.69741	2	3.03129107109599	1.88079321943068
24	0	-0.034641	-1.69741	2	3.03129107109599	1.88079321943068
25	0	0.034641	-1.69741	1	3.0271432633197	2.4731219104427
26	0	0.103923	-1.69741	1	3.0271432633197	2.4731219104427
27	0	0.173205	-1.69741	1	3.0271432633197	2.4731219104427
28	0	0.242487	-1.69741	1	3.0271432633197	2.4731219104427
29	0	0.311769	-1.69741	1	3.0271432633197	2.4731219104427
30	0	0.381051	-1.69741	1	3.0271432633197	2.4731219104427
31	0	0.450333	-1.69741	1	3.0271432633197	2.4731219104427
32	0	0.519615	-1.69741	1	3.0271432633197	2.4731219104427
33	0	0.588897	-1.69741	1	3.0271432633197	2.4731219104427
34	0	0.658179	-1.69741	1	3.0271432633197	2.4731219104427
35	0	0.727461	-1.69741	1	3.0271432633197	2.4731219104427
36	0	0.796743	-1.69741	1	3.0271432633197	2.4731219104427
37	0	0.866025	-1.69741	1	3.0271432633197	2.4731219104427
38	0	0.935307	-1.69741	1	3.0271432633197	2.4731219104427
39	0	1.004589	-1.69741	1	3.0271432633197	2.4731219104427
40	0	1.073872	-1.69741	1	3.0271432633197	2.4731219104427
41	0	1.143154	-1.69741	1	3.0271432633197	2.4731219104427
42	0	1.212436	-1.69741	1	3.0271432633197	2.4731219104427
43	0	1.281718	-1.69741	1	3.0271432633197	2.4731219104427
44	0	1.351	-1.69741	1	3.0271432633197	2.4731219104427
45	0	1.420282	-1.69741	1	3.0271432633197	2.4731219104427
46	0	1.489564	-1.69741	1	3.0271432633197	2.4731219104427
47	0	1.558846	-1.69741	1	3.0271432633197	2.4731219104427
48	0	1.628128	-1.69741	1	3.0271432633197	2.4731219104427
49	0	1.69741	-1.69741	1	3.0271432633197	2.4731219104427
0	1	-1.69741	-1.628128	2	3.03129107109599	1.88079321943068
1	1	-1.628128	-1.628128	2	3.03129107109599	1.88079321943068
2	1	-1.558846	-1.628128	2	3.03129107109599	1.88079321943068
3	1	-1.489564	-1.628128	2	3.03129107109599	1.88079321943068
4	1	-1.420282	-1.628128	2	3.03129107109599	1.88079321943068
5	1	-1.351	-1.628128	2	3.03129107109599	1.88079321943068
6	1	-1.281718	-1.628128	2	3.03129107109599	1.88079321943068
7	1	-1.212436	-1.628128	2	3.03129107109599	1.88079321943068
8	1	-1.143154	-1.628128	2	3.03129107109599	1.88079321943068
9	1	-1.073872	-1.628128	2	3.03129107109599	1.88079321943068
10	1	-1.004589	-1.628128	2	3.03129107109599	1.88079321943068
11	1	-0.935307	-1.628128	2	3.03129107109599	1.88079321943068
12	1	-0.866025	-1.628128	2	3.03129107109599	1.88079321943068
13	1	-0.796743	-1.628128	2	3.03129107109599	1.88079321943068
14	1	-0.727461	-1.628128	2	3.03129107109599	1.88079321943068
15	1	-0.658179	-1.628128	2	3.03129107109599	1.88079321943068
16	1	-0.588897	-1.628128	2	3.03129107109599	1.88079321943068
17	1	-0.519615	-1.628128	2	3.03129107109599	1.88079321943068
18	1	-0.450333	-1.628128	2	3.03129107109599	1.88079321943068
19	1	-0.381051	-1.628128	2	3.03129107109599	1.88079321943068
20	1	-0.311769	-1.628128	2	3.03129107109599	1.88079321943068
21	1	-0.242487	-1.628128	2	3.03129107109599	1.88079321943068
22	1	-0.173205	-1.628128	2	3.03129107109599	1.88079321943068
23	1	-0.103923	-1.628128	2	3.03129107109599	1.88079321943068
24	1	-0.034641	-1.628128	2	3.03129107109599	1.88079321943068
25	1	0.034641	-1.628128	1	3.0271432633197	2.4731219104427
26	1	0.103923	-1.628128	1	3.0271432633197	2.4731219104427
27	1	0.173205	-1.628128	1	3.0271432633197	2.4731219104427
28	1	0.242487	-1.628128	1	3.0271432633197	2.4731219104427
29	1	0.311769	-1.628128	1	3.0271432633197	2.4731219104427
30	1	0.381051	-1.628128	1	3.0271432633197	2.4731219104427
31	1	0.450333	-1.628128	1	3.0271432633197	2.4731219104427
32	1	0.519615	-1.628128	1	3.0271432633197	2.4731219104427
33	1	0.588897	-1.628128	1	3.0271432633197	2.4731219104427
34	1	0.658179	-1.628128	1	3.0271432633197	2.4731219104427
35	1	0.727461	-1.628128	1	3.0271432633197	2.4731219104427
36	1	0.796743	-1.628128	1	3.0271432633197	2.4731219104427
37	1	0.866025	-1.628128	1	3.0271432633197	2.4731219104427
38	1	0.935307	-1.628128	1	3.0271432633197	2.4731219104427
