u	v	x_coord	y_coord	group	intercept	beta_feat1	beta_feat2
0	0	-1.69741	-1.69741	3	6.07041887619827	2.35231976297612	-2.35545006753042
1	0	-1.628128	-1.69741	3	6.07041887619827	2.35231976297612	-2.35545006753042
2	0	-1.558846	-1.69741	3	6.07041887619827	2.35231976297612	-2.35545006753042
3	0	-1.489564	-1.69741	3	6.07041887619827	2.35231976297612	-2.35545006753042
4	0	-1.420282	-1.69741	3	6.07041887619827	2.35231976297612	-2.35545006753042
5	0	-1.351	-1.69741	4	6.00360467787003	3.62284829629826	-3.76606279507489
6	0	-1.281718	-1.69741	3	6.07041887619827	2.35231976297612	-2.35545006753042
7	0	-1.212436	-1.69741	3	6.07041887619827	2.35231976297612	-2.35545006753042
8	0	-1.143154	-1.69741	3	6.07041887619827	2.35231976297612	-2.35545006753042
9	0	-1.073872	-1.69741	3	6.07041887619827	2.35231976297612	-2.35545006753042
10	0	-1.004589	-1.69741	3	6.07041887619827	2.35231976297612	-2.35545006753042
11	0	-0.935307	-1.69741	3	6.07041887619827	2.35231976297612	-2.35545006753042
12	0	-0.866025	-1.69741	3	6.07041887619827	2.35231976297612	-2.35545006753042
13	0	-0.796743	-1.69741	3	6.07041887619827	2.35231976297612	-2.35545006753042
14	0	-0.727461	-1.69741	3	6.07041887619827	2.35231976297612	-2.35545006753042
15	0	-0.658179	-1.69741	3	6.07041887619827	2.35231976297612	-2.35545006753042
16	0	-0.588897	-1.69741	3	6.07041887619827	2.35231976297612	-2.35545006753042
17	0	-0.519615	-1.69741	3	6.07041887619827	2.35231976297612	-2.35545006753042
18	0	-0.450333	-1.69741	3	6.07041887619827	2.35231976297612	-2.35545006753042
19	0	-0.381051	-1.69741	3	6.07041887619827	2.35231976297612	-2.35545006753042
20	0	-0.311769	-1.69741	3	6.07041887619827	2.35231976297612	-2.35545006753042
21	0	-0.242487	-1.69741	3	6.07041887619827	2.35231976297612	-2.35545006753042
22	0	-0.173205	-1.69741	3	6.07041887619827	2.35231976297612	-2.35545006753042
23	0	-0.103923	-1.69741	3	6.07041887619827	2.35231976297612	-2.35545006753042
24	0	-0.034641	-1.69741	2	5.97453370774978	2.93542990230951	-2.91696504609036
25	0	0.034641	-1.69741	2	5.97453370774978	2.93542990230951	-2.91696504609036
26	0	0.103923	-1.69741	2	5.97453370774978	2.93542990230951	-2.91696504609036
27	0	0.173205	-1.69741	2	5.97453370774978	2.93542990230951	-2.91696504609036
28	0	0.242487	-1.69741	2	5.97453370774978	2.93542990230951	-2.91696504609036
29	0	0.311769	-1.69741	2	5.97453370774978	2.93542990230951	-2.91696504609036
30	0	0.381051	-1.69741	2	5.97453370774978	2.93542990230951	-2.91696504609036
31	0	0.450333	-1.69741	2	5.97453370774978	2.93542990230951	-2.91696504609036
32	0	0.519615	-1.69741	2	5.97453370774978	2.93542990230951	-2.91696504609036
33	0	0.588897	-1.69741	2	5.97453370774978	2.93542990230951	-2.91696504609036
34	0	0.658179	-1.69741	2	5.97453370774978	2.93542990230951	-2.91696504609036
35	0	0.727461	-1.69741	2	5.97453370774978	2.93542990230951	-2.91696504609036
36	0	0.796743	-1.69741	2	5.97453370774978	2.93542990230951	-2.91696504609036
37	0	0.866025	-1.69741	2	5.97453370774978	2.93542990230951	-2.91696504609036
38	0	0.935307	-1.69741	2	5.97453370774978	2.93542990230951	-2.91696504609036
39	0	1.004589	-1.69741	2	5.97453370774978	2.93542990230951	-2.91696504609036
40	0	1.073872	-1.69741	2	5.97453370774978	2.93542990230951	-2.91696504609036
41	0	1.143154	-1.69741	2	5.97453370774978	2.93542990230951	-2.91696504609036
42	0	1.212436	-1.69741	2	5.97453370774978	2.93542990230951	-2.91696504609036
43	0	1.281718	-1.69741	2	5.97453370774978	2.93542990230951	-2.91696504609036
44	0	1.351	-1.69741	2	5.97453370774978	2.93542990230951	-2.91696504609036
45	0	1.420282	-1.69741	2	5.97453370774978	2.93542990230951	-2.91696504609036
