u	v	x_coord	y_coord	orig_region	group	intercept	beta_feat1	beta_feat2
0	0	0	0	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
1	0	0.204082	0	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
2	0	0.408163	0	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
3	0	0.612245	0	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
4	0	0.816327	0	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
5	0	1.020408	0	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
6	0	1.22449	0	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
7	0	1.428571	0	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
8	0	1.632653	0	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
9	0	1.836735	0	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
10	0	2.040816	0	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
11	0	2.244898	0	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
12	0	2.44898	0	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
13	0	2.653061	0	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
14	0	2.857143	0	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
15	0	3.061224	0	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
16	0	3.265306	0	2	3	1.00205099699319	2.01684426104139	4.04031487557068
17	0	3.469388	0	2	3	1.00205099699319	2.01684426104139	4.04031487557068
18	0	3.673469	0	2	3	1.00205099699319	2.01684426104139	4.04031487557068
19	0	3.877551	0	2	3	1.00205099699319	2.01684426104139	4.04031487557068
20	0	4.081633	0	2	3	1.00205099699319	2.01684426104139	4.04031487557068
21	0	4.285714	0	2	3	1.00205099699319	2.01684426104139	4.04031487557068
22	0	4.489796	0	2	3	1.00205099699319	2.01684426104139	4.04031487557068
23	0	4.693878	0	2	3	1.00205099699319	2.01684426104139	4.04031487557068
24	0	4.897959	0	2	3	1.00205099699319	2.01684426104139	4.04031487557068
25	0	5.102041	0	2	3	1.00205099699319	2.01684426104139	4.04031487557068
26	0	5.306122	0	2	3	1.00205099699319	2.01684426104139	4.04031487557068
27	0	5.510204	0	2	3	1.00205099699319	2.01684426104139	4.04031487557068
28	0	5.714286	0	2	3	1.00205099699319	2.01684426104139	4.04031487557068
29	0	5.918367	0	2	3	1.00205099699319	2.01684426104139	4.04031487557068
30	0	6.122449	0	2	3	1.00205099699319	2.01684426104139	4.04031487557068
31	0	6.326531	0	2	3	1.00205099699319	2.01684426104139	4.04031487557068
32	0	6.530612	0	2	3	1.00205099699319	2.01684426104139	4.04031487557068
33	0	6.734694	0	2	3	1.00205099699319	2.01684426104139	4.04031487557068
34	0	6.938776	0	2	3	1.00205099699319	2.01684426104139	4.04031487557068
35	0	7.142857	0	2	3	1.00205099699319	2.01684426104139	4.04031487557068
36	0	7.346939	0	2	3	1.00205099699319	2.01684426104139	4.04031487557068
37	0	7.55102	0	2	3	1.00205099699319	2.01684426104139	4.04031487557068
38	0	7.755102	0	2	3	1.00205099699319	2.01684426104139	4.04031487557068
39	0	7.959184	0	2	3	1.00205099699319	2.01684426104139	4.04031487557068
40	0	8.163265	0	2	3	1.00205099699319	2.01684426104139	4.04031487557068
41	0	8.367347	0	2	3	1.00205099699319	2.01684426104139	4.04031487557068
42	0	8.571429	0	2	3	1.00205099699319	2.01684426104139	4.04031487557068
43	0	8.77551	0	2	3	1.00205099699319	2.01684426104139	4.04031487557068
44	0	8.979592	0	2	3	1.00205099699319	2.01684426104139	4.04031487557068
45	0	9.183673	0	2	3	1.00205099699319	2.01684426104139	4.04031487557068
46	0	9.387755	0	2	3	1.00205099699319	2.01684426104139	4.04031487557068
47	0	9.591837	0	2	3	1.00205099699319	2.01684426104139	4.04031487557068
48	0	9.795918	0	2	3	1.00205099699319	2.01684426104139	4.04031487557068
49	0	10	0	2	3	1.00205099699319	2.01684426104139	4.04031487557068
0	1	0	0.204082	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
1	1	0.204082	0.204082	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
2	1	0.408163	0.204082	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
3	1	0.612245	0.204082	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
4	1	0.816327	0.204082	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
5	1	1.020408	0.204082	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
6	1	1.22449	0.204082	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
7	1	1.428571	0.204082	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
8	1	1.632653	0.204082	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
9	1	1.836735	0.204082	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
10	1	2.040816	0.204082	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
11	1	2.244898	0.204082	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
12	1	2.44898	0.204082	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
13	1	2.653061	0.204082	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
14	1	2.857143	0.204082	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
15	1	3.061224	0.204082	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
16	1	3.265306	0.204082	2	3	1.00205099699319	2.01684426104139	4.04031487557068
17	1	3.469388	0.204082	2	3	1.00205099699319	2.01684426104139	4.04031487557068
18	1	3.673469	0.204082	2	3	1.00205099699319	2.01684426104139	4.04031487557068
19	1	3.877551	0.204082	2	3	1.00205099699319	2.01684426104139	4.04031487557068
20	1	4.081633	0.204082	2	3	1.00205099699319	2.01684426104139	4.04031487557068
21	1	4.285714	0.204082	2	3	1.00205099699319	2.01684426104139	4.04031487557068
22	1	4.489796	0.204082	2	3	1.00205099699319	2.01684426104139	4.04031487557068
23	1	4.693878	0.204082	2	3	1.00205099699319	2.01684426104139	4.04031487557068
24	1	4.897959	0.204082	2	3	1.00205099699319	2.01684426104139	4.04031487557068
25	1	5.102041	0.204082	2	3	1.00205099699319	2.01684426104139	4.04031487557068
26	1	5.306122	0.204082	2	3	1.00205099699319	2.01684426104139	4.04031487557068
27	1	5.510204	0.204082	2	3	1.00205099699319	2.01684426104139	4.04031487557068
28	1	5.714286	0.204082	2	3	1.00205099699319	2.01684426104139	4.04031487557068
29	1	5.918367	0.204082	2	3	1.00205099699319	2.01684426104139	4.04031487557068
30	1	6.122449	0.204082	2	3	1.00205099699319	2.01684426104139	4.04031487557068
31	1	6.326531	0.204082	2	3	1.00205099699319	2.01684426104139	4.04031487557068
32	1	6.530612	0.204082	2	3	1.00205099699319	2.01684426104139	4.04031487557068
33	1	6.734694	0.204082	2	3	1.00205099699319	2.01684426104139	4.04031487557068
34	1	6.938776	0.204082	2	3	1.00205099699319	2.01684426104139	4.04031487557068
35	1	7.142857	0.204082	2	3	1.00205099699319	2.01684426104139	4.04031487557068
36	1	7.346939	0.204082	2	3	1.00205099699319	2.01684426104139	4.04031487557068
37	1	7.55102	0.204082	2	3	1.00205099699319	2.01684426104139	4.04031487557068
38	1	7.755102	0.204082	2	3	1.00205099699319	2.01684426104139	4.04031487557068
39	1	7.959184	0.204082	2	3	1.00205099699319	2.01684426104139	4.04031487557068
40	1	8.163265	0.204082	2	3	1.00205099699319	2.01684426104139	4.04031487557068
41	1	8.367347	0.204082	2	3	1.00205099699319	2.01684426104139	4.04031487557068
42	1	8.571429	0.204082	2	3	1.00205099699319	2.01684426104139	4.04031487557068
43	1	8.77551	0.204082	2	3	1.00205099699319	2.01684426104139	4.04031487557068
44	1	8.979592	0.204082	2	3	1.00205099699319	2.01684426104139	4.04031487557068
45	1	9.183673	0.204082	2	3	1.00205099699319	2.01684426104139	4.04031487557068
46	1	9.387755	0.204082	2	3	1.00205099699319	2.01684426104139	4.04031487557068
47	1	9.591837	0.204082	2	3	1.00205099699319	2.01684426104139	4.04031487557068
48	1	9.795918	0.204082	2	3	1.00205099699319	2.01684426104139	4.04031487557068
49	1	10	0.204082	2	3	1.00205099699319	2.01684426104139	4.04031487557068
0	2	0	0.408163	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
1	2	0.204082	0.408163	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
2	2	0.408163	0.408163	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
3	2	0.612245	0.408163	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
4	2	0.816327	0.408163	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
5	2	1.020408	0.408163	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
6	2	1.22449	0.408163	3	2	4.99998604582912	0.481115410289416	-3.0210169106822
