u	v	x_coord	y_coord	group	intercept	beta_feat1	beta_feat2
0	0	0	0	4	4.96886553482977	0.415818471943639	-3.087013681589
1	0	0.204082	0	4	4.96886553482977	0.415818471943639	-3.087013681589
2	0	0.408163	0	4	4.96886553482977	0.415818471943639	-3.087013681589
3	0	0.612245	0	4	4.96886553482977	0.415818471943639	-3.087013681589
4	0	0.816327	0	4	4.96886553482977	0.415818471943639	-3.087013681589
5	0	1.020408	0	4	4.96886553482977	0.415818471943639	-3.087013681589
6	0	1.22449	0	4	4.96886553482977	0.415818471943639	-3.087013681589
7	0	1.428571	0	4	4.96886553482977	0.415818471943639	-3.087013681589
8	0	1.632653	0	4	4.96886553482977	0.415818471943639	-3.087013681589
9	0	1.836735	0	4	4.96886553482977	0.415818471943639	-3.087013681589
10	0	2.040816	0	4	4.96886553482977	0.415818471943639	-3.087013681589
11	0	2.244898	0	4	4.96886553482977	0.415818471943639	-3.087013681589
12	0	2.44898	0	4	4.96886553482977	0.415818471943639	-3.087013681589
13	0	2.653061	0	4	4.96886553482977	0.415818471943639	-3.087013681589
14	0	2.857143	0	4	4.96886553482977	0.415818471943639	-3.087013681589
15	0	3.061224	0	4	4.96886553482977	0.415818471943639	-3.087013681589
16	0	3.265306	0	5	1.0130939195062	2.02293880931122	4.07936337290122
17	0	3.469388	0	5	1.0130939195062	2.02293880931122	4.07936337290122
18	0	3.673469	0	5	1.0130939195062	2.02293880931122	4.07936337290122
19	0	3.877551	0	5	1.0130939195062	2.02293880931122	4.07936337290122
20	0	4.081633	0	5	1.0130939195062	2.02293880931122	4.07936337290122
21	0	4.285714	0	5	1.0130939195062	2.02293880931122	4.07936337290122
22	0	4.489796	0	5	1.0130939195062	2.02293880931122	4.07936337290122
23	0	4.693878	0	5	1.0130939195062	2.02293880931122	4.07936337290122
24	0	4.897959	0	5	1.0130939195062	2.02293880931122	4.07936337290122
25	0	5.102041	0	5	1.0130939195062	2.02293880931122	4.07936337290122
