u	v	spatial_x	spatial_y	a1_list	a2_list	b_list	feat1	feat2	y
0	0	0.0	0.0	-0.8864204081540411	-0.6256702664596951	3	2.804796513424794	1.701356640437652	-0.3465566893491655
1	0	0.20408163265306123	0.0	-0.8808325358218935	-0.645477543432947	3	2.97961885287361	2.3564796585007004	-1.8423892822592576
2	0	0.40816326530612246	0.0	-0.8629678929597416	-0.6658569185975284	3	2.954958768384382	2.7319117281489675	-0.8662945661309771
3	0	0.6122448979591837	0.0	-0.8345231719021124	-0.6869583678756472	3	2.6584142807936213	2.732780698452121	-0.46563652622639307
4	0	0.8163265306122449	0.0	-0.7973620406423946	-0.7089199904051459	3	2.077718706441658	2.378758361110525	-1.650236958581901
5	0	1.0204081632653061	0.0	-0.7533937066610888	-0.7318664043297851	3	1.2745385807548417	1.762407652310688	-0.12253656669512825
6	0	1.2244897959183674	0.0	-0.7044569006429222	-0.7559074470895812	3	0.36854155263396676	1.0036818993288863	2.067340807983706
7	0	1.4285714285714286	0.0	-0.6522173015740033	-0.7811371650488222	3	-0.49944814875469606	0.22942226510764152	2.934655929221457
8	0	1.6326530612244898	0.0	-0.5980853217241383	-0.8076330706582424	3	-1.2102532282064642	-0.4322938492783873	4.061712724751042
9	0	1.836734693877551	0.0	-0.5431595992130909	-0.835455640113325	3	-1.7004466356708423	-0.8724976171091509	4.081007536839201
10	0	2.0408163265306123	0.0	-0.4881996195158187	-0.8646480207490675	3	-1.975611987383808	-1.045840068566363	5.457973209015735
11	0	2.2448979591836737	0.0	-0.4336287408060847	-0.895235915256373	3	-2.0951618411208432	-1.0096141366692062	5.3334858233844145
12	0	2.4489795918367347	0.0	-0.3795666806820919	-0.9272276092151535	3	-2.131174215521116	-0.9114438204948944	4.698279164918032
13	0	2.6530612244897958	0.0	-0.3258883863629022	-0.960614109361334	3	-2.119104556616744	-0.9100272284909997	5.320028168750131
14	0	2.857142857142857	0.0	-0.272304302935646	-0.9953693623351334	3	-2.02977024981907	-1.0700183782250887	4.931009943126145
15	0	3.0612244897959187	0.0	-0.21845550416525655	-1.0314505272466863	3	-1.786554077975026	-1.3062252247760324	4.161863318488919
16	0	3.2653061224489797	0.0	-0.16401606210233258	-1.068798280052909	3	-1.3255062734222691	-1.42820734245235	4.9909328957659405
17	0	3.4693877551020407	0.0	-0.1087944776286657	-1.107337133242356	3	-0.6632103215912816	-1.265792804533265	3.8313616533907013
18	0	3.673469387755102	0.0	-0.0528260099777519	-1.1469757604239352	3	0.07669761041009604	-0.7921856866314453	4.493127853464139
19	0	3.8775510204081636	0.0	0.003551673708464234	-1.187607321843941	3	0.7063467269137004	-0.15649336045774662	3.154911013437833
20	0	4.081632653061225	0.0	0.05964599861662166	-1.2291097933384467	3	1.0673516243906667	0.40070909614776434	2.4472899955815155
21	0	4.285714285714286	0.0	0.1143850430755879	-1.2713463074907838	3	1.117847029060224	0.6918044754052453	1.7921191205082736
22	0	4.4897959183673475	0.0	0.16632416760349078	-1.3141655215409582	3	0.9546881467224574	0.6873979295211752	3.0745357496807624
23	0	4.6938775510204085	0.0	0.21368460088066019	-1.357402031639473	3	0.7544301482650368	0.5133619420607697	2.36083680901858
24	0	4.8979591836734695	0.0	0.2544226784024763	-1.4008768571317114	3	0.6713707914046834	0.3488799607390044	2.3950944511847965
25	0	5.1020408163265305	0.0	0.2863263085620036	-1.444398021513873	3	0.7579249989250888	0.3022076932413327	2.544576194077915
26	0	5.3061224489795915	0.0	0.30713333204742893	-1.487761258371253	3	0.9526026694683186	0.3499492207703871	3.1285822932524336
27	0	5.510204081632653	0.0	0.31466486895568935	-1.5307508708912512	3	1.1314879718523352	0.37453865789110663	3.0275616607625344
28	0	5.714285714285714	0.0	0.3069656160446784	-1.5731407723832358	3	1.1797765024521587	0.26474473801167064	3.222200928999498
29	0	5.918367346938775	0.0	0.28244243656193574	-1.6146957326308546	3	1.0386507729052632	0.005544497758160183	3.573056450181899
30	0	6.122448979591837	0.0	0.23999251549435724	-1.6551728508956285	3	0.7137487138687328	-0.30122950809951904	5.104785145550397
31	0	6.326530612244898	0.0	0.17911283605520126	-1.694323271079583	3	0.26278283164201527	-0.4929647255171642	3.610011323529416
32	0	6.530612244897959	0.0	0.09998373502544679	-1.7318941480811323	3	-0.2160370769654722	-0.43814563633611264	3.3940190412408797
33	0	6.73469387755102	0.0	0.0035207482479897526	-1.7676308669272478	3	-0.5942783401606111	-0.10734787022082926	2.642431376550221
34	0	6.938775510204081	0.0	-0.10860923215504042	-1.8012795080577422	3	-0.7402543852904591	0.4131930800115933	2.748828445615234
35	0	7.142857142857143	0.0	-0.2340094173621527	-1.8325895434263786	3	-0.5715848742608779	0.9653172644223794	2.1211373546523955
36	0	7.346938775510204	0.0	-0.3696119678054605	-1.8613167391430996	3	-0.11033581815193043	1.39077854605316	0.37575725402794496
37	0	7.551020408163265	0.0	-0.5117718625619043	-1.8872262315014778	3	0.5043842962250165	1.593635067694958	-0.8285844334855038
38	0	7.755102040816327	0.0	-0.6563914545562269	-1.910095734710139	3	1.0741848220775525	1.5665519985123821	-1.2497524428989826
39	0	7.959183673469388	0.0	-0.7990696758719672	-1.9297188307676327	3	1.4456441356490544	1.3747870167768272	-0.3722256176258512
40	0	8.16326530612245	0.0	-0.9352685347101515	-1.9459082849659026	3	1.5922965298597995	1.1113479945882894	-0.15382581774932036
41	0	8.36734693877551	0.0	-1.0604886707172263	-1.9584993247355285	3	1.610904647315988	0.8487719603651519	-0.006752079549454615
42	0	8.571428571428571	0.0	-1.170445350929764	-1.9673528151840596	3	1.6288474627290312	0.6131608520094477	-0.5586721723698056
43	0	8.775510204081632	0.0	-1.261236404642032	-1.9723582619185147	3	1.6906486804915082	0.3937303154339562	0.2466631825448508
44	0	8.979591836734695	0.0	-1.329494190272448	-1.9734365707322505	3	1.7141831273633394	0.18044226352950893	0.4430916214768334
45	0	9.183673469387756	0.0	-1.3725147093110288	-1.9705424945745638	3	1.5567448877031622	0.003374881477680447	1.0032157554251808
46	0	9.387755102040817	0.0	-1.3883583548393557	-1.9636667009568682	3	1.143695494219835	-0.05752047223848711	2.1089491223910843
47	0	9.591836734693878	0.0	-1.3759184086341307	-1.9528373975750792	3	0.5577829548730676	0.0916972342596796	2.2032753937303378
48	0	9.795918367346939	0.0	-1.3349551727899858	-1.9381214603833727	3	0.012521344465925208	0.4911516205803939	2.486245157544164
49	0	10.0	0.0	-1.2660954257026031	-1.9196250165241755	3	-0.2784145318969277	1.0678377570628266	1.347929269794522
0	1	0.0	0.20408163265306123	-1.041687685515043	-0.5778136043105011	3	2.5703650800039344	1.4590350677200852	-0.3268579652904554
1	1	0.20408163265306123	0.20408163265306123	-1.0400310843051295	-0.5974269806755782	3	2.7802676591718685	2.169820270483208	-0.7649108497186293
2	1	0.40816326530612246	0.20408163265306123	-1.0256213415770794	-0.6177376020929115	3	2.796336311525507	2.562620351085073	-2.4273035493845763
3	1	0.6122448979591837	0.20408163265306123	-1.0002458115750459	-0.6388954382900983	3	2.5474225424875803	2.5569250117450975	-1.3958361694482475
4	1	0.8163265306122449	0.20408163265306123	-0.9658350528234665	-0.6610376691128019	3	2.001043593160213	2.200041004993321	-0.7021377007714978
5	1	1.0204081632653061	0.20408163265306123	-0.9243387052753649	-0.6842871214520622	3	1.1924461680306149	1.6073704317333835	0.3698248087709768
6	1	1.2244897959183674	0.20408163265306123	-0.8776086766300685	-0.7087510164472005	3	0.23369015108902885	0.9060922887618004	1.968372356784502
7	1	1.4285714285714286	0.20408163265306123	-0.827297587672486	-0.7345200107674653	3	-0.7114569792651535	0.2157075332433309	4.431755821565346
8	1	1.6326530612244898	0.20408163265306123	-0.7747792161593897	-0.7616675091881552	3	-1.4833175046862201	-0.34900166996309234	3.8349599587451135
9	1	1.836734693877551	0.20408163265306123	-0.7210960181578187	-0.7902492205127588	3	-1.987894633840286	-0.6902509274930533	5.627679659965412
10	1	2.0408163265306123	0.20408163265306123	-0.6669368121630875	-0.8203029252545987	3	-2.229428801038648	-0.7694281219250543	3.9905295297149745
11	1	2.2448979591836737	0.20408163265306123	-0.6126455235183546	-0.8518484214287277	3	-2.291235928732318	-0.6487342995997059	4.731965754012486
12	1	2.4489795918367347	0.20408163265306123	-0.5582596552215074	-0.8848876143129674	3	-2.272666333585495	-0.4818932388172571	4.8042038358918715
13	1	2.6530612244897958	0.20408163265306123	-0.5035750283764195	-0.9194047170584463	3	-2.2203068403272797	-0.434612941825562	4.910445230941955
14	1	2.857142857142857	0.20408163265306123	-0.448231464965524	-0.9553665314577515	3	-2.099371117344239	-0.5760163872205639	4.967832777816465
15	1	3.0612244897959187	0.20408163265306123	-0.3918125927730205	-0.9927227818598641	3	-1.8273664570193602	-0.8194978013051908	5.061061974094884
16	1	3.2653061224489797	0.20408163265306123	-0.33395193625124475	-1.0314064799628155	3	-1.3498037373984	-0.9673421428032642	4.214846727685311
17	1	3.4693877551020407	0.20408163265306123	-0.27443698417233997	-1.0713343037916327	3	-0.7058245958799758	-0.8400827355769009	3.7839381250093505
18	1	3.673469387755102	0.20408163265306123	-0.2133030243812873	-1.1124069803292256	3	-0.034599946813633556	-0.4046303920274235	4.03233778628573
19	1	3.8775510204081636	0.20408163265306123	-0.1509091986453874	-1.154509667743793	3	0.48803356224574884	0.1906119006682293	2.5781140664302677
20	1	4.081632653061225	0.20408163265306123	-0.08799040968003122	-1.1975123396718397	3	0.7447328075464736	0.7018613146012758	1.2392732335520915
21	1	4.285714285714286	0.20408163265306123	-0.025680327022523635	-1.241270180296441	3	0.7419172084549182	0.9389528045630555	1.0561507730710749
22	1	4.4897959183673475	0.20408163265306123	0.03449732075123881	-1.2856240047414704	3	0.602335410640991	0.8743900193822299	1.2806091278154774
23	1	4.6938775510204085	0.20408163265306123	0.09066984301731329	-1.330400724338478	3	0.4904681912550254	0.6400443150915067	2.526052952015635
24	1	4.8979591836734695	0.20408163265306123	0.1406875578285273	-1.3754138803949643	3	0.5194698265169551	0.4204185120429597	2.590258727386674
25	1	5.1020408163265305	0.20408163265306123	0.18222302028697018	-1.4204642730163843	3	0.6963066590241194	0.3227563967504709	3.1310443592071637
26	1	5.3061224489795915	0.20408163265306123	0.21289201956740153	-1.4653407131643374	3	0.9315970664427156	0.3151275578673195	2.4503010674695442
27	1	5.510204081632653	0.20408163265306123	0.23038933150211427	-1.5098209263706424	3	1.0974422652065021	0.27018998240604825	2.951122093332123
28	1	5.714285714285714	0.20408163265306123	0.23263113549609024	-1.5536726353194863	3	1.092151112363596	0.07682586715931988	3.553851669870452
29	1	5.918367346938775	0.20408163265306123	0.21789543940500272	-1.5966548458563232	3	0.8786617769299518	-0.26180192425135124	3.402201523370403
30	1	6.122448979591837	0.20408163265306123	0.18495183684386327	-1.6385193569316385	3	0.49022863809458894	-0.6103976486418282	4.396856458977718
31	1	6.326530612244898	0.20408163265306123	0.13317244539575035	-1.6790125096384068	3	0.01687103686811455	-0.7731144086831573	3.856825140282153
32	1	6.530612244897959	0.20408163265306123	0.06261690350450091	-1.7178771839986544	3	-0.415013675412006	-0.6060459999398821	3.7718796472854534
33	1	6.73469387755102	0.20408163265306123	-0.025914231398078233	-1.754855044683893	3	-0.6708331127990966	-0.10081810060823543	2.938540887983499
34	1	6.938775510204081	0.20408163265306123	-0.13086153751036933	-1.7896890286398934	3	-0.6496229401534274	0.6069408332836784	1.1975627438444736
35	1	7.142857142857143	0.20408163265306123	-0.2499260646543117	-1.8221260588817287	3	-0.33156144098221285	1.3026099186827702	1.0356179308724522
36	1	7.346938775510204	0.20408163265306123	-0.38012566191508074	-1.8519199598061926	3	0.19664056115597928	1.7891154041409165	-0.7025462187298807
37	1	7.551020408163265	0.20408163265306123	-0.5178859280829657	-1.8788345405248714	3	0.76766437208789	1.9621601753255116	-1.075765827691322
38	1	7.755102040816327	0.20408163265306123	-0.6591615030984735	-1.9026468042476916	3	1.2113560492956652	1.8309852208036586	-0.9600971917610348
39	1	7.959183673469388	0.20408163265306123	-0.7995817853171782	-1.923150233933539	3	1.443332176107808	1.4856307758508263	-0.7119774043543272
40	1	8.16326530612245	0.20408163265306123	-0.9346138984143485	-1.9401580975498747	3	1.5042416645032393	1.03917417844845	0.023760659711607013
41	1	8.36734693877551	0.20408163265306123	-1.0597349098284508	-1.9535067106023318	3	1.5158928953251707	0.5806402144905874	0.19328554918873736
42	1	8.571428571428571	0.20408163265306123	-1.1706049567056476	-1.9630585893343342	3	1.5793982912033733	0.16077822698446764	0.551921583175514
43	1	8.775510204081632	0.20408163265306123	-1.263233070932497	-1.9687054253441125	3	1.6882127725819063	-0.19064617943157047	1.1893087613646658
44	1	8.979591836734695	0.20408163265306123	-1.334128086882812	-1.9703708114676204	3	1.7245872877421007	-0.43663242660902546	0.42899337912103497
45	1	9.183673469387756	0.20408163265306123	-1.380428010749162	-1.968012649727133	3	1.5489244631922459	-0.5192877635517239	0.914220815469651
46	1	9.387755102040817	0.20408163265306123	-1.4000025520069663	-1.961625174991384	3	1.1197950220462418	-0.3755612240562674	1.2827857229924688
47	1	9.591836734693878	0.20408163265306123	-1.3915250712973997	-1.951240532724374	3	0.5538158097576337	0.02214300111830328	1.5179897200501946
48	1	9.795918367346939	0.20408163265306123	-1.3545118798282	-1.936929855751896	3	0.0744196159847185	0.6224737813755706	1.9613584263920274
49	1	10.0	0.20408163265306123	-1.2893285251630708	-1.918803793229185	3	-0.12070098511119988	1.2773553914496092	0.09795788561265162
0	2	0.0	0.40816326530612246	-1.2043688604994929	-0.526211275363788	3	2.1039580979067827	0.941536736822788	-0.2827577752064417
1	2	0.20408163265306123	0.40816326530612246	-1.2065314437454533	-0.5454840923009775	3	2.3440853739873826	1.736076263919022	0.09526826398792654
2	2	0.40816326530612246	0.40816326530612246	-1.1954804707882287	-0.5655920803055944	3	2.397696682643246	2.188821969327067	-1.3430767906351615
3	2	0.6122448979591837	0.40816326530612246	-1.1730764913947298	-0.58668462641948	3	2.203951571189859	2.239821741048869	-0.4053373268558386
4	2	0.8163265306122449	0.40816326530612246	-1.1413009094641449	-0.6088973606948469	3	1.7231114443578823	1.961753611209816	-0.786619100359587
5	2	1.0204081632653061	0.40816326530612246	-1.1021299642891758	-0.6323506477966624	3	0.975379156366297	1.4826613829873714	0.8498003554591348
6	2	1.2244897959183674	0.40816326530612246	-1.0574177830580267	-0.657148394410703	3	0.06588228108387079	0.9209491364676241	1.688619881239775
7	2	1.4285714285714286	0.40816326530612246	-1.0087963490833094	-0.6833771550076143	3	-0.8349760292074981	0.3705157580868974	3.3619666043363123
8	2	1.6326530612244898	0.40816326530612246	-0.9575989215682872	-0.7111055119941274	3	-1.5570575011379209	-0.08201420266116088	5.112363787580095
9	2	1.836734693877551	0.40816326530612246	-0.9048117026020599	-0.7403837012068494	3	-2.0061908826281427	-0.354585127752	3.920449353994555
10	2	2.0408163265306123	0.40816326530612246	-0.8510564972891792	-0.7712434501705834	3	-2.2000534758578314	-0.40500699478605134	5.475792638190187
11	2	2.2448979591836737	0.40816326530612246	-0.7966048948475078	-0.8036979945968976	3	-2.2372799410339725	-0.2773776196010794	5.164438842353881
12	2	2.4489795918367347	0.40816326530612246	-0.7414222634872348	-0.8377422382307632	3	-2.2188383517297154	-0.10564403111783116	4.335518149819251
13	2	2.6530612244897958	0.40816326530612246	-0.6852377509856632	-0.8733530223017202	3	-2.1759621870292314	-0.046612026821792996	3.562901427329912
14	2	2.857142857142857	0.40816326530612246	-0.6276346568121092	-0.9104894733901223	3	-2.0558720712151857	-0.17571069821184948	4.4986460731189535
15	2	3.0612244897959187	0.40816326530612246	-0.5681541114984805	-0.949093402321614	3	-1.7755809229471313	-0.4215778958646757	4.054160286127724
16	2	3.2653061224489797	0.40816326530612246	-0.5064040582249657	-0.989089731558183	3	-1.304426733296465	-0.5985570601508096	4.408486694952936
17	2	3.4693877551020407	0.40816326530612246	-0.44216514033687193	-1.030386934232892	3	-0.7141240035062845	-0.526816186198507	3.873226192730336
18	2	3.673469387755102	0.40816326530612246	-0.3754852796220069	-1.0728774742242366	3	-0.15746973846001652	-0.16071328425350823	4.304745088446863
19	2	3.8775510204081636	0.40816326530612246	-0.30675546826978944	-1.1164382432149926	3	0.21272436002993575	0.36681004638722386	2.3648566051375375
20	2	4.081632653061225	0.40816326530612246	-0.2367605402638161	-1.160930997252435	3	0.3308800948119703	0.8193110894734601	1.2847536897707226
21	2	4.285714285714286	0.40816326530612246	-0.16670035030812652	-1.2062028016463897	3	0.25455556725892375	1.0017220065959966	1.8694002823588511
22	2	4.4897959183673475	0.40816326530612246	-0.09817875807362307	-1.2520864988444433	3	0.12698984039045105	0.8753699443250821	2.038891184659933
23	2	4.6938775510204085	0.40816326530612246	-0.03315996117740765	-1.2984012189646799	3	0.09253982326069898	0.5657351940647449	3.173035792879519
24	2	4.8979591836734695	0.40816326530612246	0.02610609981981053	-1.3449529567279486	3	0.21848053277402982	0.26264557628303825	3.2119822649666636
25	2	5.1020408163265305	0.40816326530612246	0.07718546949638422	-1.391535241431032	3	0.4667578428584813	0.08745874106596885	3.1534286125078355
26	2	5.3061224489795915	0.40816326530612246	0.11758341436895593	-1.4379299281963587	3	0.7237396917392068	0.021156087016359487	4.035091750501788
27	2	5.510204081632653	0.40816326530612246	0.14488207333037348	-1.4839081389260882	3	0.8622440644181661	-0.05985721547403838	2.41727507058878
28	2	5.714285714285714	0.40816326530612246	0.15688440654273225	-1.5292313801294952	3	0.7994662430904628	-0.27065657815339217	3.1106867927065025
29	2	5.918367346938775	0.40816326530612246	0.15175581956923473	-1.57365286208423	3	0.5275760538103161	-0.6101438090775602	3.419411407127262
30	2	6.122448979591837	0.40816326530612246	0.12815487108112436	-1.6169190396861732	3	0.11433824704166143	-0.9349491324097104	4.265217488526231
31	2	6.326530612244898	0.40816326530612246	0.08534503593539502	-1.6587713899406098	3	-0.31768739464918716	-1.0336609873172609	3.7651145116843523
32	2	6.530612244897959	0.40816326530612246	0.02328054903635768	-1.6989484344966952	3	-0.6260669542824532	-0.7533671697656725	4.69090792561103
33	2	6.73469387755102	0.40816326530612246	-0.057339173285067394	-1.7371880081172328	3	-0.693657824256869	-0.09836028845611908	3.061754872710351
34	2	6.938775510204081	0.40816326530612246	-0.15505024643554904	-1.773229765732628	3	-0.4752886405593662	0.7585647304360524	0.7431438442858107
35	2	7.142857142857143	0.40816326530612246	-0.2676418825019	-1.806817912006559	3	-0.0261922890835904	1.5555994368764905	-0.4841127573074462
36	2	7.346938775510204	0.40816326530612246	-0.39221045246233555	-1.8377041284192663	3	0.5107539463048806	2.0618052334745967	-0.779256748138245
37	2	7.551020408163265	0.40816326530612246	-0.5252476711154427	-1.8656506640423784	3	0.965444338928262	2.1686941138203215	-0.9915782036781025
38	2	7.755102040816327	0.40816326530612246	-0.6627586839235812	-1.890433547732784	3	1.2239505613502604	1.9096666905080344	-0.0834721425187579
39	2	7.959183673469388	0.40816326530612246	-0.8004042702427426	-1.9118458717019287	3	1.2867075723395565	1.4113096902394573	1.2241950117934233
40	2	8.16326530612245	0.40816326530612246	-0.9336601809518407	-1.9297010895990752	3	1.2600719093667208	0.8187609938565681	0.5212113714170126
41	2	8.36734693877551	0.40816326530612246	-1.0579858609711381	-1.94383626663579	3	1.2794602369722008	0.24309776010659298	0.510816376754158
42	2	8.571428571428571	0.40816326530612246	-1.1689945000037987	-1.9541152150996974	3	1.4103313371630886	-0.24696557231983934	0.4054585980593721
43	2	8.775510204081632	0.40816326530612246	-1.2626165091355332	-1.9604314460438839	3	1.5942074286989953	-0.6020421974808735	2.3467565170953764
44	2	8.979591836734695	0.40816326530612246	-1.3352491084187517	-1.9627108671375326	3	1.681299715689818	-0.770032972922189	1.721727603791153
45	2	9.183673469387756	0.40816326530612246	-1.3838856765858178	-1.9609141577167086	3	1.533196570979869	-0.6999058003888459	1.9723970547606113
46	2	9.387755102040817	0.40816326530612246	-1.406219782187251	-1.9550387550238608	3	1.1284206565021664	-0.3713025343342642	1.7289985392899216
47	2	9.591836734693878	0.40816326530612246	-1.400720293619949	-1.9451203904568908	3	0.5976942525183805	0.17172209958385093	1.7344474798259029
48	2	9.795918367346939	0.40816326530612246	-1.366675552749169	-1.9312341212967645	3	0.16086618921506116	0.8083585262509199	1.9332252984266325
49	2	10.0	0.40816326530612246	-1.3042061906111595	-1.913494811724496	3	0.0033153130556694017	1.3622865063200138	0.4941705264517265
0	3	0.0	0.6122448979591837	-1.3702298981027983	-0.4710127669759375	3	1.5764214370691378	0.24787036419939917	0.6169047680088748
1	3	0.20408163265306123	0.6122448979591837	-1.3759957487243692	-0.4898037006294956	3	1.8406964682807732	1.1240487552800063	-0.7772417694637238
2	3	0.40816326530612246	0.6122448979591837	-1.368126017559919	-0.509579710836185	3	1.9151344417213572	1.6498647316465407	-1.5829204226672628
3	3	0.6122448979591837	0.6122448979591837	-1.348534985577493	-0.5304890008624198	3	1.759180839536064	1.7843911794608827	-0.6447431010910185
4	3	0.8163265306122449	0.6122448979591837	-1.3192367550432922	-0.5526650051422134	3	1.3443084341678952	1.6170612811597094	0.2968114132153371
5	3	1.0204081632653061	0.6122448979591837	-1.2822182313834356	-0.5762249489611916	3	0.6942662475036846	1.2793723647958948	2.5571059265082594
6	3	1.2244897959183674	0.6122448979591837	-1.239322804134187	-0.6012687291326675	3	-0.08662111472087099	0.8758081112918974	2.6680394221393713
7	3	1.4285714285714286	0.6122448979591837	-1.1921524285749896	-0.6278780967516145	3	-0.8356010905144359	0.47387459253461917	4.3570638645025594
8	3	1.6326530612244898	0.6122448979591837	-1.1419944121504164	-0.6561161166767873	3	-1.4029190578982635	0.13331079444917948	4.180130313032818
9	3	1.836734693877551	0.6122448979591837	-1.0897774011258634	-0.686026873422726	3	-1.7267935404079657	-0.07790866328299834	4.141355689931895
10	3	2.0408163265306123	0.6122448979591837	-1.0360589686609816	-0.7176353897362305	3	-1.855956404784612	-0.11174084390120426	4.356441231987696
11	3	2.2448979591836737	0.6122448979591837	-0.9810449689821144	-0.7509477223263055	3	-1.8994874041941883	0.009414597065900532	4.370511228067391
12	3	2.4489795918367347	0.6122448979591837	-0.9246385949926319	-0.78595119899886	3	-1.9386586902305827	0.17522197550237273	6.080917446499583
13	3	2.6530612244897958	0.6122448979591837	-0.8665150077576943	-0.822614762751123	3	-1.9659625964608576	0.23891307445345278	3.9566735973836096
14	3	2.857142857142857	0.6122448979591837	-0.8062156330830871	-0.8608893910897718	3	-1.897212747339933	0.11502861098014827	4.992323431828717
15	3	3.0612244897959187	0.6122448979591837	-0.7432548590911816	-0.9007085627901653	3	-1.6476294839688856	-0.14733651646070023	3.7523546726112897
16	3	3.2653061224489797	0.6122448979591837	-0.6772310069727384	-0.9419887493116553	3	-1.2143460692664232	-0.3795965406368214	4.80412240048594
17	3	3.4693877551020407	0.6122448979591837	-0.6079331386279528	-0.9846299138932064	3	-0.7027139099683516	-0.39920881526181984	4.078193161532164
18	3	3.673469387755102	0.6122448979591837	-0.535435526172211	-1.0285160077181077	3	-0.2752058326759956	-0.13764951408436255	3.1839823170839985
19	3	3.8775510204081636	0.6122448979591837	-0.46017241788500174	-1.073515459183912	3	-0.057576998212122865	0.30019594698213	2.6769194641014216
20	3	4.081632653061225	0.6122448979591837	-0.38298703575139936	-1.119481658965141	3	-0.06596981447640345	0.6915293292221533	1.8124034270570286
21	3	4.285714285714286	0.6122448979591837	-0.30515044216328163	-1.166253449935473	3	-0.20176699992878708	0.8314213125690203	2.390789690101723
22	3	4.4897959183673475	0.6122448979591837	-0.22834790303278427	-1.2136556368579643	3	-0.31373067263122195	0.6567951359658246	1.9696776903582656
23	3	4.6938775510204085	0.6122448979591837	-0.15463251938233005	-1.2614995358120349	3	-0.28482317534380547	0.2747798156157001	1.8762524536081093
24	3	4.8979591836734695	0.6122448979591837	-0.08634805865874302	-1.3095835873875743	3	-0.09160599798068782	-0.12072047711964856	2.309785380790473
25	3	5.1020408163265305	0.6122448979591837	-0.026024950592690492	-1.3576940605581715	3	0.19183891679064538	-0.38251045348643675	3.6299734773425363
26	3	5.3061224489795915	0.6122448979591837	0.023744809626481286	-1.4056058757067962	3	0.4379273917215139	-0.49913305262989005	4.769973995877684
27	3	5.510204081632653	0.6122448979591837	0.06044669743310356	-1.4530835754232103	3	0.527702349561525	-0.57905634764304	3.980509513357541
28	3	5.714285714285714	0.6122448979591837	0.08178852372361944	-1.4998824703772335	3	0.40156957848799574	-0.7449354107756387	4.070671668688872
29	3	5.918367346938775	0.6122448979591837	0.08584257015868649	-1.5457499848002192	3	0.08321739168696998	-1.0159975245380373	4.7691252664297465
30	3	6.122448979591837	0.6122448979591837	0.0711765201372672	-1.5904272219340057	3	-0.32559914998539313	-1.2644065988758093	5.862792826933039
31	3	6.326530612244898	0.6122448979591837	0.036965312966793167	-1.6336507643367253	3	-0.6761752531894105	-1.2799783861286897	5.213028914892859
32	3	6.530612244897959	0.6122448979591837	-0.016922875573804827	-1.675154717318868	3	-0.8239117144521468	-0.903200950785397	4.251623044163915
33	3	6.73469387755102	0.6122448979591837	-0.08987184882052444	-1.714672996213488	3	-0.6863572838142903	-0.13991722835324572	4.042809926950296
34	3	6.938775510204081	0.6122448979591837	-0.18049734919511817	-1.751941849889967	3	-0.28528239814553097	0.8171522984754288	1.9071562209736945
35	3	7.142857142857143	0.6122448979591837	-0.28666335175610913	-1.7867026041591956	3	0.25258824827576476	1.674099987440379	0.9654299135897781
36	3	7.346938775510204	0.6122448979591837	-0.40553426089153904	-1.8187045997687963	3	0.7467098072537754	2.1750466099826022	-1.1358166111333323
37	3	7.551020408163265	0.6122448979591837	-0.5336606240969688	-1.8477082908418627	3	1.0473565728404999	2.211569421822769	-2.4656623700411346
38	3	7.755102040816327	0.6122448979591837	-0.6670942021022319	-1.8734884611683869	3	1.1102106688117805	1.8448670810564798	-2.113618952519693
39	3	7.959183673469388	0.6122448979591837	-0.8015267426708443	-1.8958375080055925	3	1.0160556194507784	1.2431828525811697	0.9348532823313795
40	3	8.16326530612245	0.6122448979591837	-0.9324456766735119	-1.9145687362586463	3	0.9193761283836565	0.5878019152926399	2.1722005666443955
41	3	8.36734693877551	0.6122448979591837	-1.055299244097638	-1.9295196003511554	3	0.9527460821247136	0.00898749063888793	1.8569483674717544
