u	v	spatial_x	spatial_y	a1_list	a2_list	b_list	feat1	feat2	y
0	0	0.0	0.0	-0.8864204081540411	-0.6256702664596951	3	1.64373629133578	-2.796733229144661	3.6279802181620266
1	0	0.20408163265306123	0.0	-0.8808325358218935	-0.645477543432947	3	-0.3667293614876863	1.0980897386939867	1.4702523695738758
2	0	0.40816326530612246	0.0	-0.8629678929597416	-0.6658569185975284	3	2.151587519468295	2.702977618816236	0.16894901889000746
3	0	0.6122448979591837	0.0	-0.8345231719021124	-0.6869583678756472	3	1.1842081743561836	1.9749029420745021	1.6896959243738894
4	0	0.8163265306122449	0.0	-0.7973620406423946	-0.7089199904051459	3	-2.434935912674103	-1.3368111587367613	3.7430789144692107
5	0	1.0204081632653061	0.0	-0.7533937066610888	-0.7318664043297851	3	2.853734109820536	-2.680049490399956	1.3790554075934622
6	0	1.2244897959183674	0.0	-0.7044569006429222	-0.7559074470895812	3	1.5668382119421178	2.642108475229083	0.03966498044620892
7	0	1.4285714285714286	0.0	-0.6522173015740033	-0.7811371650488222	3	1.7163858316617233	2.622376349278209	-0.5157590143304613
8	0	1.6326530612244898	0.0	-0.5980853217241383	-0.8076330706582424	3	-2.2313182039467248	0.19449191827721624	4.158959287445246
9	0	1.836734693877551	0.0	-0.5431595992130909	-0.835455640113325	3	-0.2976843726265974	0.8539044700292107	1.5099424985930412
10	0	2.0408163265306123	0.0	-0.4881996195158187	-0.8646480207490675	3	-0.7752118546045126	-0.22439963573515032	4.539822605706396
11	0	2.2448979591836737	0.0	-0.4336287408060847	-0.895235915256373	3	2.5605899330916113	-0.481407797407448	3.176199290688203
12	0	2.4489795918367347	0.0	-0.3795666806820919	-0.9272276092151535	3	0.8631907204839875	-2.283309384427798	4.862142832369158
13	0	2.6530612244897958	0.0	-0.3258883863629022	-0.960614109361334	3	1.9365696796249798	-2.419482609833424	5.933048892052899
14	0	2.857142857142857	0.0	-0.272304302935646	-0.9953693623351334	3	-0.33951480703601344	-1.6036071199428752	5.202893015757142
15	0	3.0612244897959187	0.0	-0.21845550416525655	-1.0314505272466863	3	-1.6365676692913387	2.019844478439266	0.32892585388154705
16	0	3.2653061224489797	0.0	-0.16401606210233258	-1.068798280052909	3	0.3275087220950086	-2.12500619558592	5.623112138532565
17	0	3.4693877551020407	0.0	-0.1087944776286657	-1.107337133242356	3	-2.6170964633749483	-1.6398080885117357	4.045775169525021
18	0	3.673469387755102	0.0	-0.0528260099777519	-1.1469757604239352	3	1.9657870319554922	0.29168435593324515	3.527895760123484
19	0	3.8775510204081636	0.0	0.003551673708464234	-1.187607321843941	3	0.7899863947323889	-1.7092126915303536	4.977760778873375
20	0	4.081632653061225	0.0	0.05964599861662166	-1.2291097933384467	3	1.5485264405122425	-2.0207598916932774	5.372750578894555
21	0	4.285714285714286	0.0	0.1143850430755879	-1.2713463074907838	3	-0.87284419122079	0.37989745018777343	1.6681559602232077
22	0	4.4897959183673475	0.0	0.16632416760349078	-1.3141655215409582	3	2.824188146369419	-0.7914403740203069	5.85460986703494
23	0	4.6938775510204085	0.0	0.21368460088066019	-1.357402031639473	3	2.3587267279331865	0.7569557150428152	2.3065479237090387
24	0	4.8979591836734695	0.0	0.2544226784024763	-1.4008768571317114	3	1.670300982442571	2.4732320424520573	-0.5108916852757731
25	0	5.1020408163265305	0.0	0.2863263085620036	-1.444398021513873	3	-1.8321677528881946	-2.094041211389594	5.1126842478117736
26	0	5.3061224489795915	0.0	0.30713333204742893	-1.487761258371253	3	-0.19967397763779493	2.480601958878383	-0.16632992182547457
27	0	5.510204081632653	0.0	0.31466486895568935	-1.5307508708912512	3	-2.7371774052766273	2.4149398045375117	-1.155976307685102
28	0	5.714285714285714	0.0	0.3069656160446784	-1.5731407723832358	3	-2.0742630475947132	1.9745255000154174	-0.28892813167268466
29	0	5.918367346938775	0.0	0.28244243656193574	-1.6146957326308546	3	1.0982937194547278	0.7877155038365111	2.512186994920157
30	0	6.122448979591837	0.0	0.23999251549435724	-1.6551728508956285	3	1.468572935446903	0.7208799447932845	4.515077960545359
31	0	6.326530612244898	0.0	0.17911283605520126	-1.694323271079583	3	2.8050583946052603	0.8352759596190094	1.640137950179303
32	0	6.530612244897959	0.0	0.09998373502544679	-1.7318941480811323	3	-1.0450478511710883	1.142973307306879	0.35253642824318465
33	0	6.73469387755102	0.0	0.0035207482479897526	-1.7676308669272478	3	-0.7772417637907867	-2.9011067964230577	7.230199447959023
34	0	6.938775510204081	0.0	-0.10860923215504042	-1.8012795080577422	3	-0.1826651323451527	2.748555474963898	-1.2535001692138326
35	0	7.142857142857143	0.0	-0.2340094173621527	-1.8325895434263786	3	-1.8631718454942858	0.5136225687934788	3.7366099311639402
36	0	7.346938775510204	0.0	-0.3696119678054605	-1.8613167391430996	3	-2.22047096798717	1.6887950364145299	0.5519879702521262
37	0	7.551020408163265	0.0	-0.5117718625619043	-1.8872262315014778	3	-0.1457704426443973	-0.7363089656318209	3.540010680709908
38	0	7.755102040816327	0.0	-0.6563914545562269	-1.910095734710139	3	-1.6385439056946953	-2.9256167165052243	8.75680489194613
39	0	7.959183673469388	0.0	-0.7990696758719672	-1.9297188307676327	3	1.0188839680950625	0.05840795925866349	2.7887818456221543
40	0	8.16326530612245	0.0	-0.9352685347101515	-1.9459082849659026	3	-0.3770884867660156	0.04314071589557367	4.086310708316949
41	0	8.36734693877551	0.0	-1.0604886707172263	-1.9584993247355285	3	1.9960691763470244	-0.37806427013128907	2.22109956541059
42	0	8.571428571428571	0.0	-1.170445350929764	-1.9673528151840596	3	1.2015906120134945	-0.9616976750275397	2.7535418047517863
43	0	8.775510204081632	0.0	-1.261236404642032	-1.9723582619185147	3	-1.1258001517077536	-1.5010434731416678	7.635873086808563
44	0	8.979591836734695	0.0	-1.329494190272448	-1.9734365707322505	3	1.9935588083712066	0.16526924698309653	0.1517811603449942
45	0	9.183673469387756	0.0	-1.3725147093110288	-1.9705424945745638	3	1.828586144980811	-0.7483311618390354	2.2054144295915763
46	0	9.387755102040817	0.0	-1.3883583548393557	-1.9636667009568682	3	-0.6751297258189535	2.8195912982988522	-0.6408438915930444
47	0	9.591836734693878	0.0	-1.3759184086341307	-1.9528373975750792	3	-1.2700313764185354	-1.9624361533984114	8.82573336471916
48	0	9.795918367346939	0.0	-1.3349551727899858	-1.9381214603833727	3	1.0949730238498532	-1.0820065942374781	4.382125217693211
49	0	10.0	0.0	-1.2660954257026031	-1.9196250165241755	3	-2.161485098344141	-1.236237174452574	8.184095178611962
0	1	0.0	0.20408163265306123	-1.041687685515043	-0.5778136043105011	3	-1.80055078514935	0.2598550574157419	5.0434951312698
1	1	0.20408163265306123	0.20408163265306123	-1.0400310843051295	-0.5974269806755782	3	-2.955826381493967	-0.004318458155112559	6.771148328402055
2	1	0.40816326530612246	0.20408163265306123	-1.0256213415770794	-0.6177376020929115	3	1.7215462650128304	0.8624427925456386	-0.9012893343601598
3	1	0.6122448979591837	0.20408163265306123	-1.0002458115750459	-0.6388954382900983	3	0.9891051395521928	2.7000106234452472	-0.0660110816914366
4	1	0.8163265306122449	0.20408163265306123	-0.9658350528234665	-0.6610376691128019	3	1.2309922717580104	-1.2886734870367957	2.145516312577518
5	1	1.0204081632653061	0.20408163265306123	-0.9243387052753649	-0.6842871214520622	3	1.684374186131807	1.156629415529979	-0.05116450081578727
6	1	1.2244897959183674	0.20408163265306123	-0.8776086766300685	-0.7087510164472005	3	-0.24650534676996028	-2.849758781968898	4.933448188161462
7	1	1.4285714285714286	0.20408163265306123	-0.827297587672486	-0.7345200107674653	3	0.41244717571736267	-1.4256691635982528	5.350401418241563
8	1	1.6326530612244898	0.20408163265306123	-0.7747792161593897	-0.7616675091881552	3	-2.1612180112340553	-0.21768163202044333	3.887853595887932
9	1	1.836734693877551	0.20408163265306123	-0.7210960181578187	-0.7902492205127588	3	-2.3128195587841596	-2.814031269113193	7.9566571815226395
10	1	2.0408163265306123	0.20408163265306123	-0.6669368121630875	-0.8203029252545987	3	1.01041777074283	0.7060167633218333	-0.10418917198122535
11	1	2.2448979591836737	0.20408163265306123	-0.6126455235183546	-0.8518484214287277	3	-0.17342276314120486	1.069863650410249	1.8265114847843438
12	1	2.4489795918367347	0.20408163265306123	-0.5582596552215074	-0.8848876143129674	3	0.39141663888713296	1.4803902890282803	1.6505372226320947
13	1	2.6530612244897958	0.20408163265306123	-0.5035750283764195	-0.9194047170584463	3	1.5899931444961535	0.09944702905807379	2.7527316540238016
14	1	2.857142857142857	0.20408163265306123	-0.448231464965524	-0.9553665314577515	3	0.8083099200035448	0.6236679898717599	2.8242077739177747
15	1	3.0612244897959187	0.20408163265306123	-0.3918125927730205	-0.9927227818598641	3	0.32147640394797516	-0.6236084923290766	4.365793812670072
16	1	3.2653061224489797	0.20408163265306123	-0.33395193625124475	-1.0314064799628155	3	0.35524296447248105	-2.752481804960625	5.336695914317636
