u	v	spatial_x	spatial_y	a1_list	a2_list	b_list	feat1	feat2	y
0	0	0.0	0.0	-1.0	-2.0	3	2.804796513424794	1.701356640437652	-2.543817649869804
1	0	0.20408163265306123	0.0	-1.0	-2.0	3	2.97961885287361	2.3564796585007004	-4.393881851464975
2	0	0.40816326530612246	0.0	-1.0	-2.0	3	2.954958768384382	2.7319117281489675	-4.208380197536511
3	0	0.6122448979591837	0.0	-1.0	-2.0	3	2.6584142807936213	2.732780698452121	-4.542631550599758
4	0	0.8163265306122449	0.0	-1.0	-2.0	3	2.077718706441658	2.378758361110525	-2.3739652037213443
5	0	1.0204081632653061	0.0	-1.0	-2.0	3	1.2745385807548417	1.762407652310688	-0.6960454733998351
6	0	1.2244897959183674	0.0	-1.0	-2.0	3	0.36854155263396676	1.0036818993288863	2.4501351919926115
7	0	1.4285714285714286	0.0	-1.0	-2.0	3	-0.49944814875469606	0.22942226510764152	3.471158919226918
8	0	1.6326530612244898	0.0	-1.0	-2.0	3	-1.2102532282064642	-0.4322938492783873	6.1611522085559844
9	0	1.836734693877551	0.0	-1.0	-2.0	3	-1.7004466356708423	-0.8724976171091509	6.076889382186202
10	0	2.0408163265306123	0.0	-1.0	-2.0	3	-1.975611987383808	-1.045840068566363	6.3455391506457275
11	0	2.2448979591836737	0.0	-1.0	-2.0	3	-2.0951618411208432	-1.0096141366692062	9.162511282962024
12	0	2.4489795918367347	0.0	-1.0	-2.0	3	-2.131174215521116	-0.9114438204948944	7.213507468098131
13	0	2.6530612244897958	0.0	-1.0	-2.0	3	-2.119104556616744	-0.9100272284909997	7.905015692633598
14	0	2.857142857142857	0.0	-1.0	-2.0	3	-2.02977024981907	-1.0700183782250887	7.318295023562915
15	0	3.0612244897959187	0.0	-1.0	-2.0	3	-1.786554077975026	-1.3062252247760324	6.6951857464231335
16	0	3.2653061224489797	0.0	-1.0	-2.0	3	-1.3255062734222691	-1.42820734245235	7.195100429425851
17	0	3.4693877551020407	0.0	-1.0	-2.0	3	-0.6632103215912816	-1.265792804533265	7.917988751979069
18	0	3.673469387755102	0.0	-1.0	-2.0	3	0.07669761041009604	-0.7921856866314453	5.173961851988103
19	0	3.8775510204081636	0.0	1.0	3.0	3	0.7063467269137004	-0.15649336045774662	1.18309885386391
20	0	4.081632653061225	0.0	1.0	3.0	3	1.0673516243906667	0.40070909614776434	5.011185564942574
21	0	4.285714285714286	0.0	1.0	3.0	3	1.117847029060224	0.6918044754052453	8.332013006521613
22	0	4.4897959183673475	0.0	1.0	3.0	3	0.9546881467224574	0.6873979295211752	5.760325701066035
23	0	4.6938775510204085	0.0	1.0	3.0	3	0.7544301482650368	0.5133619420607697	3.13394154436633
24	0	4.8979591836734695	0.0	1.0	3.0	3	0.6713707914046834	0.3488799607390044	6.989669336128749
25	0	5.1020408163265305	0.0	1.0	3.0	3	0.7579249989250888	0.3022076932413327	5.483419090424438
26	0	5.3061224489795915	0.0	1.0	3.0	3	0.9526026694683186	0.3499492207703871	4.91843490120412
27	0	5.510204081632653	0.0	1.0	3.0	3	1.1314879718523352	0.37453865789110663	4.809402662227173
28	0	5.714285714285714	0.0	1.0	3.0	3	1.1797765024521587	0.26474473801167064	6.272833032237253
29	0	5.918367346938775	0.0	1.0	3.0	3	1.0386507729052632	0.005544497758160183	3.4049041859083125
