u	v	spatial_x	spatial_y	a1_list	a2_list	b_list	feat1	feat2	y
0	0	0.0	0.0	-1.0	-1.0	3	2.804796513424794	1.701356640437652	-1.7383100377794032
1	0	0.20408163265306123	0.0	-1.0	-1.0	3	2.97961885287361	2.3564796585007004	-2.605635813086763
2	0	0.40816326530612246	0.0	-1.0	-1.0	3	2.954958768384382	2.7319117281489675	-3.3138644177882512
3	0	0.6122448979591837	0.0	-1.0	-1.0	3	2.6584142807936213	2.732780698452121	-2.0055603434554925
4	0	0.8163265306122449	0.0	-1.0	-1.0	3	2.077718706441658	2.378758361110525	-1.2452954986178997
5	0	1.0204081632653061	0.0	-1.0	-1.0	3	1.2745385807548417	1.762407652310688	-1.4685309615080062
6	0	1.2244897959183674	0.0	-1.0	-1.0	3	0.36854155263396676	1.0036818993288863	0.14140315232172496
7	0	1.4285714285714286	0.0	-1.0	-1.0	3	-0.49944814875469606	0.22942226510764152	3.6522418915322334
8	0	1.6326530612244898	0.0	-1.0	-1.0	3	-1.2102532282064642	-0.4322938492783873	3.9087892915697697
9	0	1.836734693877551	0.0	-1.0	-1.0	3	-1.7004466356708423	-0.8724976171091509	5.844781292370285
10	0	2.0408163265306123	0.0	-1.0	-1.0	3	-1.975611987383808	-1.045840068566363	6.724290476248441
11	0	2.2448979591836737	0.0	-1.0	-1.0	3	-2.0951618411208432	-1.0096141366692062	4.960918424125047
12	0	2.4489795918367347	0.0	-1.0	-1.0	3	-2.131174215521116	-0.9114438204948944	4.772234506897444
13	0	2.6530612244897958	0.0	-1.0	-1.0	3	-2.119104556616744	-0.9100272284909997	7.5361202992635095
14	0	2.857142857142857	0.0	-1.0	-1.0	3	-2.02977024981907	-1.0700183782250887	6.416202332710372
15	0	3.0612244897959187	0.0	-1.0	-2.0	3	-1.786554077975026	-1.3062252247760324	7.021687936521147
16	0	3.2653061224489797	0.0	-1.0	-2.0	3	-1.3255062734222691	-1.42820734245235	6.341374550945332
17	0	3.4693877551020407	0.0	-1.0	-2.0	3	-0.6632103215912816	-1.265792804533265	5.73539916664126
