u	v	spatial_x	spatial_y	a1_list	a2_list	b_list	feat1	feat2	y
0	0	0.0	0.0	-3.0	2.0	3.0	2.804796513424794	1.701356640437652	-0.9124287908205422
1	0	0.20408163265306123	0.0	-3.0	2.0	3.0	2.97961885287361	2.3564796585007004	-0.2536573223332429
2	0	0.40816326530612246	0.0	-3.0	2.0	3.0	2.954958768384382	2.7319117281489675	-0.31851447690369095
3	0	0.6122448979591837	0.0	-3.0	2.0	3.0	2.6584142807936213	2.732780698452121	1.8993700632334196
4	0	0.8163265306122449	0.0	-3.0	2.0	3.0	2.077718706441658	2.378758361110525	2.1087472807111327
5	0	1.0204081632653061	0.0	-3.0	2.0	3.0	1.2745385807548417	1.762407652310688	1.627083983752803
6	0	1.2244897959183674	0.0	-3.0	2.0	3.0	0.36854155263396676	1.0036818993288863	4.362677620858996
7	0	1.4285714285714286	0.0	-3.0	2.0	3.0	-0.49944814875469606	0.22942226510764152	3.758585725443123
8	0	1.6326530612244898	0.0	-3.0	2.0	3.0	-1.2102532282064642	-0.4322938492783873	6.8642348626967085
9	0	1.836734693877551	0.0	-3.0	2.0	3.0	-1.7004466356708423	-0.8724976171091509	6.293937284061409
10	0	2.0408163265306123	0.0	-3.0	2.0	3.0	-1.975611987383808	-1.045840068566363	6.604077870587123
11	0	2.2448979591836737	0.0	-3.0	2.0	3.0	-2.0951618411208432	-1.0096141366692062	6.415095319519191
12	0	2.4489795918367347	0.0	2.0	-1.5	3.0	-2.131174215521116	-0.9114438204948944	1.6329939730426468
13	0	2.6530612244897958	0.0	2.0	-1.5	3.0	-2.119104556616744	-0.9100272284909997	-0.06633012308299077
14	0	2.857142857142857	0.0	2.0	-1.5	3.0	-2.02977024981907	-1.0700183782250887	0.010077289995609195
15	0	3.0612244897959187	0.0	2.0	-1.5	3.0	-1.786554077975026	-1.3062252247760324	0.9460627431037097
16	0	3.2653061224489797	0.0	2.0	-1.5	3.0	-1.3255062734222691	-1.42820734245235	3.156684948775673
17	0	3.4693877551020407	0.0	2.0	-1.5	3.0	-0.6632103215912816	-1.265792804533265	4.029073644072432
18	0	3.673469387755102	0.0	2.0	-1.5	3.0	0.07669761041009604	-0.7921856866314453	4.857589515262345
19	0	3.8775510204081636	0.0	2.0	-1.5	3.0	0.7063467269137004	-0.15649336045774662	5.1859597482738735
20	0	4.081632653061225	0.0	2.0	-1.5	3.0	1.0673516243906667	0.40070909614776434	7.210699105647763
21	0	4.285714285714286	0.0	2.0	-1.5	3.0	1.117847029060224	0.6918044754052453	3.68996857453181
22	0	4.4897959183673475	0.0	2.0	-1.5	3.0	0.9546881467224574	0.6873979295211752	3.237975987823731
23	0	4.6938775510204085	0.0	2.0	-1.5	3.0	0.7544301482650368	0.5133619420607697	2.7216014731290716
24	0	4.8979591836734695	0.0	2.0	-1.5	3.0	0.6713707914046834	0.3488799607390044	4.589395919920229
25	0	5.1020408163265305	0.0	2.0	-1.5	3.0	0.7579249989250888	0.3022076932413327	5.473753823889293
26	0	5.3061224489795915	0.0	2.0	-1.5	3.0	0.9526026694683186	0.3499492207703871	4.237847185712463
27	0	5.510204081632653	0.0	2.0	-1.5	3.0	1.1314879718523352	0.37453865789110663	3.6509723606648503
28	0	5.714285714285714	0.0	2.0	-1.5	3.0	1.1797765024521587	0.26474473801167064	3.931834378272762
29	0	5.918367346938775	0.0	2.0	-1.5	3.0	1.0386507729052632	0.005544497758160183	5.882225783954162
30	0	6.122448979591837	0.0	2.0	-1.5	3.0	0.7137487138687328	-0.30122950809951904	5.808409403891047
31	0	6.326530612244898	0.0	2.0	-1.5	3.0	0.26278283164201527	-0.4929647255171642	4.943955586941271
32	0	6.530612244897959	0.0	2.0	-1.5	3.0	-0.2160370769654722	-0.43814563633611264	2.3932571664623565
33	0	6.73469387755102	0.0	2.0	-1.5	3.0	-0.5942783401606111	-0.10734787022082926	2.262666778843421
34	0	6.938775510204081	0.0	2.0	-1.5	3.0	-0.7402543852904591	0.4131930800115933	1.0455588708276022
35	0	7.142857142857143	0.0	2.0	-1.5	3.0	-0.5715848742608779	0.9653172644223794	0.6822151007559414
36	0	7.346938775510204	0.0	2.0	-1.5	3.0	-0.11033581815193043	1.39077854605316	1.7824465170516361
37	0	7.551020408163265	0.0	2.0	-1.5	3.0	0.5043842962250165	1.593635067694958	1.8978104268759488
38	0	7.755102040816327	0.0	2.0	-1.5	3.0	1.0741848220775525	1.5665519985123821	3.6471836002264006
39	0	7.959183673469388	0.0	2.0	-1.5	3.0	1.4456441356490544	1.3747870167768272	3.913581582993982
40	0	8.16326530612245	0.0	2.0	-1.5	3.0	1.5922965298597995	1.1113479945882894	4.878970316199646
41	0	8.36734693877551	0.0	2.0	-1.5	3.0	1.610904647315988	0.8487719603651519	5.737761636382423
42	0	8.571428571428571	0.0	2.0	-1.5	3.0	1.6288474627290312	0.6131608520094477	3.516508872624308
43	0	8.775510204081632	0.0	2.0	-1.5	3.0	1.6906486804915082	0.3937303154339562	5.391112867385456
44	0	8.979591836734695	0.0	2.0	-1.5	3.0	1.7141831273633394	0.18044226352950893	5.569737041566421
45	0	9.183673469387756	0.0	2.0	-1.5	3.0	1.5567448877031622	0.003374881477680447	5.309830142885627
46	0	9.387755102040817	0.0	2.0	-1.5	3.0	1.143695494219835	-0.05752047223848711	5.029743882764046
47	0	9.591836734693878	0.0	2.0	-1.5	3.0	0.5577829548730676	0.0916972342596796	5.846696697399611
48	0	9.795918367346939	0.0	2.0	-1.5	3.0	0.012521344465925208	0.4911516205803939	1.2060263634447053
49	0	10.0	0.0	2.0	-1.5	3.0	-0.2784145318969277	1.0678377570628266	2.0517622438512557
0	1	0.0	0.20408163265306123	-3.0	2.0	3.0	2.5703650800039344	1.4590350677200852	-3.896612319091388
1	1	0.20408163265306123	0.20408163265306123	-3.0	2.0	3.0	2.7802676591718685	2.169820270483208	-1.4197687240314072
2	1	0.40816326530612246	0.20408163265306123	-3.0	2.0	3.0	2.796336311525507	2.562620351085073	-0.06032690102511695
3	1	0.6122448979591837	0.20408163265306123	-3.0	2.0	3.0	2.5474225424875803	2.5569250117450975	1.2043603102265519
4	1	0.8163265306122449	0.20408163265306123	-3.0	2.0	3.0	2.001043593160213	2.200041004993321	2.285984455247072
5	1	1.0204081632653061	0.20408163265306123	-3.0	2.0	3.0	1.1924461680306149	1.6073704317333835	3.6290864033748287
6	1	1.2244897959183674	0.20408163265306123	-3.0	2.0	3.0	0.23369015108902885	0.9060922887618004	3.675207783945967
7	1	1.4285714285714286	0.20408163265306123	-3.0	2.0	3.0	-0.7114569792651535	0.2157075332433309	4.987846263451413
8	1	1.6326530612244898	0.20408163265306123	-3.0	2.0	3.0	-1.4833175046862201	-0.34900166996309234	7.824419025703918
9	1	1.836734693877551	0.20408163265306123	-3.0	2.0	3.0	-1.987894633840286	-0.6902509274930533	7.344051640432733
10	1	2.0408163265306123	0.20408163265306123	-3.0	2.0	3.0	-2.229428801038648	-0.7694281219250543	6.554822255093432
11	1	2.2448979591836737	0.20408163265306123	-3.0	2.0	3.0	-2.291235928732318	-0.6487342995997059	7.159630169493191
12	1	2.4489795918367347	0.20408163265306123	-3.0	2.0	3.0	-2.272666333585495	-0.4818932388172571	7.704897165619957
13	1	2.6530612244897958	0.20408163265306123	2.0	-1.5	3.0	-2.2203068403272797	-0.434612941825562	-0.16724333784901124
14	1	2.857142857142857	0.20408163265306123	2.0	-1.5	3.0	-2.099371117344239	-0.5760163872205639	-0.15668548376942543
15	1	3.0612244897959187	0.20408163265306123	2.0	-1.5	3.0	-1.8273664570193602	-0.8194978013051908	1.4376204805037758
16	1	3.2653061224489797	0.20408163265306123	2.0	-1.5	3.0	-1.3498037373984	-0.9673421428032642	1.2173399314874285
17	1	3.4693877551020407	0.20408163265306123	2.0	-1.5	3.0	-0.7058245958799758	-0.8400827355769009	3.046649525451292
18	1	3.673469387755102	0.20408163265306123	2.0	-1.5	3.0	-0.034599946813633556	-0.4046303920274235	4.31973368687304
19	1	3.8775510204081636	0.20408163265306123	2.0	-1.5	3.0	0.48803356224574884	0.1906119006682293	3.303466098838856
20	1	4.081632653061225	0.20408163265306123	2.0	-1.5	3.0	0.7447328075464736	0.7018613146012758	4.007642690137798
21	1	4.285714285714286	0.20408163265306123	2.0	-1.5	3.0	0.7419172084549182	0.9389528045630555	2.247997783731939
22	1	4.4897959183673475	0.20408163265306123	2.0	-1.5	3.0	0.602335410640991	0.8743900193822299	2.439268484002298
23	1	4.6938775510204085	0.20408163265306123	2.0	-1.5	3.0	0.4904681912550254	0.6400443150915067	2.543697542374879
24	1	4.8979591836734695	0.20408163265306123	2.0	-1.5	3.0	0.5194698265169551	0.4204185120429597	1.913512327983171
25	1	5.1020408163265305	0.20408163265306123	2.0	-1.5	3.0	0.6963066590241194	0.3227563967504709	4.517194323904509
26	1	5.3061224489795915	0.20408163265306123	2.0	-1.5	3.0	0.9315970664427156	0.3151275578673195	3.8037498708310467
27	1	5.510204081632653	0.20408163265306123	2.0	-1.5	3.0	1.0974422652065021	0.27018998240604825	4.805217205213541
28	1	5.714285714285714	0.20408163265306123	2.0	-1.5	3.0	1.092151112363596	0.07682586715931988	5.669996747620599
29	1	5.918367346938775	0.20408163265306123	2.0	-1.5	3.0	0.8786617769299518	-0.26180192425135124	5.70819041027436
30	1	6.122448979591837	0.20408163265306123	2.0	-1.5	3.0	0.49022863809458894	-0.6103976486418282	5.727785135367903
31	1	6.326530612244898	0.20408163265306123	2.0	-1.5	3.0	0.01687103686811455	-0.7731144086831573	4.070306831124186
32	1	6.530612244897959	0.20408163265306123	2.0	-1.5	3.0	-0.415013675412006	-0.6060459999398821	2.5499187590306187
33	1	6.73469387755102	0.20408163265306123	2.0	-1.5	3.0	-0.6708331127990966	-0.10081810060823543	1.709913161681161
34	1	6.938775510204081	0.20408163265306123	2.0	-1.5	3.0	-0.6496229401534274	0.6069408332836784	-1.3188251726799098
35	1	7.142857142857143	0.20408163265306123	2.0	-1.5	3.0	-0.33156144098221285	1.3026099186827702	-1.4259283505174403
36	1	7.346938775510204	0.20408163265306123	2.0	-1.5	3.0	0.19664056115597928	1.7891154041409165	-0.9437664993424186
37	1	7.551020408163265	0.20408163265306123	2.0	-1.5	3.0	0.76766437208789	1.9621601753255116	0.3455299466856603
38	1	7.755102040816327	0.20408163265306123	2.0	-1.5	3.0	1.2113560492956652	1.8309852208036586	3.175952050790138
39	1	7.959183673469388	0.20408163265306123	2.0	-1.5	3.0	1.443332176107808	1.4856307758508263	2.5263693692393003
40	1	8.16326530612245	0.20408163265306123	2.0	-1.5	3.0	1.5042416645032393	1.03917417844845	3.9770188687845662
41	1	8.36734693877551	0.20408163265306123	2.0	-1.5	3.0	1.5158928953251707	0.5806402144905874	6.784860841147042
42	1	8.571428571428571	0.20408163265306123	2.0	-1.5	3.0	1.5793982912033733	0.16077822698446764	5.4722992781032636
43	1	8.775510204081632	0.20408163265306123	2.0	-1.5	3.0	1.6882127725819063	-0.19064617943157047	7.584289274895027
44	1	8.979591836734695	0.20408163265306123	2.0	-1.5	3.0	1.7245872877421007	-0.43663242660902546	5.937101115385394
45	1	9.183673469387756	0.20408163265306123	2.0	-1.5	3.0	1.5489244631922459	-0.5192877635517239	6.61998362437754
46	1	9.387755102040817	0.20408163265306123	2.0	-1.5	3.0	1.1197950220462418	-0.3755612240562674	4.615404311538659
47	1	9.591836734693878	0.20408163265306123	2.0	-1.5	3.0	0.5538158097576337	0.02214300111830328	3.6506257729621097
48	1	9.795918367346939	0.20408163265306123	2.0	-1.5	3.0	0.0744196159847185	0.6224737813755706	3.2655137317278253
49	1	10.0	0.20408163265306123	2.0	-1.5	3.0	-0.12070098511119988	1.2773553914496092	-1.3165855863872493
0	2	0.0	0.40816326530612246	-3.0	2.0	3.0	2.1039580979067827	0.941536736822788	-0.8857712656424498
1	2	0.20408163265306123	0.40816326530612246	-3.0	2.0	3.0	2.3440853739873826	1.736076263919022	-0.2629340912087561
2	2	0.40816326530612246	0.40816326530612246	-3.0	2.0	3.0	2.397696682643246	2.188821969327067	-0.5581335538965972
3	2	0.6122448979591837	0.40816326530612246	-3.0	2.0	3.0	2.203951571189859	2.239821741048869	-0.9397835494574072
4	2	0.8163265306122449	0.40816326530612246	-3.0	2.0	3.0	1.7231114443578823	1.961753611209816	1.8443347739883218
5	2	1.0204081632653061	0.40816326530612246	-3.0	2.0	3.0	0.975379156366297	1.4826613829873714	2.3773194105460984
6	2	1.2244897959183674	0.40816326530612246	-3.0	2.0	3.0	0.06588228108387079	0.9209491364676241	4.935096693877016
7	2	1.4285714285714286	0.40816326530612246	-3.0	2.0	3.0	-0.8349760292074981	0.3705157580868974	6.273274785700593
8	2	1.6326530612244898	0.40816326530612246	-3.0	2.0	3.0	-1.5570575011379209	-0.08201420266116088	9.509367712242586
9	2	1.836734693877551	0.40816326530612246	-3.0	2.0	3.0	-2.0061908826281427	-0.354585127752	8.010207858039147
10	2	2.0408163265306123	0.40816326530612246	-3.0	2.0	3.0	-2.2000534758578314	-0.40500699478605134	7.510774572224059
11	2	2.2448979591836737	0.40816326530612246	-3.0	2.0	3.0	-2.2372799410339725	-0.2773776196010794	9.381179127595155
12	2	2.4489795918367347	0.40816326530612246	-3.0	2.0	3.0	-2.2188383517297154	-0.10564403111783116	9.720222847918189
13	2	2.6530612244897958	0.40816326530612246	2.0	-1.5	3.0	-2.1759621870292314	-0.046612026821792996	0.41697813522477256
14	2	2.857142857142857	0.40816326530612246	2.0	-1.5	3.0	-2.0558720712151857	-0.17571069821184948	0.1957109622806259
15	2	3.0612244897959187	0.40816326530612246	2.0	-1.5	3.0	-1.7755809229471313	-0.4215778958646757	0.5272938218396378
16	2	3.2653061224489797	0.40816326530612246	2.0	-1.5	3.0	-1.304426733296465	-0.5985570601508096	3.1181107376577364
17	2	3.4693877551020407	0.40816326530612246	2.0	-1.5	3.0	-0.7141240035062845	-0.526816186198507	0.876022454381628
18	2	3.673469387755102	0.40816326530612246	2.0	-1.5	3.0	-0.15746973846001652	-0.16071328425350823	2.1264410335230446
19	2	3.8775510204081636	0.40816326530612246	2.0	-1.5	3.0	0.21272436002993575	0.36681004638722386	1.7170137237221295
20	2	4.081632653061225	0.40816326530612246	2.0	-1.5	3.0	0.3308800948119703	0.8193110894734601	1.9455313014690403
21	2	4.285714285714286	0.40816326530612246	2.0	-1.5	3.0	0.25455556725892375	1.0017220065959966	0.28567044017846643
22	2	4.4897959183673475	0.40816326530612246	2.0	-1.5	3.0	0.12698984039045105	0.8753699443250821	2.7348634478112843
23	2	4.6938775510204085	0.40816326530612246	2.0	-1.5	3.0	0.09253982326069898	0.5657351940647449	2.058698484050814
24	2	4.8979591836734695	0.40816326530612246	2.0	-1.5	3.0	0.21848053277402982	0.26264557628303825	1.2044848329951798
25	2	5.1020408163265305	0.40816326530612246	2.0	-1.5	3.0	0.4667578428584813	0.08745874106596885	2.532853722608582
26	2	5.3061224489795915	0.40816326530612246	2.0	-1.5	3.0	0.7237396917392068	0.021156087016359487	4.807637562266618
27	2	5.510204081632653	0.40816326530612246	2.0	-1.5	3.0	0.8622440644181661	-0.05985721547403838	5.861932161915367
28	2	5.714285714285714	0.40816326530612246	2.0	-1.5	3.0	0.7994662430904628	-0.27065657815339217	7.500830968025746
29	2	5.918367346938775	0.40816326530612246	2.0	-1.5	3.0	0.5275760538103161	-0.6101438090775602	8.612695903746136
30	2	6.122448979591837	0.40816326530612246	2.0	-1.5	3.0	0.11433824704166143	-0.9349491324097104	5.149111984292884
31	2	6.326530612244898	0.40816326530612246	2.0	-1.5	3.0	-0.31768739464918716	-1.0336609873172609	2.6781940416376866
32	2	6.530612244897959	0.40816326530612246	2.0	-1.5	3.0	-0.6260669542824532	-0.7533671697656725	0.21285899516946571
33	2	6.73469387755102	0.40816326530612246	2.0	-1.5	3.0	-0.693657824256869	-0.09836028845611908	2.094864112100235
34	2	6.938775510204081	0.40816326530612246	2.0	-1.5	3.0	-0.4752886405593662	0.7585647304360524	-0.10460074591071855
35	2	7.142857142857143	0.40816326530612246	2.0	-1.5	3.0	-0.0261922890835904	1.5555994368764905	0.09501969129347687
36	2	7.346938775510204	0.40816326530612246	2.0	-1.5	3.0	0.5107539463048806	2.0618052334745967	0.16367904357310636
37	2	7.551020408163265	0.40816326530612246	2.0	-1.5	3.0	0.965444338928262	2.1686941138203215	1.5018588991055601
38	2	7.755102040816327	0.40816326530612246	2.0	-1.5	3.0	1.2239505613502604	1.9096666905080344	3.9158763754230237
39	2	7.959183673469388	0.40816326530612246	2.0	-1.5	3.0	1.2867075723395565	1.4113096902394573	3.652761318626608
40	2	8.16326530612245	0.40816326530612246	2.0	-1.5	3.0	1.2600719093667208	0.8187609938565681	4.0937087816502284
41	2	8.36734693877551	0.40816326530612246	2.0	-1.5	3.0	1.2794602369722008	0.24309776010659298	3.899706642752248
