u	v	spatial_x	spatial_y	a1_list	a2_list	b_list	feat1	feat2	y
0	0	0.0	0.0	-3.0	2.0	3.0	1.64373629133578	-2.796733229144661	-5.5460298888552995
1	0	0.20408163265306123	0.0	-3.0	2.0	3.0	-0.3667293614876863	1.0980897386939867	8.046399416566166
2	0	0.40816326530612246	0.0	-3.0	2.0	3.0	2.151587519468295	2.702977618816236	2.099761748740323
3	0	0.6122448979591837	0.0	-3.0	2.0	3.0	1.1842081743561836	1.9749029420745021	5.933474076758527
4	0	0.8163265306122449	0.0	-3.0	2.0	3.0	-2.434935912674103	-1.3368111587367613	8.683081440615888
5	0	1.0204081632653061	0.0	-3.0	2.0	3.0	2.853734109820536	-2.680049490399956	-12.854709351748806
6	0	1.2244897959183674	0.0	-3.0	2.0	3.0	1.5668382119421178	2.642108475229083	4.413391578817436
7	0	1.4285714285714286	0.0	-3.0	2.0	3.0	1.7163858316617233	2.622376349278209	0.9381093517060006
8	0	1.6326530612244898	0.0	-3.0	2.0	3.0	-2.2313182039467248	0.19449191827721624	12.05945162633597
9	0	1.836734693877551	0.0	-3.0	2.0	3.0	-0.2976843726265974	0.8539044700292107	5.488528758219145
10	0	2.0408163265306123	0.0	-3.0	2.0	3.0	-0.7752118546045126	-0.22439963573515032	4.460895974366401
11	0	2.2448979591836737	0.0	-3.0	2.0	3.0	2.5605899330916113	-0.481407797407448	-7.176676868998599
12	0	2.4489795918367347	0.0	2.0	-1.5	3.0	0.8631907204839875	-2.283309384427798	10.90206352962624
13	0	2.6530612244897958	0.0	2.0	-1.5	3.0	1.9365696796249798	-2.419482609833424	10.154671939345292
14	0	2.857142857142857	0.0	2.0	-1.5	3.0	-0.33951480703601344	-1.6036071199428752	3.762643465975295
15	0	3.0612244897959187	0.0	2.0	-1.5	3.0	-1.6365676692913387	2.019844478439266	-4.095202544840093
16	0	3.2653061224489797	0.0	2.0	-1.5	3.0	0.3275087220950086	-2.12500619558592	8.04022240506393
17	0	3.4693877551020407	0.0	2.0	-1.5	3.0	-2.6170964633749483	-1.6398080885117357	1.0477683508368834
18	0	3.673469387755102	0.0	2.0	-1.5	3.0	1.9657870319554922	0.29168435593324515	7.42269590610209
19	0	3.8775510204081636	0.0	2.0	-1.5	3.0	0.7899863947323889	-1.7092126915303536	8.113139083528045
20	0	4.081632653061225	0.0	2.0	-1.5	3.0	1.5485264405122425	-2.0207598916932774	13.946899820522939
21	0	4.285714285714286	0.0	2.0	-1.5	3.0	-0.87284419122079	0.37989745018777343	-0.22996834458862547
22	0	4.4897959183673475	0.0	2.0	-1.5	3.0	2.824188146369419	-0.7914403740203069	8.68299071335834
23	0	4.6938775510204085	0.0	2.0	-1.5	3.0	2.3587267279331865	0.7569557150428152	4.751031244744425
24	0	4.8979591836734695	0.0	2.0	-1.5	3.0	1.670300982442571	2.4732320424520573	4.0167076020019215
25	0	5.1020408163265305	0.0	2.0	-1.5	3.0	-1.8321677528881946	-2.094041211389594	5.016913969930008
26	0	5.3061224489795915	0.0	2.0	-1.5	3.0	-0.19967397763779493	2.480601958878383	-1.3766326733166332
27	0	5.510204081632653	0.0	2.0	-1.5	3.0	-2.7371774052766273	2.4149398045375117	-7.987116590525211
28	0	5.714285714285714	0.0	2.0	-1.5	3.0	-2.0742630475947132	1.9745255000154174	-5.965397080517842
29	0	5.918367346938775	0.0	2.0	-1.5	3.0	1.0982937194547278	0.7877155038365111	5.478847955760266
30	0	6.122448979591837	0.0	2.0	-1.5	3.0	1.468572935446903	0.7208799447932845	6.528147838911625
31	0	6.326530612244898	0.0	2.0	-1.5	3.0	2.8050583946052603	0.8352759596190094	8.579299953468695
32	0	6.530612244897959	0.0	2.0	-1.5	3.0	-1.0450478511710883	1.142973307306879	-2.3019525047020575
33	0	6.73469387755102	0.0	2.0	-1.5	3.0	-0.7772417637907867	-2.9011067964230577	6.319539643953132
34	0	6.938775510204081	0.0	2.0	-1.5	3.0	-0.1826651323451527	2.748555474963898	-1.2256204065695144
35	0	7.142857142857143	0.0	2.0	-1.5	3.0	-1.8631718454942858	0.5136225687934788	-1.0047282015385108
36	0	7.346938775510204	0.0	2.0	-1.5	3.0	-2.22047096798717	1.6887950364145299	-2.0134197402127083
37	0	7.551020408163265	0.0	2.0	-1.5	3.0	-0.1457704426443973	-0.7363089656318209	4.3160125479019715
38	0	7.755102040816327	0.0	2.0	-1.5	3.0	-1.6385439056946953	-2.9256167165052243	5.63889278028021
39	0	7.959183673469388	0.0	2.0	-1.5	3.0	1.0188839680950625	0.05840795925866349	5.102208903652135
40	0	8.16326530612245	0.0	2.0	-1.5	3.0	-0.3770884867660156	0.04314071589557367	2.8316305996770725
41	0	8.36734693877551	0.0	2.0	-1.5	3.0	1.9960691763470244	-0.37806427013128907	8.979633266027697
42	0	8.571428571428571	0.0	2.0	-1.5	3.0	1.2015906120134945	-0.9616976750275397	3.5671271418930486
43	0	8.775510204081632	0.0	2.0	-1.5	3.0	-1.1258001517077536	-1.5010434731416678	2.2807046694930664
44	0	8.979591836734695	0.0	2.0	-1.5	3.0	1.9935588083712066	0.16526924698309653	5.680875274108979
45	0	9.183673469387756	0.0	2.0	-1.5	3.0	1.828586144980811	-0.7483311618390354	6.342193874172656
46	0	9.387755102040817	0.0	2.0	-1.5	3.0	-0.6751297258189535	2.8195912982988522	-3.1987164643462234
47	0	9.591836734693878	0.0	2.0	-1.5	3.0	-1.2700313764185354	-1.9624361533984114	6.767209427537937
48	0	9.795918367346939	0.0	2.0	-1.5	3.0	1.0949730238498532	-1.0820065942374781	4.8648359287461265
49	0	10.0	0.0	2.0	-1.5	3.0	-2.161485098344141	-1.236237174452574	2.7100118628214105
0	1	0.0	0.20408163265306123	-3.0	2.0	3.0	-1.80055078514935	0.2598550574157419	5.134905484143973
1	1	0.20408163265306123	0.20408163265306123	-3.0	2.0	3.0	-2.955826381493967	-0.004318458155112559	11.105350910703683
2	1	0.40816326530612246	0.20408163265306123	-3.0	2.0	3.0	1.7215462650128304	0.8624427925456386	-0.07355881346095133
3	1	0.6122448979591837	0.20408163265306123	-3.0	2.0	3.0	0.9891051395521928	2.7000106234452472	6.751706073792292
4	1	0.8163265306122449	0.20408163265306123	-3.0	2.0	3.0	1.2309922717580104	-1.2886734870367957	-1.6700639848136993
5	1	1.0204081632653061	0.20408163265306123	-3.0	2.0	3.0	1.684374186131807	1.156629415529979	2.045167551864369
6	1	1.2244897959183674	0.20408163265306123	-3.0	2.0	3.0	-0.24650534676996028	-2.849758781968898	-2.7446329361868997
7	1	1.4285714285714286	0.20408163265306123	-3.0	2.0	3.0	0.41244717571736267	-1.4256691635982528	-2.12897138784387
8	1	1.6326530612244898	0.20408163265306123	-3.0	2.0	3.0	-2.1612180112340553	-0.21768163202044333	10.978736502489875
9	1	1.836734693877551	0.20408163265306123	-3.0	2.0	3.0	-2.3128195587841596	-2.814031269113193	3.879961407142459
10	1	2.0408163265306123	0.20408163265306123	-3.0	2.0	3.0	1.01041777074283	0.7060167633218333	-1.4895140130951474
11	1	2.2448979591836737	0.20408163265306123	-3.0	2.0	3.0	-0.17342276314120486	1.069863650410249	3.110099358736281
12	1	2.4489795918367347	0.20408163265306123	-3.0	2.0	3.0	0.39141663888713296	1.4803902890282803	2.7177630178915364
13	1	2.6530612244897958	0.20408163265306123	2.0	-1.5	3.0	1.5899931444961535	0.09944702905807379	7.149427419526165
14	1	2.857142857142857	0.20408163265306123	2.0	-1.5	3.0	0.8083099200035448	0.6236679898717599	4.001575761358222
15	1	3.0612244897959187	0.20408163265306123	2.0	-1.5	3.0	0.32147640394797516	-0.6236084923290766	6.131957593042044
16	1	3.2653061224489797	0.20408163265306123	2.0	-1.5	3.0	0.35524296447248105	-2.752481804960625	6.877890182128698
