u	v	spatial_x	spatial_y	a1_list	a2_list	b_list	feat1	feat2	y	a1_result	a2_result	b_result
0	0	0.0	0.0	-0.8864204081540411	-0.6256702664596951	3	1.64373629133578	-2.796733229144661	3.627980218162026	-1.501348217753123	-0.31716932832627864	2.8812163284003964
1	0	0.2040816326530612	0.0	-0.8808325358218935	-0.645477543432947	3	-0.3667293614876863	1.0980897386939867	1.4702523695738758	-1.501348217753123	-0.31716932832627864	2.8812163284003964
2	0	0.4081632653061224	0.0	-0.8629678929597416	-0.6658569185975284	3	2.151587519468295	2.702977618816236	0.1689490188900074	-1.501348217753123	-0.31716932832627864	2.8812163284003964
3	0	0.6122448979591837	0.0	-0.8345231719021124	-0.6869583678756472	3	1.1842081743561836	1.974902942074502	1.6896959243738894	-1.501348217753123	-0.31716932832627864	2.8812163284003964
4	0	0.8163265306122449	0.0	-0.7973620406423946	-0.7089199904051459	3	-2.434935912674103	-1.3368111587367613	3.7430789144692103	-1.501348217753123	-0.31716932832627864	2.8812163284003964
5	0	1.020408163265306	0.0	-0.7533937066610888	-0.7318664043297851	3	2.853734109820536	-2.680049490399956	1.3790554075934622	-1.501348217753123	-0.31716932832627864	2.8812163284003964
6	0	1.2244897959183674	0.0	-0.7044569006429222	-0.7559074470895812	3	1.5668382119421178	2.642108475229083	0.0396649804462089	-1.501348217753123	-0.31716932832627864	2.8812163284003964
7	0	1.4285714285714286	0.0	-0.6522173015740033	-0.7811371650488222	3	1.716385831661723	2.622376349278209	-0.5157590143304613	-0.2876455409792533	-1.0999011175775402	3.104117544455397
8	0	1.6326530612244898	0.0	-0.5980853217241383	-0.8076330706582424	3	-2.2313182039467248	0.1944919182772162	4.158959287445246	-0.2876455409792533	-1.0999011175775402	3.104117544455397
9	0	1.836734693877551	0.0	-0.5431595992130909	-0.835455640113325	3	-0.2976843726265974	0.8539044700292107	1.5099424985930412	-0.2876455409792533	-1.0999011175775402	3.104117544455397
10	0	2.0408163265306123	0.0	-0.4881996195158187	-0.8646480207490675	3	-0.7752118546045126	-0.2243996357351503	4.539822605706396	-0.2876455409792533	-1.0999011175775402	3.104117544455397
11	0	2.2448979591836737	0.0	-0.4336287408060847	-0.895235915256373	3	2.5605899330916118	-0.481407797407448	3.176199290688203	-0.2876455409792533	-1.0999011175775402	3.104117544455397
12	0	2.4489795918367347	0.0	-0.3795666806820919	-0.9272276092151536	3	0.8631907204839875	-2.283309384427798	4.862142832369158	-0.2876455409792533	-1.0999011175775402	3.104117544455397
13	0	2.653061224489796	0.0	-0.3258883863629022	-0.960614109361334	3	1.93656967962498	-2.419482609833424	5.933048892052899	-0.2876455409792533	-1.0999011175775402	3.104117544455397
14	0	2.857142857142857	0.0	-0.272304302935646	-0.9953693623351334	3	-0.3395148070360134	-1.6036071199428752	5.202893015757142	-0.2876455409792533	-1.0999011175775402	3.104117544455397
15	0	3.0612244897959187	0.0	-0.2184555041652565	-1.0314505272466865	3	-1.636567669291339	2.019844478439266	0.328925853881547	-0.2876455409792533	-1.0999011175775402	3.104117544455397
16	0	3.26530612244898	0.0	-0.1640160621023325	-1.068798280052909	3	0.3275087220950086	-2.12500619558592	5.623112138532565	-0.2876455409792533	-1.0999011175775402	3.104117544455397
17	0	3.4693877551020407	0.0	-0.1087944776286657	-1.107337133242356	3	-2.6170964633749483	-1.6398080885117357	4.045775169525021	-0.2876455409792533	-1.0999011175775402	3.104117544455397
18	0	3.673469387755102	0.0	-0.0528260099777519	-1.1469757604239352	3	1.965787031955492	0.2916843559332451	3.527895760123484	-0.2876455409792533	-1.0999011175775402	3.104117544455397
19	0	3.877551020408164	0.0	0.0035516737084642	-1.187607321843941	3	0.7899863947323889	-1.7092126915303536	4.977760778873375	-0.2876455409792533	-1.0999011175775402	3.104117544455397
20	0	4.081632653061225	0.0	0.0596459986166216	-1.2291097933384467	3	1.5485264405122423	-2.0207598916932774	5.372750578894555	-0.2876455409792533	-1.0999011175775402	3.104117544455397
21	0	4.285714285714286	0.0	0.1143850430755879	-1.2713463074907838	3	-0.87284419122079	0.3798974501877734	1.6681559602232077	-0.2876455409792533	-1.0999011175775402	3.104117544455397
22	0	4.489795918367348	0.0	0.1663241676034907	-1.3141655215409582	3	2.824188146369419	-0.7914403740203069	5.85460986703494	-0.2876455409792533	-1.0999011175775402	3.104117544455397
23	0	4.6938775510204085	0.0	0.2136846008806601	-1.357402031639473	3	2.3587267279331865	0.7569557150428152	2.3065479237090387	-0.2876455409792533	-1.0999011175775402	3.104117544455397
24	0	4.8979591836734695	0.0	0.2544226784024763	-1.4008768571317114	3	1.670300982442571	2.4732320424520573	-0.5108916852757731	-0.2876455409792533	-1.0999011175775402	3.104117544455397
25	0	5.1020408163265305	0.0	0.2863263085620036	-1.444398021513873	3	-1.8321677528881943	-2.094041211389594	5.1126842478117736	-0.2876455409792533	-1.0999011175775402	3.104117544455397
26	0	5.306122448979592	0.0	0.3071333320474289	-1.487761258371253	3	-0.1996739776377949	2.480601958878383	-0.1663299218254745	-0.2876455409792533	-1.0999011175775402	3.104117544455397
27	0	5.510204081632653	0.0	0.3146648689556893	-1.5307508708912512	3	-2.737177405276628	2.414939804537512	-1.155976307685102	-0.2876455409792533	-1.0999011175775402	3.104117544455397
28	0	5.714285714285714	0.0	0.3069656160446784	-1.5731407723832358	3	-2.074263047594713	1.9745255000154172	-0.2889281316726846	-0.2876455409792533	-1.0999011175775402	3.104117544455397
29	0	5.918367346938775	0.0	0.2824424365619357	-1.6146957326308546	3	1.0982937194547278	0.7877155038365111	2.512186994920157	-0.2876455409792533	-1.0999011175775402	3.104117544455397
30	0	6.122448979591837	0.0	0.2399925154943572	-1.6551728508956285	3	1.468572935446903	0.7208799447932845	4.515077960545359	-0.2876455409792533	-1.0999011175775402	3.104117544455397
31	0	6.326530612244898	0.0	0.1791128360552012	-1.694323271079583	3	2.8050583946052603	0.8352759596190094	1.640137950179303	-0.2876455409792533	-1.0999011175775402	3.104117544455397
32	0	6.530612244897959	0.0	0.0999837350254467	-1.7318941480811323	3	-1.0450478511710883	1.142973307306879	0.3525364282431846	-0.2876455409792533	-1.0999011175775402	3.104117544455397
33	0	6.73469387755102	0.0	0.0035207482479897	-1.7676308669272478	3	-0.7772417637907867	-2.9011067964230577	7.230199447959023	-0.2876455409792533	-1.0999011175775402	3.104117544455397
34	0	6.938775510204081	0.0	-0.1086092321550404	-1.8012795080577422	3	-0.1826651323451527	2.748555474963898	-1.2535001692138326	-1.054746096295886	-1.786904905891457	2.838039534156055
35	0	7.142857142857143	0.0	-0.2340094173621527	-1.8325895434263784	3	-1.8631718454942856	0.5136225687934788	3.73660993116394	-1.054746096295886	-1.786904905891457	2.838039534156055
36	0	7.346938775510204	0.0	-0.3696119678054605	-1.8613167391431	3	-2.22047096798717	1.68879503641453	0.5519879702521262	-1.054746096295886	-1.786904905891457	2.838039534156055
37	0	7.551020408163265	0.0	-0.5117718625619043	-1.8872262315014776	3	-0.1457704426443973	-0.7363089656318209	3.540010680709908	-1.054746096295886	-1.786904905891457	2.838039534156055
38	0	7.755102040816327	0.0	-0.6563914545562269	-1.910095734710139	3	-1.638543905694695	-2.9256167165052243	8.75680489194613	-1.054746096295886	-1.786904905891457	2.838039534156055
39	0	7.959183673469388	0.0	-0.7990696758719672	-1.9297188307676327	3	1.0188839680950623	0.0584079592586634	2.7887818456221543	-1.054746096295886	-1.786904905891457	2.838039534156055
