u	v	spatial_x	spatial_y	a1_list	a2_list	b_list	feat1	feat2	y	group	b_result	a1_result	a2_result
0	0	0	0	-0.886420408154041	-0.625670266459695	3	1.64373629133578	-2.79673322914466	3.62798021816203	5	2.89066070348993	-1.71583405886643	-0.328925289238814
1	0	0.204081632653061	0	-0.880832535821893	-0.645477543432947	3	-0.366729361487686	1.09808973869399	1.47025236957388	5	2.89066070348993	-1.71583405886643	-0.328925289238814
2	0	0.408163265306122	0	-0.862967892959742	-0.665856918597528	3	2.1515875194683	2.70297761881624	0.168949018890007	5	2.89066070348993	-1.71583405886643	-0.328925289238814
3	0	0.612244897959184	0	-0.834523171902112	-0.686958367875647	3	1.18420817435618	1.9749029420745	1.68969592437389	5	2.89066070348993	-1.71583405886643	-0.328925289238814
4	0	0.816326530612245	0	-0.797362040642395	-0.708919990405146	3	-2.4349359126741	-1.33681115873676	3.74307891446921	4	2.97867810802182	0.206674416179664	-0.962014411144301
5	0	1.02040816326531	0	-0.753393706661089	-0.731866404329785	3	2.85373410982054	-2.68004949039996	1.37905540759346	5	2.89066070348993	-1.71583405886643	-0.328925289238814
6	0	1.22448979591837	0	-0.704456900642922	-0.755907447089581	3	1.56683821194212	2.64210847522908	0.0396649804462089	5	2.89066070348993	-1.71583405886643	-0.328925289238814
7	0	1.42857142857143	0	-0.652217301574003	-0.781137165048822	3	1.71638583166172	2.62237634927821	-0.515759014330461	5	2.89066070348993	-1.71583405886643	-0.328925289238814
8	0	1.63265306122449	0	-0.598085321724138	-0.807633070658242	3	-2.23131820394672	0.194491918277216	4.15895928744525	5	2.89066070348993	-1.71583405886643	-0.328925289238814
9	0	1.83673469387755	0	-0.543159599213091	-0.835455640113325	3	-0.297684372626597	0.853904470029211	1.50994249859304	5	2.89066070348993	-1.71583405886643	-0.328925289238814
10	0	2.04081632653061	0	-0.488199619515819	-0.864648020749068	3	-0.775211854604513	-0.22439963573515	4.5398226057064	5	2.89066070348993	-1.71583405886643	-0.328925289238814
