u	v	spatial_x	spatial_y	a1_list	a2_list	b_list	feat1	feat2	y	group	b_result	a1_result	a2_result
0	0	0	0	-1	-2	3	1.64373629133578	-2.79673322914466	8.02822990165277	1	2.89055818730005	-2.15986752476548	-1.12219403825126
1	0	0.204081632653061	0	-1	-2	3	-0.366729361487686	1.09808973869399	1.65593140151602	1	2.89055818730005	-2.15986752476548	-1.12219403825126
2	0	0.408163265306122	0	-1	-2	3	2.1515875194683	2.70297761881624	-2.59063946298883	1	2.89055818730005	-2.15986752476548	-1.12219403825126
3	0	0.612244897959184	0	-1	-2	3	1.18420817435618	1.9749029420745	-1.18932985197076	1	2.89055818730005	-2.15986752476548	-1.12219403825126
4	0	0.816326530612245	0	-1	-2	3	-2.4349359126741	-1.33681115873676	10.4831223456773	2	3.249158677807	-1.21855294653254	-1.67700092199757
5	0	1.02040816326531	0	-1	-2	3	2.85373410982054	-2.68004949039996	7.299241040441	2	3.249158677807	-1.21855294653254	-1.67700092199757
6	0	1.22448979591837	0	-1	-2	3	1.56683821194212	2.64210847522908	-0.883739279563214	2	3.249158677807	-1.21855294653254	-1.67700092199757
7	0	1.42857142857143	0	-1	-2	3	1.71638583166172	2.62237634927821	-3.26148616660095	2	3.249158677807	-1.21855294653254	-1.67700092199757
8	0	1.63265306122449	0	-1	-2	3	-2.23131820394672	0.194491918277216	6.6075902003055	2	3.249158677807	-1.21855294653254	-1.67700092199757
9	0	1.83673469387755	0	-1	-2	3	-0.297684372626597	0.853904470029211	0.990977640050895	2	3.249158677807	-1.21855294653254	-1.67700092199757
10	0	2.04081632653061	0	-1	-2	3	-0.775211854604513	-0.22439963573515	3.05116254353475	2	3.249158677807	-1.21855294653254	-1.67700092199757
11	0	2.24489795918367	0	-1	-2	3	2.56058993309161	-0.481407797407448	4.73042256054028	2	3.249158677807	-1.21855294653254	-1.67700092199757
12	0	2.44897959183673	0	-1	-2	3	0.863190720483987	-2.2833093844278	7.12502716720085	2	3.249158677807	-1.21855294653254	-1.67700092199757
13	0	2.6530612244898	0	-1	-2	3	1.93656967962498	-2.41948260983342	7.47191264347351	2	3.249158677807	-1.21855294653254	-1.67700092199757
14	0	2.85714285714286	0	-1	-2	3	-0.339514807036013	-1.60360711994288	6.78802207502397	2	3.249158677807	-1.21855294653254	-1.67700092199757
15	0	3.06122448979592	0	-1	-2	3	-1.63656766929134	2.01984447843927	-0.546826806881124	3	3.249158677807	-1.21855294653254	-1.16599522009602
16	0	3.26530612244898	0	-1	-2	3	0.327508722095009	-2.12500619558592	6.94392030961251	3	3.249158677807	-1.21855294653254	-1.16599522009602
17	0	3.46938775510204	0	-1	-2	3	-2.61709646337495	-1.63980808851174	11.6969009750455	3	3.249158677807	-1.21855294653254	-1.16599522009602
18	0	3.6734693877551	0	-1	-2	3	1.96578703195549	0.291684355933245	1.53356240102289	3	3.249158677807	-1.21855294653254	-1.16599522009602
19	0	3.87755102040816	0	1	3	3	0.789986394732389	-1.70921269153035	-4.67502434133307	3	3.249158677807	-1.21855294653254	-1.16599522009602
20	0	4.08163265306122	0	1	3	3	1.54852644051224	-2.02075989169328	-1.93347992489109	3	3.249158677807	-1.21855294653254	-1.16599522009602
21	0	4.28571428571429	0	1	3	3	-0.87284419122079	0.379897450187773	6.74232105511672	3	3.249158677807	-1.21855294653254	-1.16599522009602
22	0	4.48979591836735	0	1	3	3	2.82418814636942	-0.791440374020307	3.03296314370108	4	3.249158677807	-0.356000307074677	-1.05128470253706
