u	v	spatial_x	spatial_y	a1_list	a2_list	b_list	feat1	feat2	y	group	b_result	a1_result	a2_result
0	0	0	0	-1	-1	3	1.64373629133578	-2.79673322914466	3.72737598396113	5	2.93368820378144	-2.17831149234848	-0.956373269383413
1	0	0.204081632653061	0	-1	-1	3	-0.366729361487686	1.09808973869399	1.77448790298754	5	2.93368820378144	-2.17831149234848	-0.956373269383413
2	0	0.408163265306122	0	-1	-1	3	2.1515875194683	2.70297761881624	-3.00405399391852	5	2.93368820378144	-2.17831149234848	-0.956373269383413
3	0	0.612244897959184	0	-1	-1	3	1.18420817435618	1.9749029420745	0.54788571585144	5	2.93368820378144	-2.17831149234848	-0.956373269383413
4	0	0.816326530612245	0	-1	-1	3	-2.4349359126741	-1.33681115873676	7.15891328112372	5	2.93368820378144	-2.17831149234848	-0.956373269383413
5	0	1.02040816326531	0	-1	-1	3	2.85373410982054	-2.68004949039996	0.20174337843488	5	2.93368820378144	-2.17831149234848	-0.956373269383413
6	0	1.22448979591837	0	-1	-1	3	1.56683821194212	2.64210847522908	-3.93396457931614	5	2.93368820378144	-2.17831149234848	-0.956373269383413
7	0	1.42857142857143	0	-1	-1	3	1.71638583166172	2.62237634927821	-0.638032833150438	5	2.93368820378144	-2.17831149234848	-0.956373269383413
8	0	1.63265306122449	0	-1	-1	3	-2.23131820394672	0.194491918277216	3.69160367815853	5	2.93368820378144	-2.17831149234848	-0.956373269383413
9	0	1.83673469387755	0	-1	-1	3	-0.297684372626597	0.853904470029211	2.94214780851292	5	2.93368820378144	-2.17831149234848	-0.956373269383413
10	0	2.04081632653061	0	-1	-1	3	-0.775211854604513	-0.22439963573515	5.28814859421982	5	2.93368820378144	-2.17831149234848	-0.956373269383413
11	0	2.24489795918367	0	-1	-1	3	2.56058993309161	-0.481407797407448	-1.17625431740334	5	2.93368820378144	-2.17831149234848	-0.956373269383413
12	0	2.44897959183673	0	-1	-1	3	0.863190720483987	-2.2833093844278	2.09108219389311	5	2.93368820378144	-2.17831149234848	-0.956373269383413
13	0	2.6530612244898	0	-1	-1	3	1.93656967962498	-2.41948260983342	6.24572520616068	5	2.93368820378144	-2.17831149234848	-0.956373269383413
14	0	2.85714285714286	0	-1	-1	3	-0.339514807036013	-1.60360711994288	5.52321371886695	5	2.93368820378144	-2.17831149234848	-0.956373269383413
15	0	3.06122448979592	0	-1	-2	3	-1.63656766929134	2.01984447843927	-0.0948683710980902	5	2.93368820378144	-2.17831149234848	-0.956373269383413
16	0	3.26530612244898	0	-1	-2	3	0.327508722095009	-2.12500619558592	5.3815019222105	5	2.93368820378144	-2.17831149234848	-0.956373269383413
17	0	3.46938775510204	0	-1	-2	3	-2.61709646337495	-1.63980808851174	8.05448523970141	8	3.27317400386245	-1.13280700146606	-1.38820532732826
18	0	3.6734693877551	0	-1	-2	3	1.96578703195549	0.291684355933245	-1.51360009840894	8	3.27317400386245	-1.13280700146606	-1.38820532732826
19	0	3.87755102040816	0	1	-2	3	0.789986394732389	-1.70921269153035	8.66604186504257	8	3.27317400386245	-1.13280700146606	-1.38820532732826
20	0	4.08163265306122	0	1	-2	3	1.54852644051224	-2.02075989169328	7.30840682044837	8	3.27317400386245	-1.13280700146606	-1.38820532732826
21	0	4.28571428571429	0	1	-2	3	-0.87284419122079	0.379897450187773	3.1716929789605	8	3.27317400386245	-1.13280700146606	-1.38820532732826
22	0	4.48979591836735	0	1	-2	3	2.82418814636942	-0.791440374020307	6.74603117678951	4	2.94522931832833	1.20928275335668	-1.12901371734052
23	0	4.69387755102041	0	1	-2	3	2.35872672793319	0.756955715042815	2.12328749487899	4	2.94522931832833	1.20928275335668	-1.12901371734052
24	0	4.89795918367347	0	1	-2	3	1.67030098244257	2.47323204245206	-0.979560722684316	4	2.94522931832833	1.20928275335668	-1.12901371734052
25	0	5.10204081632653	0	1	-2	3	-1.83216775288819	-2.09404121138959	1.02603948701366	4	2.94522931832833	1.20928275335668	-1.12901371734052
26	0	5.30612244897959	0	1	-2	3	-0.199673977637795	2.48060195887838	-2.36014604690667	4	2.94522931832833	1.20928275335668	-1.12901371734052
27	0	5.51020408163265	0	1	-2	3	-2.73717740527663	2.41493980453751	-4.84775367971641	4	2.94522931832833	1.20928275335668	-1.12901371734052
28	0	5.71428571428571	0	1	-2	3	-2.07426304759471	1.97452550001542	-1.6624885158214	4	2.94522931832833	1.20928275335668	-1.12901371734052
29	0	5.91836734693878	0	1	-2	3	1.09829371945473	0.787715503836511	-0.58954041939087	8	3.27317400386245	-1.13280700146606	-1.38820532732826
30	0	6.12244897959184	0	1	-2	3	1.4685729354469	0.720879944793285	4.94389254128519	1	2.87416387974948	1.28603256036869	1.08843001056169
31	0	6.3265306122449	0	1	-2	3	2.80505839460526	0.835275959619009	5.48849531211337	4	2.94522931832833	1.20928275335668	-1.12901371734052
32	0	6.53061224489796	0	1	-2	3	-1.04504785117109	1.14297330730688	1.73487741431795	8	3.27317400386245	-1.13280700146606	-1.38820532732826
33	0	6.73469387755102	0	1	-2	3	-0.777241763790787	-2.90110679642306	7.9379815586485	8	3.27317400386245	-1.13280700146606	-1.38820532732826
34	0	6.93877551020408	0	-1	-2	3	-0.182665132345153	2.7485554749639	-0.641516041313097	8	3.27317400386245	-1.13280700146606	-1.38820532732826
35	0	7.14285714285714	0	-1	-2	3	-1.86317184549429	0.513622568793479	1.40837405031093	3	3.02379090279134	-1.44315863161536	-1.96053485556963
36	0	7.3469387755102	0	-1	-2	3	-2.22047096798717	1.68879503641453	3.01940937774559	3	3.02379090279134	-1.44315863161536	-1.96053485556963
37	0	7.55102040816327	0	-1	-2	3	-0.145770442644397	-0.736308965631821	3.34596981644313	3	3.02379090279134	-1.44315863161536	-1.96053485556963
38	0	7.75510204081633	0	-1	-2	3	-1.6385439056947	-2.92561671650522	7.7649643152073	3	3.02379090279134	-1.44315863161536	-1.96053485556963
39	0	7.95918367346939	0	-1	-2	3	1.01888396809506	0.0584079592586635	0.00946825841641541	3	3.02379090279134	-1.44315863161536	-1.96053485556963
40	0	8.16326530612245	0	-1	-2	3	-0.377088486766016	0.0431407158955737	3.29993343371316	3	3.02379090279134	-1.44315863161536	-1.96053485556963
41	0	8.36734693877551	0	-2	-2	3	1.99606917634702	-0.378064270131289	-1.59610350599052	3	3.02379090279134	-1.44315863161536	-1.96053485556963
42	0	8.57142857142857	0	-2	-2	3	1.20159061201349	-0.96169767502754	3.14073545332616	3	3.02379090279134	-1.44315863161536	-1.96053485556963
43	0	8.77551020408163	0	-2	-2	3	-1.12580015170775	-1.50104347314167	5.27009528394221	3	3.02379090279134	-1.44315863161536	-1.96053485556963
44	0	8.97959183673469	0	-2	-2	3	1.99355880837121	0.165269246983097	-4.82736705767478	3	3.02379090279134	-1.44315863161536	-1.96053485556963
45	0	9.18367346938776	0	-2	-2	3	1.82858614498081	-0.748331161839035	3.10392930005335	3	3.02379090279134	-1.44315863161536	-1.96053485556963
46	0	9.38775510204082	0	-2	-2	3	-0.675129725818953	2.81959129829885	0.202347068552569	3	3.02379090279134	-1.44315863161536	-1.96053485556963
47	0	9.59183673469388	0	-2	-2	3	-1.27003137641854	-1.96243615339841	7.73359528037611	3	3.02379090279134	-1.44315863161536	-1.96053485556963
48	0	9.79591836734694	0	-2	-2	3	1.09497302384985	-1.08200659423748	2.96911772904886	3	3.02379090279134	-1.44315863161536	-1.96053485556963
49	0	10	0	-2	-2	3	-2.16148509834414	-1.23623717445257	11.4776311949256	3	3.02379090279134	-1.44315863161536	-1.96053485556963
0	1	0	0.204081632653061	-2	-1	3	-1.80055078514935	0.259855057415742	7.03292751656246	5	2.93368820378144	-2.17831149234848	-0.956373269383413
1	1	0.204081632653061	0.204081632653061	-2	-1	3	-2.95582638149397	-0.00431845815511256	9.16053932984578	5	2.93368820378144	-2.17831149234848	-0.956373269383413
