u	v	spatial_x	spatial_y	a1_list	a2_list	b_list	feat1	feat2	y	b_result	a1_result	a2_result
0	0	0.0	0.0	-1.0	-1.0	3	1.64373629133578	-2.796733229144661	3.727375983961126	2.9493623907000006	-2.0764072927827444	-0.9279542201421219
1	0	0.2040816326530612	0.0	-1.0	-1.0	3	-0.3667293614876863	1.0980897386939867	1.7744879029875351	2.9493623907000006	-2.0764072927827444	-0.9279542201421219
2	0	0.4081632653061224	0.0	-1.0	-1.0	3	2.151587519468295	2.702977618816236	-3.004053993918518	2.9493623907000006	-2.0764072927827444	-0.9279542201421219
3	0	0.6122448979591837	0.0	-1.0	-1.0	3	1.1842081743561836	1.974902942074502	0.5478857158514399	2.9493623907000006	-2.0764072927827444	-0.9279542201421219
4	0	0.8163265306122449	0.0	-1.0	-1.0	3	-2.434935912674103	-1.3368111587367613	7.158913281123717	2.9493623907000006	-2.0764072927827444	-0.9279542201421219
5	0	1.020408163265306	0.0	-1.0	-1.0	3	2.853734109820536	-2.680049490399956	0.2017433784348803	2.9493623907000006	-2.0764072927827444	-0.9279542201421219
6	0	1.2244897959183674	0.0	-1.0	-1.0	3	1.5668382119421178	2.642108475229083	-3.933964579316141	2.9493623907000006	-2.0764072927827444	-0.9279542201421219
7	0	1.4285714285714286	0.0	-1.0	-1.0	3	1.716385831661723	2.622376349278209	-0.6380328331504377	2.9493623907000006	-2.0764072927827444	-0.9279542201421219
8	0	1.6326530612244898	0.0	-1.0	-1.0	3	-2.2313182039467248	0.1944919182772162	3.691603678158527	2.9493623907000006	-2.0764072927827444	-0.9279542201421219
9	0	1.836734693877551	0.0	-1.0	-1.0	3	-0.2976843726265974	0.8539044700292107	2.9421478085129213	2.9493623907000006	-2.0764072927827444	-0.9279542201421219
10	0	2.0408163265306123	0.0	-1.0	-1.0	3	-0.7752118546045126	-0.2243996357351503	5.288148594219823	2.9493623907000006	-2.0764072927827444	-0.9279542201421219
11	0	2.2448979591836737	0.0	-1.0	-1.0	3	2.5605899330916118	-0.481407797407448	-1.1762543174033355	2.9493623907000006	-2.0764072927827444	-0.9279542201421219
12	0	2.4489795918367347	0.0	-1.0	-1.0	3	0.8631907204839875	-2.283309384427798	2.091082193893105	2.9493623907000006	-2.0764072927827444	-0.9279542201421219
13	0	2.653061224489796	0.0	-1.0	-1.0	3	1.93656967962498	-2.419482609833424	6.245725206160682	2.9493623907000006	-2.0764072927827444	-0.9279542201421219
14	0	2.857142857142857	0.0	-1.0	-1.0	3	-0.3395148070360134	-1.6036071199428752	5.523213718866947	2.9493623907000006	-2.0764072927827444	-0.9279542201421219
15	0	3.0612244897959187	0.0	-1.0	-2.0	3	-1.636567669291339	2.019844478439266	-0.0948683710980902	2.9493623907000006	-2.0764072927827444	-0.9279542201421219
16	0	3.26530612244898	0.0	-1.0	-2.0	3	0.3275087220950086	-2.12500619558592	5.3815019222104965	2.9493623907000006	-2.0764072927827444	-0.9279542201421219
17	0	3.4693877551020407	0.0	-1.0	-2.0	3	-2.6170964633749483	-1.6398080885117357	8.054485239701409	2.9493623907000006	-2.0764072927827444	-0.9279542201421219
18	0	3.673469387755102	0.0	-1.0	-2.0	3	1.965787031955492	0.2916843559332451	-1.5136000984089444	3.099366848593015	-1.0596440435959489	-1.6628795492097646
19	0	3.877551020408164	0.0	1.0	-2.0	3	0.7899863947323889	-1.7092126915303536	8.666041865042569	3.099366848593015	-1.0596440435959489	-1.6628795492097646
20	0	4.081632653061225	0.0	1.0	-2.0	3	1.5485264405122423	-2.0207598916932774	7.308406820448368	3.099366848593015	-1.0596440435959489	-1.6628795492097646
21	0	4.285714285714286	0.0	1.0	-2.0	3	-0.87284419122079	0.3798974501877734	3.1716929789605035	3.099366848593015	-1.0596440435959489	-1.6628795492097646
22	0	4.489795918367348	0.0	1.0	-2.0	3	2.824188146369419	-0.7914403740203069	6.746031176789514	3.099366848593015	-1.0596440435959489	-1.6628795492097646
23	0	4.6938775510204085	0.0	1.0	-2.0	3	2.3587267279331865	0.7569557150428152	2.123287494878987	3.099366848593015	-1.0596440435959489	-1.6628795492097646
24	0	4.8979591836734695	0.0	1.0	-2.0	3	1.670300982442571	2.4732320424520573	-0.979560722684316	3.099366848593015	-1.0596440435959489	-1.6628795492097646
25	0	5.1020408163265305	0.0	1.0	-2.0	3	-1.8321677528881943	-2.094041211389594	1.026039487013656	3.099366848593015	-1.0596440435959489	-1.6628795492097646
26	0	5.306122448979592	0.0	1.0	-2.0	3	-0.1996739776377949	2.480601958878383	-2.3601460469066726	3.099366848593015	-1.0596440435959489	-1.6628795492097646
