u	v	spatial_x	spatial_y	a1_list	a2_list	b_list	feat1	feat2	y	group	b_result	a1_result	a2_result
0	0	0	0	-3	2	3	1.64373629133578	-2.79673322914466	-5.5460298888553	2	2.82528789626054	-3.07353905013677	2.00263196446729
1	0	0.204081632653061	0	-3	2	3	-0.366729361487686	1.09808973869399	8.04639941656617	2	2.82528789626054	-3.07353905013677	2.00263196446729
2	0	0.408163265306122	0	-3	2	3	2.1515875194683	2.70297761881624	2.09976174874032	2	2.82528789626054	-3.07353905013677	2.00263196446729
3	0	0.612244897959184	0	-3	2	3	1.18420817435618	1.9749029420745	5.93347407675853	2	2.82528789626054	-3.07353905013677	2.00263196446729
4	0	0.816326530612245	0	-3	2	3	-2.4349359126741	-1.33681115873676	8.68308144061589	2	2.82528789626054	-3.07353905013677	2.00263196446729
5	0	1.02040816326531	0	-3	2	3	2.85373410982054	-2.68004949039996	-12.8547093517488	2	2.82528789626054	-3.07353905013677	2.00263196446729
6	0	1.22448979591837	0	-3	2	3	1.56683821194212	2.64210847522908	4.41339157881744	2	2.82528789626054	-3.07353905013677	2.00263196446729
7	0	1.42857142857143	0	-3	2	3	1.71638583166172	2.62237634927821	0.938109351706001	2	2.82528789626054	-3.07353905013677	2.00263196446729
8	0	1.63265306122449	0	-3	2	3	-2.23131820394672	0.194491918277216	12.059451626336	2	2.82528789626054	-3.07353905013677	2.00263196446729
9	0	1.83673469387755	0	-3	2	3	-0.297684372626597	0.853904470029211	5.48852875821914	2	2.82528789626054	-3.07353905013677	2.00263196446729
10	0	2.04081632653061	0	-3	2	3	-0.775211854604513	-0.22439963573515	4.4608959743664	2	2.82528789626054	-3.07353905013677	2.00263196446729
11	0	2.24489795918367	0	-3	2	3	2.56058993309161	-0.481407797407448	-7.1766768689986	2	2.82528789626054	-3.07353905013677	2.00263196446729
12	0	2.44897959183673	0	2	-1.5	3	0.863190720483987	-2.2833093844278	10.9020635296262	1	3.01217202502717	2.24307453590441	-1.57828981974877
13	0	2.6530612244898	0	2	-1.5	3	1.93656967962498	-2.41948260983342	10.1546719393453	1	3.01217202502717	2.24307453590441	-1.57828981974877
14	0	2.85714285714286	0	2	-1.5	3	-0.339514807036013	-1.60360711994288	3.76264346597529	1	3.01217202502717	2.24307453590441	-1.57828981974877
15	0	3.06122448979592	0	2	-1.5	3	-1.63656766929134	2.01984447843927	-4.09520254484009	1	3.01217202502717	2.24307453590441	-1.57828981974877
16	0	3.26530612244898	0	2	-1.5	3	0.327508722095009	-2.12500619558592	8.04022240506393	1	3.01217202502717	2.24307453590441	-1.57828981974877
17	0	3.46938775510204	0	2	-1.5	3	-2.61709646337495	-1.63980808851174	1.04776835083688	1	3.01217202502717	2.24307453590441	-1.57828981974877
18	0	3.6734693877551	0	2	-1.5	3	1.96578703195549	0.291684355933245	7.42269590610209	1	3.01217202502717	2.24307453590441	-1.57828981974877
19	0	3.87755102040816	0	2	-1.5	3	0.789986394732389	-1.70921269153035	8.11313908352805	1	3.01217202502717	2.24307453590441	-1.57828981974877
20	0	4.08163265306122	0	2	-1.5	3	1.54852644051224	-2.02075989169328	13.9468998205229	1	3.01217202502717	2.24307453590441	-1.57828981974877
21	0	4.28571428571429	0	2	-1.5	3	-0.87284419122079	0.379897450187773	-0.229968344588625	1	3.01217202502717	2.24307453590441	-1.57828981974877
22	0	4.48979591836735	0	2	-1.5	3	2.82418814636942	-0.791440374020307	8.68299071335834	1	3.01217202502717	2.24307453590441	-1.57828981974877
23	0	4.69387755102041	0	2	-1.5	3	2.35872672793319	0.756955715042815	4.75103124474442	1	3.01217202502717	2.24307453590441	-1.57828981974877
24	0	4.89795918367347	0	2	-1.5	3	1.67030098244257	2.47323204245206	4.01670760200192	1	3.01217202502717	2.24307453590441	-1.57828981974877
25	0	5.10204081632653	0	2	-1.5	3	-1.83216775288819	-2.09404121138959	5.01691396993001	1	3.01217202502717	2.24307453590441	-1.57828981974877
26	0	5.30612244897959	0	2	-1.5	3	-0.199673977637795	2.48060195887838	-1.37663267331663	1	3.01217202502717	2.24307453590441	-1.57828981974877
27	0	5.51020408163265	0	2	-1.5	3	-2.73717740527663	2.41493980453751	-7.98711659052521	1	3.01217202502717	2.24307453590441	-1.57828981974877
28	0	5.71428571428571	0	2	-1.5	3	-2.07426304759471	1.97452550001542	-5.96539708051784	1	3.01217202502717	2.24307453590441	-1.57828981974877
29	0	5.91836734693878	0	2	-1.5	3	1.09829371945473	0.787715503836511	5.47884795576027	1	3.01217202502717	2.24307453590441	-1.57828981974877
30	0	6.12244897959184	0	2	-1.5	3	1.4685729354469	0.720879944793285	6.52814783891163	1	3.01217202502717	2.24307453590441	-1.57828981974877
31	0	6.3265306122449	0	2	-1.5	3	2.80505839460526	0.835275959619009	8.57929995346869	1	3.01217202502717	2.24307453590441	-1.57828981974877
32	0	6.53061224489796	0	2	-1.5	3	-1.04504785117109	1.14297330730688	-2.30195250470206	1	3.01217202502717	2.24307453590441	-1.57828981974877
33	0	6.73469387755102	0	2	-1.5	3	-0.777241763790787	-2.90110679642306	6.31953964395313	1	3.01217202502717	2.24307453590441	-1.57828981974877
34	0	6.93877551020408	0	2	-1.5	3	-0.182665132345153	2.7485554749639	-1.22562040656951	1	3.01217202502717	2.24307453590441	-1.57828981974877
35	0	7.14285714285714	0	2	-1.5	3	-1.86317184549429	0.513622568793479	-1.00472820153851	1	3.01217202502717	2.24307453590441	-1.57828981974877
36	0	7.3469387755102	0	2	-1.5	3	-2.22047096798717	1.68879503641453	-2.01341974021271	1	3.01217202502717	2.24307453590441	-1.57828981974877
37	0	7.55102040816327	0	2	-1.5	3	-0.145770442644397	-0.736308965631821	4.31601254790197	1	3.01217202502717	2.24307453590441	-1.57828981974877
38	0	7.75510204081633	0	2	-1.5	3	-1.6385439056947	-2.92561671650522	5.63889278028021	1	3.01217202502717	2.24307453590441	-1.57828981974877
39	0	7.95918367346939	0	2	-1.5	3	1.01888396809506	0.0584079592586635	5.10220890365214	1	3.01217202502717	2.24307453590441	-1.57828981974877
40	0	8.16326530612245	0	2	-1.5	3	-0.377088486766016	0.0431407158955737	2.83163059967707	1	3.01217202502717	2.24307453590441	-1.57828981974877
41	0	8.36734693877551	0	2	-1.5	3	1.99606917634702	-0.378064270131289	8.9796332660277	1	3.01217202502717	2.24307453590441	-1.57828981974877
42	0	8.57142857142857	0	2	-1.5	3	1.20159061201349	-0.96169767502754	3.56712714189305	1	3.01217202502717	2.24307453590441	-1.57828981974877
43	0	8.77551020408163	0	2	-1.5	3	-1.12580015170775	-1.50104347314167	2.28070466949307	1	3.01217202502717	2.24307453590441	-1.57828981974877
44	0	8.97959183673469	0	2	-1.5	3	1.99355880837121	0.165269246983097	5.68087527410898	1	3.01217202502717	2.24307453590441	-1.57828981974877
45	0	9.18367346938776	0	2	-1.5	3	1.82858614498081	-0.748331161839035	6.34219387417266	1	3.01217202502717	2.24307453590441	-1.57828981974877
46	0	9.38775510204082	0	2	-1.5	3	-0.675129725818953	2.81959129829885	-3.19871646434622	1	3.01217202502717	2.24307453590441	-1.57828981974877
47	0	9.59183673469388	0	2	-1.5	3	-1.27003137641854	-1.96243615339841	6.76720942753794	1	3.01217202502717	2.24307453590441	-1.57828981974877
48	0	9.79591836734694	0	2	-1.5	3	1.09497302384985	-1.08200659423748	4.86483592874613	1	3.01217202502717	2.24307453590441	-1.57828981974877
49	0	10	0	2	-1.5	3	-2.16148509834414	-1.23623717445257	2.71001186282141	1	3.01217202502717	2.24307453590441	-1.57828981974877
0	1	0	0.204081632653061	-3	2	3	-1.80055078514935	0.259855057415742	5.13490548414397	2	2.82528789626054	-3.07353905013677	2.00263196446729
1	1	0.204081632653061	0.204081632653061	-3	2	3	-2.95582638149397	-0.00431845815511256	11.1053509107037	2	2.82528789626054	-3.07353905013677	2.00263196446729
2	1	0.408163265306122	0.204081632653061	-3	2	3	1.72154626501283	0.862442792545639	-0.0735588134609513	2	2.82528789626054	-3.07353905013677	2.00263196446729
3	1	0.612244897959184	0.204081632653061	-3	2	3	0.989105139552193	2.70001062344525	6.75170607379229	2	2.82528789626054	-3.07353905013677	2.00263196446729
4	1	0.816326530612245	0.204081632653061	-3	2	3	1.23099227175801	-1.2886734870368	-1.6700639848137	2	2.82528789626054	-3.07353905013677	2.00263196446729
5	1	1.02040816326531	0.204081632653061	-3	2	3	1.68437418613181	1.15662941552998	2.04516755186437	2	2.82528789626054	-3.07353905013677	2.00263196446729
6	1	1.22448979591837	0.204081632653061	-3	2	3	-0.24650534676996	-2.8497587819689	-2.7446329361869	2	2.82528789626054	-3.07353905013677	2.00263196446729
7	1	1.42857142857143	0.204081632653061	-3	2	3	0.412447175717363	-1.42566916359825	-2.12897138784387	2	2.82528789626054	-3.07353905013677	2.00263196446729
8	1	1.63265306122449	0.204081632653061	-3	2	3	-2.16121801123406	-0.217681632020443	10.9787365024899	2	2.82528789626054	-3.07353905013677	2.00263196446729
9	1	1.83673469387755	0.204081632653061	-3	2	3	-2.31281955878416	-2.81403126911319	3.87996140714246	2	2.82528789626054	-3.07353905013677	2.00263196446729
10	1	2.04081632653061	0.204081632653061	-3	2	3	1.01041777074283	0.706016763321833	-1.48951401309515	2	2.82528789626054	-3.07353905013677	2.00263196446729
11	1	2.24489795918367	0.204081632653061	-3	2	3	-0.173422763141205	1.06986365041025	3.11009935873628	2	2.82528789626054	-3.07353905013677	2.00263196446729
12	1	2.44897959183673	0.204081632653061	-3	2	3	0.391416638887133	1.48039028902828	2.71776301789154	1	3.01217202502717	2.24307453590441	-1.57828981974877
13	1	2.6530612244898	0.204081632653061	2	-1.5	3	1.58999314449615	0.0994470290580738	7.14942741952617	1	3.01217202502717	2.24307453590441	-1.57828981974877
14	1	2.85714285714286	0.204081632653061	2	-1.5	3	0.808309920003545	0.62366798987176	4.00157576135822	1	3.01217202502717	2.24307453590441	-1.57828981974877
15	1	3.06122448979592	0.204081632653061	2	-1.5	3	0.321476403947975	-0.623608492329077	6.13195759304204	1	3.01217202502717	2.24307453590441	-1.57828981974877
16	1	3.26530612244898	0.204081632653061	2	-1.5	3	0.355242964472481	-2.75248180496062	6.8778901821287	1	3.01217202502717	2.24307453590441	-1.57828981974877
17	1	3.46938775510204	0.204081632653061	2	-1.5	3	-1.17629941162433	-2.40028886535292	4.60454877970334	1	3.01217202502717	2.24307453590441	-1.57828981974877
18	1	3.6734693877551	0.204081632653061	2	-1.5	3	-2.81509299259236	0.929975545208785	-2.6175709165714	1	3.01217202502717	2.24307453590441	-1.57828981974877
19	1	3.87755102040816	0.204081632653061	2	-1.5	3	-0.379695664605826	2.97333179751466	-2.91541873985418	1	3.01217202502717	2.24307453590441	-1.57828981974877
20	1	4.08163265306122	0.204081632653061	2	-1.5	3	-1.71249196308282	-2.90518056502022	4.96053120586886	1	3.01217202502717	2.24307453590441	-1.57828981974877
21	1	4.28571428571429	0.204081632653061	2	-1.5	3	-0.548828137652183	0.345500980958296	-0.105241114141776	1	3.01217202502717	2.24307453590441	-1.57828981974877
22	1	4.48979591836735	0.204081632653061	2	-1.5	3	2.120418439609	1.50605251729535	4.16488694850356	1	3.01217202502717	2.24307453590441	-1.57828981974877
23	1	4.69387755102041	0.204081632653061	2	-1.5	3	-1.59636308480796	1.96064896808327	-3.99260988323706	1	3.01217202502717	2.24307453590441	-1.57828981974877
24	1	4.89795918367347	0.204081632653061	2	-1.5	3	-2.6501835498656	0.271229407335841	-5.39785041331031	1	3.01217202502717	2.24307453590441	-1.57828981974877
25	1	5.10204081632653	0.204081632653061	2	-1.5	3	-1.31169664786802	0.71949588110463	0.393050964374572	1	3.01217202502717	2.24307453590441	-1.57828981974877
26	1	5.30612244897959	0.204081632653061	2	-1.5	3	-1.2384374533999	1.18034967164732	-2.30355467972691	1	3.01217202502717	2.24307453590441	-1.57828981974877
27	1	5.51020408163265	0.204081632653061	2	-1.5	3	0.97149908836137	2.15379749816058	1.74041369661916	1	3.01217202502717	2.24307453590441	-1.57828981974877
28	1	5.71428571428571	0.204081632653061	2	-1.5	3	0.34219291404767	-2.26626277678309	8.16545997580827	1	3.01217202502717	2.24307453590441	-1.57828981974877
29	1	5.91836734693878	0.204081632653061	2	-1.5	3	1.70338925463848	2.55709317764918	3.57583388887056	1	3.01217202502717	2.24307453590441	-1.57828981974877
30	1	6.12244897959184	0.204081632653061	2	-1.5	3	0.985881241964325	-2.84389557869058	10.7347223471533	1	3.01217202502717	2.24307453590441	-1.57828981974877
31	1	6.3265306122449	0.204081632653061	2	-1.5	3	-0.561678831359577	2.01719850574665	-1.37074776148534	1	3.01217202502717	2.24307453590441	-1.57828981974877
32	1	6.53061224489796	0.204081632653061	2	-1.5	3	1.88412230799621	-2.53955744064182	9.62515957485579	1	3.01217202502717	2.24307453590441	-1.57828981974877
33	1	6.73469387755102	0.204081632653061	2	-1.5	3	-1.99816248055378	-1.83223073037047	1.57265515990875	1	3.01217202502717	2.24307453590441	-1.57828981974877
34	1	6.93877551020408	0.204081632653061	2	-1.5	3	-2.86372756119684	-2.9766351217132	-2.05900491622944	1	3.01217202502717	2.24307453590441	-1.57828981974877
35	1	7.14285714285714	0.204081632653061	2	-1.5	3	-2.45971283534615	-0.328459766783756	-4.68273908346861	1	3.01217202502717	2.24307453590441	-1.57828981974877
