n_regions	BIC	R2	MSE
2	4087.653847222895	0.4283190410335871	5.03434701438941
3	2919.723784984757	0.645034645548493	3.125902208857043
4	2469.8671217153596	0.7062618656037735	2.5867219761588016
5	2174.5542169184496	0.7414278787764772	2.277042406379075
6	1885.1452085378535	0.7718456906558746	2.009176531160552
7	1552.4108036798254	0.8021439832082945	1.742363169162023
8	1578.2101252024365	0.8019597185557956	1.743985843817555
9	1442.5407127031176	0.814173427762146	1.636429260878744
10	1	0.8325246149109837	1.4748247106759784
11	1306.122473313496	0.8273150518599361	1.5207012573423773
12	1158.1505773422386	0.8387604396371371	1.4199106802189825
13	1113.7071610892544	0.8430817467313354	1.381856308935969
14	1129.0472601171239	0.8435913436121164	1.3773686878335627
15	1052.9470643745105	0.8496985054004718	1.3235876912245672
