n_regions	BIC	R2	MSE
2	4464.46902122288	0.33531905649018	5.85332513003428
3	3872.84772677089	0.480290621243592	4.57667396168466
4	2637.30981555637	0.685914340822278	2.76590671027893
5	2544.59471162449	0.700177434350063	2.64030280272989
6	2166.72484853587	0.744645174271897	2.24871020164541
7	1975.36769279767	0.765671885036367	2.06354440785909
8	1769.71973903045	0.786192880644904	1.88283205186088
9	1619.53868652194	0.800540138428874	1.7564869755442
10	1693.97056081979	0.796432648554191	1.79265842583114
11	1	0.817396748626195	1.60804399543684
12	1539.95098957947	0.812156085392495	1.65419441708407
13	1309.84034404866	0.830275206567737	1.49463349037968
14	1361.68821680498	0.828337806048741	1.51169466123995
15	1457.31346497455	0.823311233922749	1.55595974997204
