n_regions	BIC	R2	MSE
2	4601.167752315406	0.29796263172936066	6.182293941244835
3	3780.140258128069	0.49921003538558395	4.410065480842584
4	2888.658026801511	0.6526944176694989	3.0584485875609824
5	2703.448766491523	0.6805079235089	2.813516798446562
6	2509.216714221639	0.7071528508403337	2.5788757661439488
7	1	0.7295230909668744	2.381878560227143
8	2235.0565937127517	0.7424512457578331	2.268030413891993
9	2130.1404922483953	0.7553438529665812	2.1544953073066604
10	2059.162106469531	0.764414587442414	2.074616444261634
11	1998.0385429785815	0.7722530251895818	2.0055894545552126
12	1941.140612724504	0.7794582044736311	1.942139076773914
13	1898.8002804958955	0.78518821251412	1.891679378197951
14	1862.1163011846293	0.7902954174078448	1.846704219754535
15	1828.5037771753825	0.7950295287790781	1.8050146041153414
