n_regions	BIC	R2	MSE
2	6762.410335867251	0.4464116724224929	14.675602541552658
3	5965.519353071057	0.601273359258141	10.570225943639883
4	5107.586538262334	0.7197410239860866	7.429653292512536
5	4557.203781821653	0.7772228081623838	5.905813688375398
6	4450.312044901618	0.7885419608678981	5.6057434413378795
7	4152.890732633888	0.814014409153623	4.930469942640034
8	4456.84632103819	0.7919324925083062	5.515860594680098
9	1	0.8253072294573529	4.631097766431146
10	4053.6489509556404	0.8262172555710519	4.60697301364685
11	4219.957354470041	0.8159991402731059	4.877854806788377
12	4195.757886832133	0.8194745459029795	4.785721954352903
13	4151.321070930894	0.824312261500828	4.6574743237827745
14	4287.243542188549	0.8162293818393462	4.871751112858497
15	4227.497023126245	0.8222459458399674	4.712252262286059
