n_regions	BIC	R2	MSE
2	7742.371081368847	0.18073662143611235	21.718636614443174
3	7209.449544447725	0.34420506058473466	17.385095386196657
4	7006.884258162146	0.40089721483454177	15.882188837145403
5	6898.637084817663	0.4316454376592902	15.0670547843561
6	6805.912883588564	0.45745723177807274	14.382785242349538
7	6709.327378231646	0.482896079859649	13.708402483605619
8	6605.893249375402	0.5084904579062981	13.029896632236715
9	6530.557090638325	0.5275376624253258	12.524956066975648
10	1	0.5629834959334998	11.585288558817824
11	6300.699964521975	0.5770569763768463	11.212201202972249
12	6254.348116267972	0.5887061676865601	10.903381646859165
13	6182.2162684813675	0.6041377547498459	10.494290943452963
14	6160.010216012659	0.6113049865433193	10.304287939624329
15	6139.598764553935	0.6180683854002587	10.124990529419202
