n_regions	BIC	R2	MSE
2	6073.3579992284585	0.4160214595041475	11.14025906110755
3	4849.19709838347	0.6454635998780156	6.763309043167552
4	4369.192153514212	0.7101335824515492	5.529632958538222
5	4227.420737006683	0.728673534415893	5.175955805114213
6	3811.4878213698353	0.7724065907046167	4.3416827234754525
7	3810.8604542086778	0.7745900053737997	4.30003084182948
8	1	0.799568928204887	3.8235207440963537
9	3520.3396816832883	0.8030529476299929	3.7570578926760705
10	3454.4058928777395	0.8099717867013518	3.6250707487793
11	3483.108072919349	0.8095738283633447	3.6326623958579134
12	3437.882864833599	0.8147352967979049	3.5341997101436267
13	3388.36105061265	0.8200663719857574	3.4325015233977725
14	3270.6740220672154	0.8299445801560817	3.2440600132293964
15	3371.4732333253273	0.8246024323675213	3.3459694262991886
