n_regions	BIC	R2	MSE
2	6503.82289180625	0.306292644613658	13.2334993766
3	5043.55345208269	0.616801334967315	7.31008436835703
4	4921.97904026797	0.638401332891834	6.89803228782303
5	4900.92965745745	0.644783900919318	6.77627531154623
6	4275.4677599112	0.725993255829038	5.22708610484775
7	4160.71330925786	0.740732049617951	4.94592169610539
8	1	0.800854711516473	3.79899251541289
9	3572.00740627931	0.798940273083793	3.83551327536836
10	3729.9600767666	0.787828645160203	4.04748410147839
11	3885.25361723318	0.776340951646359	4.26662893794817
12	3749.02345942133	0.79018171043091	4.00259588233062
13	3700.02496246163	0.7961766648709	3.88823321163331
14	3767.9274966974	0.792521903957449	3.95795321084368
15	3776.83709198762	0.79372695428739	3.93496508383852
