n_regions	BIC	R2	MSE
2	6604.325050363906	0.27783686878610503	13.776335615470327
3	5989.748054193053	0.44050678364592266	10.673165092375484
4	5156.873806198956	0.6027789809632338	7.577581622827006
5	4863.186709307728	0.6501063837112842	6.674741037529166
6	4755.9548019338135	0.667929420008955	6.334740116531305
7	4659.175250965058	0.6835241735138827	6.037247003357152
8	1	0.6990240683399402	5.741563460541373
9	4505.29394742561	0.70795245066066	5.571241290886001
10	4455.817450998043	0.7163511085990864	5.411024401545765
11	4384.477043394458	0.7269070653616452	5.209653829139276
12	4335.765090988458	0.7346795021681616	5.061383039107916
13	4273.202572939882	0.7436548807707962	4.890164345489531
14	4220.004230142719	0.7513971939962951	4.742468207561138
15	4178.868745571073	0.7577395427081781	4.621478474537277
