n_regions	BIC	R2	MSE
2	7125.881998842126	0.5282010094575346	16.972172466448885
3	5935.963524760216	0.7096181495527429	10.445997015065299
4	5379.484278215367	0.769738359745985	8.283273913547719
5	1	0.848628777336684	5.445324277919999
6	4413.091333313427	0.8464722487913194	5.5229017529346525
7	4436.046286244837	0.8465040064125082	5.521759326107243
8	4477.2857154206595	0.845409237602216	5.56114178650167
9	4568.60497409142	0.8411563744786799	5.7141313601458705
10	4463.720265301126	0.8491060167928477	5.428156393884274
11	4722.615184315146	0.8342059086827012	5.9641626373978
12	4570.2254365051895	0.8454678986755217	5.55903155338721
13	4460.794662250278	0.8534684614630443	5.271224809031183
14	4572.8790373258025	0.8481815224991984	5.461413515901475
15	4585.837370769349	0.848818657739242	5.438493650884303
