n_regions	BIC	R2	MSE
2	7137.95614368142	0.52591687035343	17.0543405159558
3	5858.95259341223	0.718426811066353	10.1291202828034
4	4129.86664104353	0.860317893365738	5.02482805558316
5	1	0.859874495544697	5.04077854390723
6	4834.46810320486	0.818286358746699	6.53684158016414
7	4891.40109686074	0.815837892175045	6.62492103299354
8	4875.26897357424	0.818732346792637	6.52079791287069
9	4895.86016927286	0.818941115141979	6.51328782382517
10	4923.87398441486	0.818611891790164	6.52513107830217
11	5231.72623778659	0.796759292862084	7.31124144581496
12	4972.0111523258	0.818525320579704	6.52824533149898
13	4674.54042981217	0.840389097764622	5.7417328450611
14	4128.58186717828	0.872900948929355	4.57217386712237
15	4643.73498454266	0.845276584953178	5.56591374168331
