n_regions	BIC	R2	MSE
2	7594.056650119614	0.431032742863812	20.467636873861824
3	7281.76094778254	0.5025397013296922	17.895294719762028
4	7053.163654664038	0.5502517511182158	16.17893424852076
5	6881.075089753675	0.5840921596454196	14.961582661569674
6	1	0.617757151450889	13.750541395145879
7	6604.362445885156	0.6345969722130334	13.144757262478315
8	6501.778442665368	0.6525646954781057	12.498398740740898
9	6405.7283777429575	0.6687843769469093	11.914923072590604
10	6314.4937890593	0.683638071427213	11.380586481082014
11	6250.178409535109	0.6945543386886163	10.987892188884901
12	6190.074510072112	0.7045967181917796	10.62663453399834
13	6144.451968316489	0.7126492463155485	10.336958424368694
14	6067.926727935959	0.7239161410165387	9.931650901758989
15	6047.760431976579	0.7286934715744788	9.759794497264844
